step,shape,null_values
raw_data,"(750205, 60)",3703144
drop_na_and_unused_cols,"(750201, 49)",1707447
categorize_flights,"(750055, 51)",1142080
categorize_delay_brackets,"(750055, 52)",1142080
airport_filtering,"(550772, 52)",819304
lateFlights_filtering,"(211547, 11)",3899
lateFlights_filtering,"(211547, 11)",3899
