pipeline,mode,problem_type,dataset_size_training,dataset_size_testing,accuracy,macro_avg_precision,macro_avg_recall,macro_avg_f1,hyperparameters,processing_time,numeric_features,categorical_features,target_variable,mae,mse,rmse,r2
Logistic_OVO,simple,classification_status,421681,105421,0.8645526033712448,0.5707042340831899,0.5810063180079682,0.5737619880025929,"{""estimator__C"": 1.0, ""estimator__class_weight"": null, ""estimator__dual"": false, ""estimator__fit_intercept"": true, ""estimator__intercept_scaling"": 1, ""estimator__l1_ratio"": null, ""estimator__max_iter"": 1000, ""estimator__multi_class"": ""deprecated"", ""estimator__n_jobs"": null, ""estimator__penalty"": ""l2"", ""estimator__random_state"": null, ""estimator__solver"": ""lbfgs"", ""estimator__tol"": 0.0001, ""estimator__verbose"": 0, ""estimator__warm_start"": false, ""estimator"": {""C"": 1.0, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 1000, ""multi_class"": ""deprecated"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}, ""n_jobs"": 6}",6,[],"['flightlegs_aircraft_ownerairlinecode', 'flightlegs_aircraft_typecode', 'flightlegs_depinfo_airport_country_name', 'flightlegs_arrinfo_airport_code', 'flightlegs_arrinfo_airport_country_name', 'flightlegs_depinfo_airport_code', 'flightlegs_scheduledflightduration', 'flightlegs_season', 'flightlegs_arrinfo_times_scheduled_dayPeriod', 'flightlegs_depinfo_times_scheduled_dayPeriod']",flightlegs_publishedstatus,,,,
DecisionTree,simple,classification_status,421681,105421,0.8740478652260935,0.5771104215929442,0.5874585680931008,0.5802645616093759,"{""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""random_state"": null, ""splitter"": ""best""}",14,[],"['flightlegs_aircraft_ownerairlinecode', 'flightlegs_aircraft_typecode', 'flightlegs_depinfo_airport_country_name', 'flightlegs_arrinfo_airport_code', 'flightlegs_arrinfo_airport_country_name', 'flightlegs_depinfo_airport_code', 'flightlegs_scheduledflightduration', 'flightlegs_season', 'flightlegs_arrinfo_times_scheduled_dayPeriod', 'flightlegs_depinfo_times_scheduled_dayPeriod']",flightlegs_publishedstatus,,,,
RandomForest,simple,classification_status,421681,105421,0.8739530074653058,0.5768236277892457,0.5865009444818751,0.5800107882823646,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 100, ""n_jobs"": 6, ""oob_score"": false, ""random_state"": null, ""verbose"": 0, ""warm_start"": false}",280,[],"['flightlegs_aircraft_ownerairlinecode', 'flightlegs_aircraft_typecode', 'flightlegs_depinfo_airport_country_name', 'flightlegs_arrinfo_airport_code', 'flightlegs_arrinfo_airport_country_name', 'flightlegs_depinfo_airport_code', 'flightlegs_scheduledflightduration', 'flightlegs_season', 'flightlegs_arrinfo_times_scheduled_dayPeriod', 'flightlegs_depinfo_times_scheduled_dayPeriod']",flightlegs_publishedstatus,,,,
Logistic_OVR,simple,classification_status,421681,105421,0.8647138615645839,0.5708132930808267,0.5811214234409382,0.5738723082748304,"{""estimator__C"": 1.0, ""estimator__class_weight"": null, ""estimator__dual"": false, ""estimator__fit_intercept"": true, ""estimator__intercept_scaling"": 1, ""estimator__l1_ratio"": null, ""estimator__max_iter"": 1000, ""estimator__multi_class"": ""deprecated"", ""estimator__n_jobs"": null, ""estimator__penalty"": ""l2"", ""estimator__random_state"": null, ""estimator__solver"": ""lbfgs"", ""estimator__tol"": 0.0001, ""estimator__verbose"": 0, ""estimator__warm_start"": false, ""estimator"": {""C"": 1.0, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 1000, ""multi_class"": ""deprecated"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}, ""n_jobs"": 6, ""verbose"": 0}",7,[],"['flightlegs_aircraft_ownerairlinecode', 'flightlegs_aircraft_typecode', 'flightlegs_depinfo_airport_country_name', 'flightlegs_arrinfo_airport_code', 'flightlegs_arrinfo_airport_country_name', 'flightlegs_depinfo_airport_code', 'flightlegs_scheduledflightduration', 'flightlegs_season', 'flightlegs_arrinfo_times_scheduled_dayPeriod', 'flightlegs_depinfo_times_scheduled_dayPeriod']",flightlegs_publishedstatus,,,,
Logistic_OVO,simple,classification_delay,162276,40569,0.3402351549212453,0.17406640776463708,0.1607817380830298,0.12748780691040323,"{""estimator__C"": 1.0, ""estimator__class_weight"": null, ""estimator__dual"": false, ""estimator__fit_intercept"": true, ""estimator__intercept_scaling"": 1, ""estimator__l1_ratio"": null, ""estimator__max_iter"": 1000, ""estimator__multi_class"": ""deprecated"", ""estimator__n_jobs"": null, ""estimator__penalty"": ""l2"", ""estimator__random_state"": null, ""estimator__solver"": ""lbfgs"", ""estimator__tol"": 0.0001, ""estimator__verbose"": 0, ""estimator__warm_start"": false, ""estimator"": {""C"": 1.0, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 1000, ""multi_class"": ""deprecated"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}, ""n_jobs"": 6}",2,[],"['flightlegs_aircraft_ownerairlinecode', 'flightlegs_aircraft_typecode', 'flightlegs_depinfo_airport_country_name', 'flightlegs_arrinfo_airport_code', 'flightlegs_arrinfo_airport_country_name', 'flightlegs_depinfo_airport_code', 'flightlegs_scheduledflightduration', 'flightlegs_season', 'flightlegs_arrinfo_times_scheduled_dayPeriod', 'flightlegs_depinfo_times_scheduled_dayPeriod']",flightlegs_irregularity_delayduration_total_bracket,,,,
DecisionTree,simple,classification_delay,162276,40569,0.3202938204047425,0.20413968055719459,0.17648257661780473,0.1709293075923597,"{""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""random_state"": null, ""splitter"": ""best""}",8,[],"['flightlegs_aircraft_ownerairlinecode', 'flightlegs_aircraft_typecode', 'flightlegs_depinfo_airport_country_name', 'flightlegs_arrinfo_airport_code', 'flightlegs_arrinfo_airport_country_name', 'flightlegs_depinfo_airport_code', 'flightlegs_scheduledflightduration', 'flightlegs_season', 'flightlegs_arrinfo_times_scheduled_dayPeriod', 'flightlegs_depinfo_times_scheduled_dayPeriod']",flightlegs_irregularity_delayduration_total_bracket,,,,
RandomForest,simple,classification_delay,162276,40569,0.32073750893539404,0.19965787698650436,0.17820246618703822,0.1743489912163995,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 100, ""n_jobs"": 6, ""oob_score"": false, ""random_state"": null, ""verbose"": 0, ""warm_start"": false}",100,[],"['flightlegs_aircraft_ownerairlinecode', 'flightlegs_aircraft_typecode', 'flightlegs_depinfo_airport_country_name', 'flightlegs_arrinfo_airport_code', 'flightlegs_arrinfo_airport_country_name', 'flightlegs_depinfo_airport_code', 'flightlegs_scheduledflightduration', 'flightlegs_season', 'flightlegs_arrinfo_times_scheduled_dayPeriod', 'flightlegs_depinfo_times_scheduled_dayPeriod']",flightlegs_irregularity_delayduration_total_bracket,,,,
Logistic_OVR,simple,classification_delay,162276,40569,0.3402598042840593,0.17397903171247364,0.15963647200170988,0.12438294558117631,"{""estimator__C"": 1.0, ""estimator__class_weight"": null, ""estimator__dual"": false, ""estimator__fit_intercept"": true, ""estimator__intercept_scaling"": 1, ""estimator__l1_ratio"": null, ""estimator__max_iter"": 1000, ""estimator__multi_class"": ""deprecated"", ""estimator__n_jobs"": null, ""estimator__penalty"": ""l2"", ""estimator__random_state"": null, ""estimator__solver"": ""lbfgs"", ""estimator__tol"": 0.0001, ""estimator__verbose"": 0, ""estimator__warm_start"": false, ""estimator"": {""C"": 1.0, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 1000, ""multi_class"": ""deprecated"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}, ""n_jobs"": 6, ""verbose"": 0}",3,[],"['flightlegs_aircraft_ownerairlinecode', 'flightlegs_aircraft_typecode', 'flightlegs_depinfo_airport_country_name', 'flightlegs_arrinfo_airport_code', 'flightlegs_arrinfo_airport_country_name', 'flightlegs_depinfo_airport_code', 'flightlegs_scheduledflightduration', 'flightlegs_season', 'flightlegs_arrinfo_times_scheduled_dayPeriod', 'flightlegs_depinfo_times_scheduled_dayPeriod']",flightlegs_irregularity_delayduration_total_bracket,,,,
LinearRegression,simple,regression,162276,40569,,,,,"{""copy_X"": true, ""fit_intercept"": true, ""n_jobs"": null, ""positive"": false, ""tol"": 1e-06}",6,[],"['flightlegs_aircraft_ownerairlinecode', 'flightlegs_aircraft_typecode', 'flightlegs_depinfo_airport_country_name', 'flightlegs_arrinfo_airport_code', 'flightlegs_arrinfo_airport_country_name', 'flightlegs_depinfo_airport_code', 'flightlegs_scheduledflightduration', 'flightlegs_season', 'flightlegs_arrinfo_times_scheduled_dayPeriod', 'flightlegs_depinfo_times_scheduled_dayPeriod']",flightlegs_irregularity_delayduration_total,21.872334122403373,1349.2544729065419,36.73219940197622,0.051177202772122676
DecisionTreeRegressor,simple,regression,162276,40569,,,,,"{""ccp_alpha"": 0.0, ""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""random_state"": null, ""splitter"": ""best""}",8,[],"['flightlegs_aircraft_ownerairlinecode', 'flightlegs_aircraft_typecode', 'flightlegs_depinfo_airport_country_name', 'flightlegs_arrinfo_airport_code', 'flightlegs_arrinfo_airport_country_name', 'flightlegs_depinfo_airport_code', 'flightlegs_scheduledflightduration', 'flightlegs_season', 'flightlegs_arrinfo_times_scheduled_dayPeriod', 'flightlegs_depinfo_times_scheduled_dayPeriod']",flightlegs_irregularity_delayduration_total,22.510873710031447,1466.6515904284474,38.29688747703196,-0.031378804023001416
