pipeline,mode,problem_type,accuracy,macro_avg_precision,macro_avg_recall,macro_avg_f1,mae,mse,rmse,r2,hyperparameters,processing_time
Logistic_OVO,grid,classification,0.7831742050327697,0.6894660442539475,0.5422859130213444,0.5337946217683812,,,,,"{""estimator__C"": 1, ""estimator__class_weight"": null, ""estimator__dual"": false, ""estimator__fit_intercept"": true, ""estimator__intercept_scaling"": 1, ""estimator__l1_ratio"": null, ""estimator__max_iter"": 1000, ""estimator__multi_class"": ""deprecated"", ""estimator__n_jobs"": null, ""estimator__penalty"": ""l1"", ""estimator__random_state"": null, ""estimator__solver"": ""liblinear"", ""estimator__tol"": 0.0001, ""estimator__verbose"": 0, ""estimator__warm_start"": false, ""estimator"": {""C"": 1, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 1000, ""multi_class"": ""deprecated"", ""n_jobs"": null, ""penalty"": ""l1"", ""random_state"": null, ""solver"": ""liblinear"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}, ""n_jobs"": null}",1219
DecisionTree,grid,classification,0.7700562343231653,0.7453312967298841,0.5414406250077214,0.5391622507726839,,,,,"{""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 7, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""random_state"": null, ""splitter"": ""best""}",199
RandomForest,grid,classification,0.8457197184238207,0.8390298288747453,0.6930702263450305,0.7295924953489624,,,,,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 10, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 200, ""n_jobs"": null, ""oob_score"": false, ""random_state"": null, ""verbose"": 0, ""warm_start"": false}",10799
Logistic_OVR,grid,classification,0.7816773201715349,0.6637715547835552,0.5384231259071962,0.5274358120997829,,,,,"{""estimator__C"": 1, ""estimator__class_weight"": null, ""estimator__dual"": false, ""estimator__fit_intercept"": true, ""estimator__intercept_scaling"": 1, ""estimator__l1_ratio"": null, ""estimator__max_iter"": 1000, ""estimator__multi_class"": ""deprecated"", ""estimator__n_jobs"": null, ""estimator__penalty"": ""l1"", ""estimator__random_state"": null, ""estimator__solver"": ""liblinear"", ""estimator__tol"": 0.0001, ""estimator__verbose"": 0, ""estimator__warm_start"": false, ""estimator"": {""C"": 1, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 1000, ""multi_class"": ""deprecated"", ""n_jobs"": null, ""penalty"": ""l1"", ""random_state"": null, ""solver"": ""liblinear"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}, ""n_jobs"": null, ""verbose"": 0}",2287
LinearRegression,grid,regression,,,,,23.159448538043257,2203.173666985829,46.937976809677565,0.026445493285525257,"{""copy_X"": true, ""fit_intercept"": true, ""n_jobs"": null, ""positive"": false, ""tol"": 1e-06}",3
DecisionTreeRegressor,grid,regression,,,,,23.197752575185095,2206.623150745613,46.9747075642373,0.02492121015228932,"{""ccp_alpha"": 0.0, ""criterion"": ""squared_error"", ""max_depth"": 6, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 4, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""random_state"": null, ""splitter"": ""best""}",47
RandomForestRegressor,grid,regression,,,,,23.044064640073834,2208.844395808556,46.998344607108834,0.023939670124850765,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""criterion"": ""squared_error"", ""max_depth"": 10, ""max_features"": 1.0, ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 10, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 100, ""n_jobs"": null, ""oob_score"": false, ""random_state"": null, ""verbose"": 0, ""warm_start"": false}",6931
XGBRegressor,grid,regression,,,,,22.842680346096678,2164.464994312659,46.52381104673884,0.04355036490531783,"{""objective"": ""reg:squarederror"", ""base_score"": null, ""booster"": null, ""callbacks"": null, ""colsample_bylevel"": null, ""colsample_bynode"": null, ""colsample_bytree"": null, ""device"": null, ""early_stopping_rounds"": null, ""enable_categorical"": false, ""eval_metric"": null, ""feature_types"": null, ""feature_weights"": null, ""gamma"": null, ""grow_policy"": null, ""importance_type"": null, ""interaction_constraints"": null, ""learning_rate"": 0.1, ""max_bin"": null, ""max_cat_threshold"": null, ""max_cat_to_onehot"": null, ""max_delta_step"": null, ""max_depth"": 5, ""max_leaves"": null, ""min_child_weight"": null, ""missing"": NaN, ""monotone_constraints"": null, ""multi_strategy"": null, ""n_estimators"": 200, ""n_jobs"": null, ""num_parallel_tree"": null, ""random_state"": null, ""reg_alpha"": null, ""reg_lambda"": null, ""sampling_method"": null, ""scale_pos_weight"": null, ""subsample"": 1, ""tree_method"": null, ""validate_parameters"": null, ""verbosity"": null}",169
