,precision,recall,f1-score,support
CANCELLED,0.0,0.0,0.0,59.0
LATE,0.6747441550877776,0.816465732048023,0.7388704772967987,39731.0
ONTIME,0.8925213706651758,0.7955359133411144,0.8412425461101095,76253.0
accuracy,0.8022974242306731,0.8022974242306731,0.8022974242306731,0.8022974242306731
macro avg,0.5224218419176512,0.5373338817963792,0.5267043411356361,116043.0
weighted avg,0.8175046500273531,0.8022974242306731,0.8057645080014588,116043.0
