feature,importance,pipeline,problem_type
flightLegs_aircraft_typeCode_E70,0.006905478783213055,DecisionTreeRegressor,regression
flightLegs_scheduledFlightDuration,0.14835968647859132,RandomForestRegressor,regression
flightLegs_arrivalInformation_times_scheduled_dayPeriod_evening,0.08563252997893349,RandomForestRegressor,regression
flightLegs_season_summer,0.05622759171189366,RandomForestRegressor,regression
flightLegs_departureInformation_times_scheduled_dayPeriod_evening,0.05206202680767388,RandomForestRegressor,regression
flightLegs_departureInformation_times_scheduled_dayPeriod_morning,0.05083184394711849,RandomForestRegressor,regression
flightLegs_aircraft_typeCode_E90,0.041243815596437,RandomForestRegressor,regression
flightLegs_season_spring,0.024987808557582827,RandomForestRegressor,regression
flightLegs_aircraft_typeCode_32A,0.023231629948585145,RandomForestRegressor,regression
flightLegs_aircraft_typeCode_321,0.02142792123737021,RandomForestRegressor,regression
flightLegs_arrivalInformation_airport_code_PDL,0.01622606131460972,RandomForestRegressor,regression
flightLegs_aircraft_typeCode_320,0.015098287041503346,RandomForestRegressor,regression
flightLegs_aircraft_typeCode_319,0.012188235454253387,RandomForestRegressor,regression
flightLegs_aircraft_typeCode_73H,0.01196581085483852,RandomForestRegressor,regression
flightLegs_departureInformation_airport_code_NCE,0.010672297684975145,RandomForestRegressor,regression
flightLegs_aircraft_typeCode_223,0.009915423909490089,RandomForestRegressor,regression
flightLegs_aircraft_typeCode_E70,0.009368519690523986,RandomForestRegressor,regression
flightLegs_arrivalInformation_airport_code_NCE,0.008910073036399844,RandomForestRegressor,regression
flightLegs_departureInformation_airport_code_WAW,0.00825253344782082,RandomForestRegressor,regression
flightLegs_aircraft_typeCode_295,0.007839032836908925,RandomForestRegressor,regression
flightLegs_arrivalInformation_airport_code_BOJ,0.007774110680429833,RandomForestRegressor,regression
flightLegs_departureInformation_airport_code_WAW,0.06304081529378891,XGBRegressor,regression
flightLegs_arrivalInformation_airport_code_PDL,0.04552796110510826,XGBRegressor,regression
flightLegs_departureInformation_airport_code_BRS,0.035736002027988434,XGBRegressor,regression
flightLegs_arrivalInformation_airport_code_BOJ,0.027846045792102814,XGBRegressor,regression
flightLegs_departureInformation_times_scheduled_dayPeriod_morning,0.022649701684713364,XGBRegressor,regression
flightLegs_departureInformation_airport_code_DUB,0.02242611162364483,XGBRegressor,regression
flightLegs_departureInformation_airport_code_NCE,0.022371836006641388,XGBRegressor,regression
flightLegs_arrivalInformation_airport_code_BES,0.02186945453286171,XGBRegressor,regression
flightLegs_arrivalInformation_airport_code_BER,0.021003076806664467,XGBRegressor,regression
flightLegs_aircraft_typeCode_321,0.019671093672513962,XGBRegressor,regression
flightLegs_arrivalInformation_airport_code_NCL,0.019066860899329185,XGBRegressor,regression
flightLegs_arrivalInformation_airport_code_BRS,0.01817893423140049,XGBRegressor,regression
flightLegs_departureInformation_airport_code_FSC,0.01792951487004757,XGBRegressor,regression
flightLegs_arrivalInformation_airport_code_FAO,0.014957676641643047,XGBRegressor,regression
flightLegs_aircraft_typeCode_77W,0.014525140635669231,XGBRegressor,regression
flightLegs_aircraft_typeCode_AT7,0.01349027082324028,XGBRegressor,regression
flightLegs_departureInformation_airport_code_AMS,0.012543309479951859,XGBRegressor,regression
flightLegs_arrivalInformation_airport_code_FSC,0.012407682836055756,XGBRegressor,regression
flightLegs_arrivalInformation_times_scheduled_dayPeriod_evening,0.011887836270034313,XGBRegressor,regression
flightLegs_arrivalInformation_airport_code_DUB,0.010635211132466793,XGBRegressor,regression
