,precision,recall,f1-score,support
]000;005],0.28110599078341014,0.00834587494869339,0.016210470369386127,7309.0
]005;015],0.34774796005538045,0.8515472841376326,0.4938297427316461,13863.0
]015;030],0.2759226713532513,0.15049846625766872,0.19476491750403177,10432.0
]030;060],0.28827361563517917,0.09956405568837014,0.1480087801818752,7111.0
]060;120],0.0,0.0,0.0,1824.0
]120;240],0.0,0.0,0.0,1598.0
]240;360],0.0,0.0,0.0,173.0
accuracy,0.334294493027653,0.334294493027653,0.334294493027653,0.334294493027653
macro avg,0.17043574826103156,0.15856509729033783,0.12183055868384847,42310.0
weighted avg,0.2789830452664278,0.334294493027653,0.23750229512394297,42310.0
