,precision,recall,f1-score,support
]000;005],0.2844104588061174,0.15775071829251608,0.20293936460441786,7309.0
]005;015],0.3642977783552033,0.6067950660030297,0.45526871245332035,13863.0
]015;030],0.2864142084311524,0.26898006134969327,0.27742350091452866,10432.0
]030;060],0.26328800988875156,0.1797215581493461,0.2136230672795654,7111.0
]060;120],0.08365019011406843,0.01206140350877193,0.021082894106372783,1824.0
]120;240],0.1452991452991453,0.02127659574468085,0.03711790393013101,1598.0
]240;360],0.0,0.0,0.0,173.0
accuracy,0.32391869534389034,0.32391869534389034,0.32391869534389034,0.32391869534389034
macro avg,0.20390854155634835,0.17808362900686253,0.17249363475547658,42310.0
weighted avg,0.2924579576076787,0.32391869534389034,0.2908437527518269,42310.0
