,precision,recall,f1-score,support
]000;005],0.2700019853087155,0.1860719660692297,0.22031427182893246,7309.0
]005;015],0.36035885666597123,0.6229531847363485,0.4565929998942582,13863.0
]015;030],0.2897185907378684,0.25067101226993865,0.26878404769246583,10432.0
]030;060],0.2719496855345912,0.1520180002812544,0.1950207468879668,7111.0
]060;120],0.0821917808219178,0.006578947368421052,0.012182741116751269,1824.0
]120;240],0.17532467532467533,0.016896120150187734,0.030821917808219176,1598.0
]240;360],0.0,0.0,0.0,173.0
accuracy,0.32453320727960294,0.32453320727960294,0.32453320727960294,0.32453320727960294
macro avg,0.20707793919910558,0.17645560441076857,0.16910238931837052,42310.0
weighted avg,0.29201996058576435,0.32453320727960294,0.28840104541324496,42310.0
