Callsign,Aircraft,Departure ICAO,Destination ICAO,Contributor,AIRAC validity,Date added
DLH9CK,A319,EDDM,EKCH,Pilatus,2509,10 Sep 25
BOX514,B77L,EDDP,OMDB,Pilatus,2509,10 Sep 25
WJA62,B38M,CYHZ,LFPG,Pilatus,2509,10 Sep 25
THY58W,B77W,LTFM,OMDB,Pilatus,2509,10 Sep 25
THY7ZE,A21N,LTFM,EIDW,Pilatus,2509,10 Sep 25
THY2QL,B739,LTFM,LPPR,Pilatus,2509,10 Sep 25
MOG31,E145,EGNO,EGXC,Pilatus,2509,10 Sep 25
MOG51,E145,EGNO,EDDM,Pilatus,2509,10 Sep 25
GCK21,A139,LOWK,LIPO,Pilatus,2510,10 Sep 25
KAY51,A319,EDDM,KEWR,Pilatus,2509,10 Sep 25
N979JW,FA7X,LSGG,EGLF,Pilatus,2509,10 Sep 25
N97DQ,GL7T,LSGG,KTEB,Pilatus,2509,10 Sep 25
N889LV,GLF6,EGPF,EGKB,Pilatus,2509,10 Sep 25
CMB566,B772,EINN,HESH,Pilatus,2509,10 Sep 25
N737ER,B737,LGKR,EGGW,Pilatus,2509,10 Sep 25
N737ER,B737,LGTS,LGKR,Pilatus,2509,10 Sep 25
N688CB,GLF5,KLGA,LGAV,Pilatus,2509,10 Sep 25
N500RW,TBM8,LSGS,LEIB,Pilatus,2509,10 Sep 25
N431HM,DC3,LSZG,LFGJ,Pilatus,2509,10 Sep 25
N353VA,GA5C,KBNA,LIRQ,Pilatus,2509,10 Sep 25
CTP292,CL35,BIKF,KTEB,Pilatus,2509,10 Sep 25
N28ZD,GLEX,GQNO,KIAD,Pilatus,2509,10 Sep 25
N1L,GA5C,LIRQ,LIMJ,Pilatus,2509,10 Sep 25
A7HHJ,A319,EGPE,OTBD,Pilatus,2509,10 Sep 25
IGA432,B763,EPKT,KIAH,Pilatus,2509,10 Sep 25
NCA143,B748,KORD,RJAA,jessy0506,2509,10 Sep 25
QTR646,B788,OTHH,OTHH,jessy0506,2509,10 Sep 25
ETD7MA,B789,OMAA,LSZH,jessy0506,2509,10 Sep 25
UAL943,B764,LPPT,KIAD,jessy0506,2509,10 Sep 25
HAL33,A332,KLAX,PHOG,jessy0506,2509,10 Sep 25
AFR47BY,A321,LPPT,LFPG,jessy0506,2509,10 Sep 25
ETD86B,B789,OMAA,FAOR,jessy0506,2509,10 Sep 25
NCA160,B748,PANC,KORD,jessy0506,2509,10 Sep 25
ETD416,B77W,OMAA,WMKK,jessy0506,2509,10 Sep 25
ETD946,B77L,EDDF,OMAA,jessy0506,2509,10 Sep 25
NCA159,B748,KORD,KJFK,jessy0506,2509,10 Sep 25
ETD35Q,B78X,LEBL,OMAA,jessy0506,2509,10 Sep 25
QQE754,GLF6,SEGU,LFPB,quiquem,2509,10 Sep 25
UCG321,B734,SEGU,MPTO,quiquem,2509,10 Sep 25
AOJ96M,GLF5,SEGU,LEMD,quiquem,2509,10 Sep 25
LVIZQ,C25B,SCDA,SEGU,quiquem,2509,09 Sep 25
JBU190,E190,KJFK,KBOS,Pilatus,2509,09 Sep 25
DLH8NV,A320,ESSA,EDDF,Pilatus,2509,09 Sep 25
ASL15H,A319,LYNI,EDFH,Pilatus,2509,09 Sep 25
ADB7041,A124,KPSM,EDFH,Pilatus,2509,09 Sep 25
DLH9911,B744,EDFH,EDDF,Pilatus,2509,09 Sep 25
VJT645,CRJ2,EINN,EDFH,Pilatus,2509,09 Sep 25
NCA004,B748,PANC,EHAM,Pilatus,2509,09 Sep 25
DAH2063,B738,EBBR,DAAG,Pilatus,2509,09 Sep 25
DAH2200,B738,DAAG,EBBR,Pilatus,2509,09 Sep 25
SIA21,A359,KEWR,WSSS,Pilatus,2509,09 Sep 25
N624CS,S22T,EGLK,EGPJ,Pilatus,2509,09 Sep 25
N256CD,S22T,LJBL,EDDG,Pilatus,2509,09 Sep 25
N23JA,S22T,ESSV,EKRK,Pilatus,2509,09 Sep 25
N985EK,SR22,LEBZ,LXGB,Pilatus,2509,09 Sep 25
PCH220,PC12,ENZV,BIRK,Pilatus,2509,09 Sep 25
N850BL,TBM8,LEMG,EGJJ,Pilatus,2509,09 Sep 25
N108MS,B737,LFMN,LIMJ,Pilatus,2509,09 Sep 25
LVJQW,GLF4,SABE,SEGU,quiquem,2509,09 Sep 25
TOR800,CL60,CYYZ,LFBD,Pilatus,2509,09 Sep 25
N288FA,F900,BIKF,CYYZ,Pilatus,2509,09 Sep 25
VJT801,GLEX,CYUL,ESSA,Pilatus,2509,09 Sep 25
DCSLS,PC24,LSZC,EDLN,Pilatus,2509,09 Sep 25
SPM638,B737,LFVP,LFPG,Pilatus,2509,09 Sep 25
JBU2260,A21N,LEMD,KBOS,Pilatus,2509,09 Sep 25
JBU19,E190,KBOS,KJFK,Pilatus,2509,09 Sep 25
BAW870,A319,EGLL,LHBP,Pilatus,2509,09 Sep 25
THY6BK,A321,EDDH,LTFM,Pilatus,2509,09 Sep 25
KAY58,GL7T,EDDM,LFPB,Pilatus,2509,09 Sep 25
EZS41QW,A320,EGKK,LSGG,Pilatus,2509,09 Sep 25
EZS62AW,A320,LSGG,EGKK,Pilatus,2509,09 Sep 25
FCK2FT,B350,LSZB,LSMD,Pilatus,2509,09 Sep 25
FHECK,TBM9,GMTT,LFBO,Pilatus,2509,09 Sep 25
N48PL,GLF4,BIKF,LFKF,Pilatus,2509,09 Sep 25
N213GA,G280,ENZV,CYQB,Pilatus,2509,09 Sep 25
OCN74,A333,EDDF,CYHZ,Pilatus,2509,09 Sep 25
N823QS,C700,EINN,CYYT,Pilatus,2509,09 Sep 25
CGXJS,E545,CYYT,LFPB,Pilatus,2509,09 Sep 25
N900D,F900,CYYT,LDDU,Pilatus,2509,09 Sep 25
ZKNCA,BE40,BIKF,CYYR,Pilatus,2509,09 Sep 25
MOUSE,C510,BGSF,CYYR,Pilatus,2509,09 Sep 25
N992CE,F2TH,EGGW,CYYR,Pilatus,2509,09 Sep 25
N2030P,GLF6,LIML,KSFO,Pilatus,2509,09 Sep 25
THY9JH,A321,LTFM,LSZH,Pilatus,2509,09 Sep 25
PVG3132,A321,GOBD,LPPR,Pilatus,2509,09 Sep 25
NOS1421,B772,GOBD,LIMC,Pilatus,2509,09 Sep 25
IJM572,GLF5,KSRQ,LSGG,Pilatus,2509,09 Sep 25
VJT765,GLEX,LEBL,KTPA,Pilatus,2509,09 Sep 25
VJT972,GLEX,KTPA,LFMN,Pilatus,2509,09 Sep 25
N98LE,GLEX,KMCO,LEMG,Pilatus,2509,09 Sep 25
SIO619,F2TH,KEWR,LIML,Pilatus,2509,09 Sep 25
N878SC,GLEX,LPPT,KEWR,Pilatus,2509,09 Sep 25
N650XA,GLF6,OEDR,KEWR,Pilatus,2509,09 Sep 25
PGT6MA,A320,LOWW,LTFJ,Pilatus,2509,09 Sep 25
EWG24EK,A320,LFMN,EDDB,Pilatus,2509,09 Sep 25
EWG3HC,A320,EDDM,LEPA,Pilatus,2509,09 Sep 25
PGT1NX,A320,LTFJ,LOWW,Pilatus,2509,09 Sep 25
THY6KE,A321,LTFM,EDDH,Pilatus,2509,09 Sep 25
AFR636J,A359,LFPG,KIAH,Pilatus,2509,09 Sep 25
MLM241,GLEX,LSGG,KSAV,Pilatus,2509,09 Sep 25
GTI4231,BLCF,LIBG,KCHS,Pilatus,2509,09 Sep 25
N123QS,GL5T,EICK,KFTY,Pilatus,2509,09 Sep 25
LXJ568,CL35,CYHZ,BIRK,Pilatus,2509,09 Sep 25
LXJ479,GLF4,LIRA,CYHZ,Pilatus,2509,09 Sep 25
LXJ663,GLF6,KBWI,LFMN,Pilatus,2509,09 Sep 25
N258X,FA8X,KIAD,EGSS,Pilatus,2509,09 Sep 25
LXJ481,GLF4,KIAD,EGLF,Pilatus,2509,09 Sep 25
N673MM,GA6C,KFOK,ESSA,Pilatus,2509,09 Sep 25
N40N,F2TH,KHPN,LFPB,Pilatus,2509,09 Sep 25
FYL295,F900,LFSB,KHPN,Pilatus,2509,09 Sep 25
N300CR,FA7X,KHPN,LIEO,Pilatus,2509,09 Sep 25
N60EQ,GA6C,KHPN,EGLF,Pilatus,2509,09 Sep 25
N190QS,GL7T,LFMN,KHPN,Pilatus,2509,09 Sep 25
N870PS,GLF6,LFMN,KHPN,Pilatus,2509,09 Sep 25
GSM650,GLF6,KHPN,LFMN,Pilatus,2509,09 Sep 25
AAB82,FA8X,GCTS,KTEB,Pilatus,2509,09 Sep 25
XACHR,GA6C,KTEB,LPBJ,Pilatus,2509,09 Sep 25
N700LE,GA7C,KTEB,EGLF,Pilatus,2509,09 Sep 25
N131QS,GL5T,KTEB,EGGW,Pilatus,2509,09 Sep 25
N909ZM,GLEX,KTEB,EGGW,Pilatus,2509,09 Sep 25
VCG2UG,GLEX,EGGW,KTEB,Pilatus,2509,09 Sep 25
N147QS,GLEX,EGGW,KTEB,Pilatus,2509,09 Sep 25
N167QS,GLEX,KTEB,EDDM,Pilatus,2509,09 Sep 25
NEW961,GLF5,LIML,KTEB,Pilatus,2509,09 Sep 25
VJA801,GLF5,EIKY,KTEB,Pilatus,2509,09 Sep 25
N595TG,GLF6,LEPA,KTEB,Pilatus,2509,09 Sep 25
N156WJ,GLF4,KFRG,EGPH,Pilatus,2509,09 Sep 25
OCN2104,A333,EDDF,KSWF,Pilatus,2509,09 Sep 25
N155QS,GLEX,LFMN,KBOS,Pilatus,2509,09 Sep 25
ABP941,GLF6,LZIB,KBOS,Pilatus,2509,09 Sep 25
MOZ866,CL35,KPVD,LPPD,Pilatus,2509,09 Sep 25
N902CL,C700,KPQI,LFPB,Pilatus,2509,09 Sep 25
N215CL,C700,KBGR,EGGW,Pilatus,2509,09 Sep 25
N900LW,F900,LFPB,KBGR,Pilatus,2509,09 Sep 25
N900YG,F900,KBGR,ENGM,Pilatus,2509,09 Sep 25
N445DB,GL5T,LDDU,KBGR,Pilatus,2509,09 Sep 25
XAESE,GLF4,LIML,KBGR,Pilatus,2509,09 Sep 25
N955VG,FA50,KABE,EINN,Pilatus,2509,09 Sep 25
N142LX,F2TH,KALB,LEST,Pilatus,2509,09 Sep 25
LXJ601,E550,EGPF,KBED,Pilatus,2509,09 Sep 25
N125QS,GL5T,KBED,LFMV,Pilatus,2509,09 Sep 25
N818ME,GLF4,EGPE,KBED,Pilatus,2509,09 Sep 25
N989JC,GLF5,KMKE,EIDW,Pilatus,2509,09 Sep 25
DAL1484,A359,KMSP,KDTW,Pilatus,2509,09 Sep 25
DAL9961,A359,KATL,KMSP,Pilatus,2509,09 Sep 25
CFTEL,GLF5,CYVR,EGLF,Pilatus,2509,09 Sep 25
LOD51V,C56X,EKVG,BGGH,Pilatus,2509,09 Sep 25
ADS244,F2TH,CYVR,BIKF,Pilatus,2509,09 Sep 25
AWC565Y,A21N,EGSS,KPAE,Pilatus,2509,09 Sep 25
VJT895,GLEX,LEMG,SBGR,Pilatus,2509,09 Sep 25
DLH4KU,A320,EDDM,EDDH,Pilatus,2509,09 Sep 25
QTR50R,A359,LOWW,OTHH,Pilatus,2509,09 Sep 25
EZY41UD,A320,LSGG,EGCC,Pilatus,2509,09 Sep 25
TAP241,A339,LPLA,KSFO,Pilatus,2509,09 Sep 25
TAP241,A339,LPPT,LPLA,Pilatus,2509,09 Sep 25
PHSVY,PAY2,LGIR,HELX,Pilatus,2509,09 Sep 25
5NIZA,GLF4,DNMM,EGGW,Pilatus,2509,09 Sep 25
EJM133,FA6X,KPWK,LHBP,Pilatus,2509,09 Sep 25
ETD87A,B77W,LPPT,OMAA,jessy0506,2509,09 Sep 25
DAH3027,B738,LTFM,DAAG,jessy0506,2509,09 Sep 25
PVA1913,GLEX,KTEB,LFBZ,Pilatus,2509,09 Sep 25
N92LA,GLF5,OMDB,LLBG,Pilatus,2509,09 Sep 25
N889MC,CL60,BIKF,KMTN,Pilatus,2509,09 Sep 25
N840CB,E545,EINN,CYQX,Pilatus,2509,09 Sep 25
N773JL,GL7T,LFPB,OMAA,Pilatus,2509,09 Sep 25
N728EC,GLF5,KGAO,LIMJ,Pilatus,2509,09 Sep 25
N702BD,C25A,LFPN,LFMD,Pilatus,2509,09 Sep 25
N650RV,GLEX,LEMD,EHAM,Pilatus,2509,09 Sep 25
N418RY,GLF5,LFLP,GMMX,Pilatus,2509,09 Sep 25
N405EK,F900,LIRA,OMDB,Pilatus,2509,09 Sep 25
N299FG,F900,LDSP,CYYT,Pilatus,2509,09 Sep 25
