,precision,recall,f1-score,support
CANCELLED,0.0,0.0,0.0,60.0
LATE,0.7817800239849237,0.8998496388868348,0.8366699134819229,40569.0
ONTIME,0.9306598552575565,0.8435146314359797,0.8849470113425683,64792.0
accuracy,0.8647138615645839,0.8647138615645839,0.8647138615645839,0.8647138615645839
macro avg,0.5708132930808267,0.5811214234409382,0.5738723082748304,105421.0
weighted avg,0.8728369787318653,0.8647138615645839,0.8658649460634581,105421.0
