step,shape,null_values
raw_data,"(959603, 64)",8426694
drop_na_and_unused_cols,"(959153, 32)",3060784
categorize_flights,"(959065, 33)",2350143
categorize_delay_brackets,"(959065, 33)",2350143
airport_filtering,"(578898, 33)",1311010
lateFlights_filtering,"(197762, 11)",10688
