,precision,recall,f1-score,support
]000;005],0.28391472868217055,0.17101999124471035,0.2134596120571897,6853.0
]005;015],0.3647126217299981,0.5724990633195953,0.44557198262035985,13345.0
]015;030],0.28176239814907955,0.28052078117175766,0.2811402188095955,9985.0
]030;060],0.25925925925925924,0.18682912677690747,0.21716405327937954,6894.0
]060;120],0.07171314741035857,0.010078387458006719,0.017673048600883652,1786.0
]120;240],0.1464968152866242,0.029831387808041506,0.04956896551724138,1542.0
]240;360],0.0,0.0,0.0,164.0
accuracy,0.31957898888313735,0.31957898888313735,0.31957898888313735,0.31957898888313735
macro avg,0.20112271007392718,0.17868267682557418,0.17493969726923564,40569.0
weighted avg,0.2900605443058618,0.31957898888313735,0.29138776669987526,40569.0
