,precision,recall,f1-score,support
]000;005],0.3712121212121212,0.007150153217568948,0.01403006442376521,6853.0
]005;015],0.35342937676166614,0.84563506931435,0.49850911098840417,13345.0
]015;030],0.2843262185409366,0.17876815222834253,0.2195166943368382,9985.0
]030;060],0.3019291161956034,0.0976211198143313,0.14753918667105118,6894.0
]060;120],0.0,0.0,0.0,1786.0
]120;240],0.0,0.0,0.0,1542.0
]240;360],0.0,0.0,0.0,164.0
accuracy,0.3399640119302916,0.3399640119302916,0.3399640119302916,0.3399640119302916
macro avg,0.18727097610147533,0.16131064208208468,0.12565643663143697,40569.0
weighted avg,0.3002521215394721,0.3399640119302916,0.24545247512878976,40569.0
