,precision,recall,f1-score,support
]000;005],0.31512605042016806,0.010944112067707573,0.021153574954167254,6853.0
]005;015],0.3536482033579162,0.8444361183964032,0.4985180269851803,13345.0
]015;030],0.2871582435791218,0.17356034051076616,0.216354556803995,9985.0
]030;060],0.29958847736625516,0.10559907165651292,0.15615615615615616,6894.0
]060;120],0.0,0.0,0.0,1786.0
]120;240],0.0,0.0,0.0,1542.0
]240;360],0.0,0.0,0.0,164.0
accuracy,0.3402844536468732,0.3402844536468732,0.3402844536468732,0.3402844536468732
macro avg,0.17936013924620875,0.16207709180448426,0.1274546164142141,40569.0
weighted avg,0.29114920561121294,0.3402844536468732,0.24734475361745595,40569.0
