,precision,recall,f1-score,support
]000;005],0.27412116679132387,0.21392091055012402,0.24030817146135564,6853.0
]005;015],0.3615908143895551,0.58523791682278,0.4470009157509158,13345.0
]015;030],0.2882863102426172,0.2629944917376064,0.2750602283439824,9985.0
]030;060],0.2720213540402815,0.16260516391064694,0.2035406264185202,6894.0
]060;120],0.09259259259259259,0.0083986562150056,0.015400410677618069,1786.0
]120;240],0.16591928251121077,0.023994811932555125,0.041926345609065156,1542.0
]240;360],0.0,0.0,0.0,164.0
accuracy,0.3222904187926742,0.3222904187926742,0.3222904187926742,0.3222904187926742
macro avg,0.20779021722394014,0.17959313588124542,0.17474809975163672,40569.0
weighted avg,0.292811104552206,0.3222904187926742,0.2921910852292141,40569.0
