pipeline,timestamp,best_pipeline,mode,problem_type,dataset_size_training,dataset_size_testing,accuracy,macro_avg_precision,macro_avg_recall,macro_avg_f1,processing_time,numeric_features,categorical_features,target_variable,mae,mse,rmse,r2,estimator__C,estimator__class_weight,estimator__dual,estimator__fit_intercept,estimator__intercept_scaling,estimator__l1_ratio,estimator__max_iter,estimator__multi_class,estimator__n_jobs,estimator__penalty,estimator__random_state,estimator__solver,estimator__tol,estimator__verbose,estimator__warm_start,n_jobs,estimator.C,estimator.class_weight,estimator.dual,estimator.fit_intercept,estimator.intercept_scaling,estimator.l1_ratio,estimator.max_iter,estimator.multi_class,estimator.n_jobs,estimator.penalty,estimator.random_state,estimator.solver,estimator.tol,estimator.verbose,estimator.warm_start,ccp_alpha,class_weight,criterion,max_depth,max_features,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,monotonic_cst,random_state,splitter,bootstrap,max_samples,n_estimators,oob_score,verbose,warm_start,copy_X,fit_intercept,positive,tol,objective,base_score,booster,callbacks,colsample_bylevel,colsample_bynode,colsample_bytree,device,early_stopping_rounds,enable_categorical,eval_metric,feature_types,feature_weights,gamma,grow_policy,importance_type,interaction_constraints,learning_rate,max_bin,max_cat_threshold,max_cat_to_onehot,max_delta_step,max_leaves,min_child_weight,missing,monotone_constraints,multi_strategy,num_parallel_tree,reg_alpha,reg_lambda,sampling_method,scale_pos_weight,subsample,tree_method,validate_parameters,verbosity
Logistic_OVO,2025_11_22T01_51_29,False,grid,classification_status,464171,116043,0.8495471506251993,0.5542053640528698,0.5690135354476349,0.5593843667039328,53,[],"['flightlegs_aircraft_ownerairlinecode', 'flightlegs_aircraft_typecode', 'flightlegs_arrinfo_airport_city_country_areacode', 'flightlegs_arrinfo_airport_code', 'flightlegs_depinfo_airport_city_country_areacode', 'flightlegs_depinfo_airport_code', 'flightlegs_scheduledflightduration', 'flightlegs_season', 'flightlegs_arrinfo_times_scheduled_dayPeriod', 'flightlegs_depinfo_times_scheduled_dayPeriod']",flightlegs_publishedstatus,,,,,1.0,,False,True,1.0,,1000.0,deprecated,,l2,,lbfgs,0.0001,0.0,False,,1.0,,False,True,1.0,,1000.0,deprecated,,l2,,lbfgs,0.0001,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DecisionTree,2025_11_22T01_51_29,False,grid,classification_status,464171,116043,0.8022974242306731,0.5224218419176512,0.5373338817963792,0.5267043411356361,43,[],"['flightlegs_aircraft_ownerairlinecode', 'flightlegs_aircraft_typecode', 'flightlegs_arrinfo_airport_city_country_areacode', 'flightlegs_arrinfo_airport_code', 'flightlegs_depinfo_airport_city_country_areacode', 'flightlegs_depinfo_airport_code', 'flightlegs_scheduledflightduration', 'flightlegs_season', 'flightlegs_arrinfo_times_scheduled_dayPeriod', 'flightlegs_depinfo_times_scheduled_dayPeriod']",flightlegs_publishedstatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,gini,5.0,,,0.0,1.0,2.0,0.0,,,best,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,2025_11_22T01_51_29,True,grid,classification_status,464171,116043,0.8682815852744241,0.6782895913462589,0.5831858757408304,0.5822555488815294,2511,[],"['flightlegs_aircraft_ownerairlinecode', 'flightlegs_aircraft_typecode', 'flightlegs_arrinfo_airport_city_country_areacode', 'flightlegs_arrinfo_airport_code', 'flightlegs_depinfo_airport_city_country_areacode', 'flightlegs_depinfo_airport_code', 'flightlegs_scheduledflightduration', 'flightlegs_season', 'flightlegs_arrinfo_times_scheduled_dayPeriod', 'flightlegs_depinfo_times_scheduled_dayPeriod']",flightlegs_publishedstatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,gini,,sqrt,,0.0,1.0,2.0,0.0,,,,True,,100.0,False,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logistic_OVR,2025_11_22T01_51_29,False,grid,classification_status,464171,116043,0.8492455382918401,0.5540044560432672,0.5688524993193594,0.5591837499811149,88,[],"['flightlegs_aircraft_ownerairlinecode', 'flightlegs_aircraft_typecode', 'flightlegs_arrinfo_airport_city_country_areacode', 'flightlegs_arrinfo_airport_code', 'flightlegs_depinfo_airport_city_country_areacode', 'flightlegs_depinfo_airport_code', 'flightlegs_scheduledflightduration', 'flightlegs_season', 'flightlegs_arrinfo_times_scheduled_dayPeriod', 'flightlegs_depinfo_times_scheduled_dayPeriod']",flightlegs_publishedstatus,,,,,1.0,,False,True,1.0,,1000.0,deprecated,,l2,,liblinear,0.0001,0.0,False,,1.0,,False,True,1.0,,1000.0,deprecated,,l2,,liblinear,0.0001,0.0,False,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logistic_OVO,2025_11_22T01_51_29,False,grid,classification_delay,158923,39731,0.33918099217235914,0.17163284776689774,0.1589668388706035,0.11944148566844363,29,[],"['flightlegs_aircraft_ownerairlinecode', 'flightlegs_aircraft_typecode', 'flightlegs_arrinfo_airport_city_country_areacode', 'flightlegs_arrinfo_airport_code', 'flightlegs_depinfo_airport_city_country_areacode', 'flightlegs_depinfo_airport_code', 'flightlegs_scheduledflightduration', 'flightlegs_season', 'flightlegs_arrinfo_times_scheduled_dayPeriod', 'flightlegs_depinfo_times_scheduled_dayPeriod']",flightlegs_irregularity_delayduration_total_bracket,,,,,0.01,,False,True,1.0,,1000.0,deprecated,,l2,,liblinear,0.0001,0.0,False,,0.01,,False,True,1.0,,1000.0,deprecated,,l2,,liblinear,0.0001,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DecisionTree,2025_11_22T01_51_29,False,grid,classification_delay,158923,39731,0.3324356296091213,0.17722305469487118,0.14795968379141583,0.08587951890650689,12,[],"['flightlegs_aircraft_ownerairlinecode', 'flightlegs_aircraft_typecode', 'flightlegs_arrinfo_airport_city_country_areacode', 'flightlegs_arrinfo_airport_code', 'flightlegs_depinfo_airport_city_country_areacode', 'flightlegs_depinfo_airport_code', 'flightlegs_scheduledflightduration', 'flightlegs_season', 'flightlegs_arrinfo_times_scheduled_dayPeriod', 'flightlegs_depinfo_times_scheduled_dayPeriod']",flightlegs_irregularity_delayduration_total_bracket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,gini,5.0,,,0.0,1.0,2.0,0.0,,,best,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,2025_11_22T01_51_29,True,grid,classification_delay,158923,39731,0.3407918250232816,0.2554392099540951,0.15994981858101592,0.12123111814057545,697,[],"['flightlegs_aircraft_ownerairlinecode', 'flightlegs_aircraft_typecode', 'flightlegs_arrinfo_airport_city_country_areacode', 'flightlegs_arrinfo_airport_code', 'flightlegs_depinfo_airport_city_country_areacode', 'flightlegs_depinfo_airport_code', 'flightlegs_scheduledflightduration', 'flightlegs_season', 'flightlegs_arrinfo_times_scheduled_dayPeriod', 'flightlegs_depinfo_times_scheduled_dayPeriod']",flightlegs_irregularity_delayduration_total_bracket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,gini,20.0,sqrt,,0.0,1.0,2.0,0.0,,,,True,,100.0,False,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logistic_OVR,2025_11_22T01_51_29,False,grid,classification_delay,158923,39731,0.33870277616974154,0.18458052485312812,0.1587268115322881,0.11922266891112838,35,[],"['flightlegs_aircraft_ownerairlinecode', 'flightlegs_aircraft_typecode', 'flightlegs_arrinfo_airport_city_country_areacode', 'flightlegs_arrinfo_airport_code', 'flightlegs_depinfo_airport_city_country_areacode', 'flightlegs_depinfo_airport_code', 'flightlegs_scheduledflightduration', 'flightlegs_season', 'flightlegs_arrinfo_times_scheduled_dayPeriod', 'flightlegs_depinfo_times_scheduled_dayPeriod']",flightlegs_irregularity_delayduration_total_bracket,,,,,0.01,,False,True,1.0,,1000.0,deprecated,,l2,,lbfgs,0.0001,0.0,False,,0.01,,False,True,1.0,,1000.0,deprecated,,l2,,lbfgs,0.0001,0.0,False,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LinearRegression,2025_11_22T01_51_29,False,grid,regression,158923,39731,,,,,5,[],"['flightlegs_aircraft_ownerairlinecode', 'flightlegs_aircraft_typecode', 'flightlegs_arrinfo_airport_city_country_areacode', 'flightlegs_arrinfo_airport_code', 'flightlegs_depinfo_airport_city_country_areacode', 'flightlegs_depinfo_airport_code', 'flightlegs_scheduledflightduration', 'flightlegs_season', 'flightlegs_arrinfo_times_scheduled_dayPeriod', 'flightlegs_depinfo_times_scheduled_dayPeriod']",flightlegs_irregularity_delayduration_total,21.967776925330252,1370.617308542595,37.021849069739815,0.051307110532109235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DecisionTreeRegressor,2025_11_22T01_51_29,False,grid,regression,158923,39731,,,,,6,[],"['flightlegs_aircraft_ownerairlinecode', 'flightlegs_aircraft_typecode', 'flightlegs_arrinfo_airport_city_country_areacode', 'flightlegs_arrinfo_airport_code', 'flightlegs_depinfo_airport_city_country_areacode', 'flightlegs_depinfo_airport_code', 'flightlegs_scheduledflightduration', 'flightlegs_season', 'flightlegs_arrinfo_times_scheduled_dayPeriod', 'flightlegs_depinfo_times_scheduled_dayPeriod']",flightlegs_irregularity_delayduration_total,21.98774276255508,1380.1133680125981,37.149877092833,0.04473427357681403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,squared_error,7.0,,,0.0,1.0,2.0,0.0,,,best,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
