,precision,recall,f1-score,support
]000;005],0.27710843373493976,0.006921456515197111,0.013505578391074574,6646.0
]005;015],0.3514749452531238,0.8349781960064264,0.4947079754323142,13071.0
]015;030],0.28057675996607295,0.16997225362244373,0.21169845129911685,9731.0
]030;060],0.2944996180290298,0.11234154159988344,0.16264107161691804,6863.0
]060;120],0.0,0.0,0.0,1772.0
]120;240],0.0,0.0,0.0,1467.0
]240;360],0.0,0.0,0.0,181.0
accuracy,0.33689058921245374,0.33689058921245374,0.33689058921245374,0.33689058921245374
macro avg,0.17195139385473804,0.16060192110627866,0.1260790109627748,39731.0
weighted avg,0.28157446300795547,0.33689058921245374,0.24495555926006082,39731.0
