,precision,recall,f1-score,support
]000;005],0.27860696517412936,0.008275454411112753,0.016073478760045924,6767.0
]005;015],0.35450521558795306,0.8476169330965068,0.49992361247517403,13512.0
]015;030],0.27544398907103823,0.1618990263976714,0.2039319805297427,9963.0
]030;060],0.309297052154195,0.09966389010667835,0.15075154730327145,6843.0
]060;120],0.0,0.0,0.0,1797.0
]120;240],0.0,0.0,0.0,1518.0
]240;360],0.0,0.0,0.0,169.0
accuracy,0.3402598042840593,0.3402598042840593,0.3402598042840593,0.3402598042840593
macro avg,0.17397903171247364,0.15963647200170988,0.12438294558117631,40569.0
weighted avg,0.28435938764484375,0.3402598042840593,0.24469679417160628,40569.0
