,precision,recall,f1-score,support
]000;005],0.27936507936507937,0.013004285503177183,0.024851736797514828,6767.0
]005;015],0.35490854328114707,0.837181764357608,0.498490690756858,13512.0
]015;030],0.2797367977054159,0.1664157382314564,0.20868470736312145,9963.0
]030;060],0.30445443400081734,0.10887037848896683,0.1603875134553283,6843.0
]060;120],0.0,0.0,0.0,1797.0
]120;240],0.0,0.0,0.0,1518.0
]240;360],0.0,0.0,0.0,169.0
accuracy,0.3402351549212453,0.3402351549212453,0.3402351549212453,0.3402351549212453
macro avg,0.17406640776463708,0.1607817380830298,0.12748780691040323,40569.0
weighted avg,0.28485757934099937,0.3402351549212453,0.2484763097549616,40569.0
