,precision,recall,f1-score,support
CANCELLED,0.0,0.0,0.0,62.0
LATE,0.7918559477070444,0.9104939730560151,0.8470409745049967,42310.0
ONTIME,0.9383282116319529,0.8513934172285086,0.8927494082886005,67783.0
accuracy,0.87361445236258,0.87361445236258,0.87361445236258,0.87361445236258
macro avg,0.5767280531129991,0.5872957967615079,0.5799301275978658,110155.0
weighted avg,0.8815407953931615,0.87361445236258,0.8746905430832247,110155.0
