step,shape,null_values
raw_data,"(983317, 45)",8933246
drop_na_and_unused_cols,"(983317, 23)",5427175
categorize_flights,"(949231, 25)",4430896
eu_filtering,"(488712, 25)",2036431
lateFlights_filtering,"(175221, 12)",0
