feature,importance,pipeline,problem_type
flightLegs_scheduledFlightDuration,0.1961181722060046,DecisionTree,classification
flightLegs_departureInformation_airport_code_AMS,0.06539842049686646,DecisionTree,classification
flightLegs_arrivalInformation_airport_code_AMS,0.06201390208342216,DecisionTree,classification
flightLegs_aircraft_typeCode_E90,0.05123405130387492,DecisionTree,classification
flightLegs_departureInformation_airport_code_CDG,0.05013772047270697,DecisionTree,classification
flightLegs_arrivalInformation_airport_code_CDG,0.04172091060871601,DecisionTree,classification
flightLegs_departureInformation_airport_code_ORY,0.03456074019231227,DecisionTree,classification
flightLegs_aircraft_typeCode_73H,0.029712295808414106,DecisionTree,classification
flightLegs_aircraft_typeCode_32N,0.024298028901866706,DecisionTree,classification
flightLegs_aircraft_typeCode_E7W,0.0229083894466618,DecisionTree,classification
flightLegs_aircraft_typeCode_223,0.01740873025815623,DecisionTree,classification
flightLegs_season_summer,0.01579962838831581,DecisionTree,classification
flightLegs_arrivalInformation_times_scheduled_dayPeriod_morning,0.01389798305045732,DecisionTree,classification
flightLegs_departureInformation_airport_code_NCE,0.012816626350152679,DecisionTree,classification
flightLegs_aircraft_typeCode_320,0.012473214466299645,DecisionTree,classification
flightLegs_departureInformation_times_scheduled_dayPeriod_morning,0.012093978889151999,DecisionTree,classification
flightLegs_departureInformation_times_scheduled_dayPeriod_evening,0.011802098796616544,DecisionTree,classification
flightLegs_aircraft_typeCode_32A,0.011188945767216539,DecisionTree,classification
flightLegs_arrivalInformation_times_scheduled_dayPeriod_evening,0.010181145578548061,DecisionTree,classification
flightLegs_departureInformation_airport_code_AJA,0.010151741978154232,DecisionTree,classification
flightLegs_scheduledFlightDuration,0.1833554779290421,RandomForest,classification
flightLegs_aircraft_typeCode_E90,0.046408951045180065,RandomForest,classification
flightLegs_departureInformation_airport_code_AMS,0.0462265706229541,RandomForest,classification
flightLegs_aircraft_typeCode_295,0.025597698611364586,RandomForest,classification
flightLegs_arrivalInformation_airport_code_AMS,0.02533265759512072,RandomForest,classification
flightLegs_aircraft_typeCode_32N,0.024249590281796893,RandomForest,classification
flightLegs_departureInformation_airport_code_CDG,0.022633720705797028,RandomForest,classification
flightLegs_season_summer,0.02029881354618734,RandomForest,classification
flightLegs_aircraft_typeCode_73H,0.01972825806969233,RandomForest,classification
flightLegs_arrivalInformation_airport_code_ORY,0.018844107772492912,RandomForest,classification
flightLegs_aircraft_typeCode_223,0.018374079409693416,RandomForest,classification
flightLegs_aircraft_typeCode_E7W,0.018230299625519447,RandomForest,classification
flightLegs_departureInformation_airport_code_ORY,0.01748734113487093,RandomForest,classification
flightLegs_arrivalInformation_airport_code_CDG,0.014322414533801255,RandomForest,classification
flightLegs_arrivalInformation_times_scheduled_dayPeriod_morning,0.01425890505720891,RandomForest,classification
flightLegs_aircraft_typeCode_32A,0.014086557331733206,RandomForest,classification
flightLegs_arrivalInformation_times_scheduled_dayPeriod_evening,0.013441712194013664,RandomForest,classification
flightLegs_departureInformation_times_scheduled_dayPeriod_morning,0.0134222323528262,RandomForest,classification
flightLegs_departureInformation_times_scheduled_dayPeriod_evening,0.01329948934959578,RandomForest,classification
flightLegs_aircraft_typeCode_32S,0.012635026549729667,RandomForest,classification
flightLegs_arrivalInformation_airport_code_PDL,532.4953124880252,LinearRegression,regression
flightLegs_aircraft_typeCode_290,170.2431782309654,LinearRegression,regression
flightLegs_aircraft_typeCode_781,168.00900817633865,LinearRegression,regression
flightLegs_aircraft_typeCode_73G,165.58365436920735,LinearRegression,regression
flightLegs_aircraft_typeCode_AT7,163.3943826373682,LinearRegression,regression
flightLegs_aircraft_typeCode_339,158.90051828374848,LinearRegression,regression
flightLegs_aircraft_typeCode_7M9,154.84678285301223,LinearRegression,regression
flightLegs_aircraft_typeCode_221,154.19992727904963,LinearRegression,regression
flightLegs_aircraft_typeCode_733,153.68384409364526,LinearRegression,regression
flightLegs_aircraft_typeCode_32S,153.36491271285738,LinearRegression,regression
flightLegs_aircraft_typeCode_738,152.52458191596338,LinearRegression,regression
flightLegs_aircraft_typeCode_DH4,152.28778488411993,LinearRegression,regression
flightLegs_aircraft_typeCode_E7W,151.881473856975,LinearRegression,regression
flightLegs_aircraft_typeCode_CS3,151.33094761698445,LinearRegression,regression
flightLegs_aircraft_typeCode_32B,150.28707808555092,LinearRegression,regression
flightLegs_aircraft_typeCode_7S8,149.009724766405,LinearRegression,regression
flightLegs_aircraft_typeCode_295,148.51504769483896,LinearRegression,regression
flightLegs_aircraft_typeCode_32N,148.38990323767945,LinearRegression,regression
flightLegs_aircraft_typeCode_73W,148.18876895893067,LinearRegression,regression
flightLegs_aircraft_typeCode_220,147.5642057490766,LinearRegression,regression
flightLegs_scheduledFlightDuration,0.18649678390019658,DecisionTreeRegressor,regression
flightLegs_arrivalInformation_times_scheduled_dayPeriod_evening,0.126808188032847,DecisionTreeRegressor,regression
flightLegs_departureInformation_times_scheduled_dayPeriod_morning,0.06109559562715049,DecisionTreeRegressor,regression
flightLegs_season_summer,0.040431448085722535,DecisionTreeRegressor,regression
flightLegs_season_spring,0.04010851785857348,DecisionTreeRegressor,regression
flightLegs_departureInformation_times_scheduled_dayPeriod_evening,0.034619734849752955,DecisionTreeRegressor,regression
flightLegs_aircraft_typeCode_32A,0.033610516607554715,DecisionTreeRegressor,regression
flightLegs_aircraft_typeCode_E90,0.025910918432563157,DecisionTreeRegressor,regression
flightLegs_aircraft_typeCode_321,0.023770296006979722,DecisionTreeRegressor,regression
flightLegs_departureInformation_airport_code_NCE,0.011786004606095744,DecisionTreeRegressor,regression
flightLegs_aircraft_typeCode_320,0.011700591144741626,DecisionTreeRegressor,regression
flightLegs_aircraft_typeCode_319,0.0114379833280758,DecisionTreeRegressor,regression
flightLegs_arrivalInformation_airport_code_PDL,0.011067229699493803,DecisionTreeRegressor,regression
flightLegs_arrivalInformation_airport_code_LHR,0.0086314080860967,DecisionTreeRegressor,regression
flightLegs_arrivalInformation_airport_code_NCE,0.008385450566075783,DecisionTreeRegressor,regression
flightLegs_arrivalInformation_airport_code_AMS,0.008318496969469485,DecisionTreeRegressor,regression
flightLegs_aircraft_typeCode_E70,0.008251855843700417,DecisionTreeRegressor,regression
flightLegs_aircraft_typeCode_73H,0.007699551985550177,DecisionTreeRegressor,regression
flightLegs_arrivalInformation_times_scheduled_dayPeriod_morning,0.007426236274749344,DecisionTreeRegressor,regression
flightLegs_arrivalInformation_airport_code_BOJ,0.00739564536202666,DecisionTreeRegressor,regression
flightLegs_scheduledFlightDuration,0.1503097725992791,RandomForestRegressor,regression
flightLegs_arrivalInformation_times_scheduled_dayPeriod_evening,0.08500605828278972,RandomForestRegressor,regression
flightLegs_season_summer,0.05912951375802742,RandomForestRegressor,regression
flightLegs_departureInformation_times_scheduled_dayPeriod_morning,0.050697047456975716,RandomForestRegressor,regression
flightLegs_departureInformation_times_scheduled_dayPeriod_evening,0.04934657434725679,RandomForestRegressor,regression
flightLegs_aircraft_typeCode_E90,0.03926133327769264,RandomForestRegressor,regression
flightLegs_aircraft_typeCode_32A,0.024927492680819414,RandomForestRegressor,regression
flightLegs_season_spring,0.02392468742636044,RandomForestRegressor,regression
flightLegs_aircraft_typeCode_321,0.02044213572626694,RandomForestRegressor,regression
flightLegs_arrivalInformation_airport_code_PDL,0.01622349790232653,RandomForestRegressor,regression
flightLegs_aircraft_typeCode_320,0.014570447016712076,RandomForestRegressor,regression
flightLegs_aircraft_typeCode_223,0.012553258336057627,RandomForestRegressor,regression
flightLegs_aircraft_typeCode_319,0.012485982047560457,RandomForestRegressor,regression
flightLegs_aircraft_typeCode_295,0.011676890214067316,RandomForestRegressor,regression
flightLegs_aircraft_typeCode_73H,0.01141715418973642,RandomForestRegressor,regression
flightLegs_departureInformation_airport_code_NCE,0.010496207202721607,RandomForestRegressor,regression
flightLegs_aircraft_typeCode_E70,0.009293966203286291,RandomForestRegressor,regression
flightLegs_arrivalInformation_airport_code_NCE,0.008457727101492087,RandomForestRegressor,regression
flightLegs_departureInformation_airport_code_WAW,0.007833932717046512,RandomForestRegressor,regression
flightLegs_arrivalInformation_times_scheduled_dayPeriod_morning,0.007433159267387664,RandomForestRegressor,regression
flightLegs_departureInformation_airport_code_WAW,0.06304081529378891,XGBRegressor,regression
flightLegs_arrivalInformation_airport_code_PDL,0.04552796110510826,XGBRegressor,regression
flightLegs_departureInformation_airport_code_BRS,0.035736002027988434,XGBRegressor,regression
flightLegs_arrivalInformation_airport_code_BOJ,0.027846045792102814,XGBRegressor,regression
flightLegs_departureInformation_times_scheduled_dayPeriod_morning,0.022649701684713364,XGBRegressor,regression
flightLegs_departureInformation_airport_code_DUB,0.02242611162364483,XGBRegressor,regression
flightLegs_departureInformation_airport_code_NCE,0.022371836006641388,XGBRegressor,regression
flightLegs_arrivalInformation_airport_code_BES,0.02186945453286171,XGBRegressor,regression
flightLegs_arrivalInformation_airport_code_BER,0.021003076806664467,XGBRegressor,regression
flightLegs_aircraft_typeCode_321,0.019671093672513962,XGBRegressor,regression
flightLegs_arrivalInformation_airport_code_NCL,0.019066860899329185,XGBRegressor,regression
flightLegs_arrivalInformation_airport_code_BRS,0.01817893423140049,XGBRegressor,regression
flightLegs_departureInformation_airport_code_FSC,0.01792951487004757,XGBRegressor,regression
flightLegs_arrivalInformation_airport_code_FAO,0.014957676641643047,XGBRegressor,regression
flightLegs_aircraft_typeCode_77W,0.014525140635669231,XGBRegressor,regression
flightLegs_aircraft_typeCode_AT7,0.01349027082324028,XGBRegressor,regression
flightLegs_departureInformation_airport_code_AMS,0.012543309479951859,XGBRegressor,regression
flightLegs_arrivalInformation_airport_code_FSC,0.012407682836055756,XGBRegressor,regression
flightLegs_arrivalInformation_times_scheduled_dayPeriod_evening,0.011887836270034313,XGBRegressor,regression
flightLegs_arrivalInformation_airport_code_DUB,0.010635211132466793,XGBRegressor,regression
