Callsign,Aircraft,Departure ICAO,Destination ICAO,Contributor,AIRAC validity,Date added
N889CG,GLF4,KTEB,LFPB,Pilatus,2504,17 Apr 25
N480VR,GLF4,KTEB,EDDF,Pilatus,2504,17 Apr 25
D2ANH,GLEX,GVNP,KTEB,Pilatus,2504,17 Apr 25
N70MJ,GLEX,KTEB,EGSH,Pilatus,2504,17 Apr 25
N148QS,GLEX,KTEB,GMMN,Pilatus,2504,17 Apr 25
N100QS,GL5T,KTEB,LIRS,Pilatus,2504,17 Apr 25
N57SN,FA8X,EHAM,KTEB,Pilatus,2504,17 Apr 25
LRQ163C,CL60,LPPD,KTEB,Pilatus,2504,17 Apr 25
N261QS,CL60,KTEB,GMMX,Pilatus,2504,17 Apr 25
N809SB,CL35,KBGR,EGPH,Pilatus,2504,17 Apr 25
Q3BSGT,GL5T,EGSS,KHPN,Pilatus,2504,17 Apr 25
N617EA,GLF5,KHPN,LFPB,Pilatus,2504,17 Apr 25
VJT938,GLEX,EGGW,KFLL,Pilatus,2503,17 Apr 25
N954L,GLEX,LPPR,KOPF,Pilatus,2503,17 Apr 25
N124ST,GLEX,LFTH,KOPF,Pilatus,2504,17 Apr 25
JME515U,GLEX,KOPF,LFMN,Pilatus,2504,17 Apr 25
N769WE,GLF5,EGGW,KOPF,Pilatus,2503,17 Apr 25
EAU24K,GLF6,EINN,KOPF,Pilatus,2504,17 Apr 25
N912GG,GLF6,KRDU,EGLF,Pilatus,2504,17 Apr 25
ICE820,B39M,KRDU,BIKF,Pilatus,2504,17 Apr 25
EIN9LT,A21N,KCLE,EIDW,Pilatus,2504,17 Apr 25
AZQ9912,IL76,BIKF,KORD,Pilatus,2504,17 Apr 25
LXJ660,GLF6,LEMG,KHPN,Pilatus,2504,17 Apr 25
LXJ661,GLF6,LIRP,KDTW,Pilatus,2504,17 Apr 25
EJM318,FA8X,LCLK,KHPN,Pilatus,2504,17 Apr 25
IGO9002,A21N,LFBO,UBBB,Pilatus,2504,17 Apr 25
LWG27H,E550,KBGR,LFBO,Pilatus,2504,17 Apr 25
JFA95U,PC12,LFBO,LSGG,Pilatus,2504,17 Apr 25
AIB565B,A20N,EDHI,EDDH,Pilatus,2504,17 Apr 25
VJT768,GL7T,OMAD,KIAD,Pilatus,2503,17 Apr 25
N2FE,GLEX,LFPB,KIAD,Pilatus,2504,17 Apr 25
NJE611F,GLEX,GMME,KIAD,Pilatus,2504,17 Apr 25
VJT813,GLEX,KBED,EIDW,Pilatus,2504,17 Apr 25
N142HQ,GLF4,KGRB,BIKF,Pilatus,2504,17 Apr 25
MMD6813,FA8X,KPWK,LFMN,Pilatus,2504,17 Apr 25
DAL185,A333,LIMC,KJFK,Pilatus,2504,17 Apr 25
MEA7305,A320,HESH,OLBA,Pilatus,2504,17 Apr 25
AFL425,B738,HEGN,UUEE,Pilatus,2504,17 Apr 25
FIN8CA,A359,EBBR,EFHK,Pilatus,2504,17 Apr 25
EXS65BM,A321,LEBL,EGCC,Pilatus,2504,17 Apr 25
