Callsign,Aircraft,Departure ICAO,Destination ICAO,Contributor,AIRAC validity,Date added
AXY978E,B737,KVNY,BIKF,Pilatus,2508,22 Aug 25
N100LA,GL5T,KOPF,LFMN,Pilatus,2508,22 Aug 25
FJO647,GLF6,KOPF,LEMG,Pilatus,2508,22 Aug 25
PSMGG,GA7C,KFLL,LFMN,Pilatus,2508,22 Aug 25
PRPSE,GLF5,KFLL,LFMN,Pilatus,2508,22 Aug 25
PSFMV,GLF5,KFLL,LFMN,Pilatus,2508,22 Aug 25
N300CR,FA7X,EGFF,KHPN,Pilatus,2508,22 Aug 25
N247WE,GL5T,KHPN,EIDW,Pilatus,2508,22 Aug 25
VJT779,GL7T,EGWU,KHPN,Pilatus,2508,22 Aug 25
N186QS,GL7T,KHPN,LGAV,Pilatus,2508,22 Aug 25
VJT968,GLEX,EGPF,KHPN,Pilatus,2508,22 Aug 25
TVS54J,C700,EINN,KTEB,Pilatus,2508,22 Aug 25
FJO62L,E550,EGGW,KTEB,Pilatus,2508,22 Aug 25
RKK29,FA7X,KTEB,EGWU,Pilatus,2508,22 Aug 25
AXS700,GA7C,LGAV,KTEB,Pilatus,2508,22 Aug 25
VTSRJ,GLEX,EGLF,KTEB,Pilatus,2508,22 Aug 25
IFA6230,GLEX,LIRA,KTEB,Pilatus,2508,22 Aug 25
AOJ77E,GLEX,LGAV,KTEB,Pilatus,2508,22 Aug 25
N157QS,GLEX,KTEB,EGGW,Pilatus,2508,22 Aug 25
N889CG,GLF4,EINN,KTEB,Pilatus,2508,22 Aug 25
WWI91,GLF4,EGSS,KTEB,Pilatus,2508,22 Aug 25
TWY1962,GLF4,KTEB,EGFF,Pilatus,2508,22 Aug 25
N18TV,GLF4,KTEB,EIDW,Pilatus,2508,22 Aug 25
N889AH,GLF5,KTEB,EDDF,Pilatus,2508,22 Aug 25
GJE212,GLF5,KTEB,LEMD,Pilatus,2508,22 Aug 25
N773CJ,GLF6,KTEB,LFTH,Pilatus,2508,22 Aug 25
TWY26,GLEX,EGKB,KFAR,Pilatus,2508,22 Aug 25
N855A,G280,KBGR,EIDW,Pilatus,2508,22 Aug 25
N65TL,S22T,LFAT,EGLM,Pilatus,2508,22 Aug 25
N702SR,S22T,EDMA,LSGK,Pilatus,2508,22 Aug 25
N3600X,S22T,EGAA,EGPT,Pilatus,2508,22 Aug 25
N840CD,SR20,EGTB,EIWT,Pilatus,2508,22 Aug 25
N214CL,SR22,LFMD,EGSX,Pilatus,2508,22 Aug 25
N112SK,SR22,EDFM,LYBE,Pilatus,2508,22 Aug 25
N710AT,TBM7,LFQA,LFMV,Pilatus,2508,22 Aug 25
N700QT,TBM7,LFPN,LFMD,Pilatus,2508,22 Aug 25
N55LY,TBM9,LFKF,LFOP,Pilatus,2508,22 Aug 25
N51YL,TBM7,LFOO,LFSW,Pilatus,2508,22 Aug 25
BTX6F,FA7X,LKPR,KDAL,Pilatus,2508,22 Aug 25
KAY51,A319,LOWW,LFKB,Pilatus,2508,22 Aug 25
