Callsign,Aircraft,Departure ICAO,Destination ICAO,Contributor,AIRAC validity,Date added
MBU7VB,A20N,LEJR,EDDP,Volarium,2504,04 May 25
ARL100Y,H25B,LEBL,LEBZ,Volarium,2504,04 May 25
THY2KM,B38M,LTFM,EDDL,Volarium,2504,04 May 25
EDW266N,A359,LSZH,LEIB,Volarium,2504,04 May 25
ITY802,A319,LIRF,DAAG,Volarium,2504,04 May 25
ITY803,A319,DAAG,LIRF,Volarium,2504,04 May 25
RYR13SX,B38M,LROP,LEPA,Volarium,2504,04 May 25
SKW5102,CRJ2,KDEN,KDVL,Pilatus,2504,04 May 25
UAL280C,B38M,KDEN,PANC,Pilatus,2504,04 May 25
ENY4076,E170,KDEN,KPHX,Pilatus,2504,04 May 25
UAL337,B38M,KDEN,KMFR,Pilatus,2504,04 May 25
UAL1836,A320,KDEN,KMKE,Pilatus,2504,04 May 25
UAL702,A21N,KDEN,KORD,Pilatus,2504,04 May 25
SKW5444,E75L,KDEN,KASE,Pilatus,2504,04 May 25
AAL616,B38M,KATL,KORD,Pilatus,2504,04 May 25
AAL705,B772,EDDF,KCLT,Pilatus,2504,04 May 25
AAL109,B772,EGLL,KBOS,Pilatus,2504,04 May 25
UAL1702,B772,KIAD,KSFO,dx73790,2504,04 May 25
UAL131,B772,KEWR,RJTT,dx73790,2504,04 May 25
UAL875,B772,KSFO,RJTT,dx73790,2504,04 May 25
UAL901,B772,KSFO,EGLL,dx73790,2504,04 May 25
UAL1374,B772,KSFO,KDEN,dx73790,2504,04 May 25
UAL1385,B772,KSFO,KIAD,dx73790,2504,04 May 25
UAL838,B77W,RJAA,KSFO,dx73790,2504,04 May 25
UAL1517,A320,KSFO,KDFW,dx73790,2504,04 May 25
UAL1240,A320,KDFW,KIAD,dx73790,2504,04 May 25
UAL1599,B772,KORD,KDEN,Pilatus,2504,04 May 25
SKW3453,E75L,KPDX,KSLC,Pilatus,2504,03 May 25
AAL1695,B772,KCLT,KDFW,Pilatus,2504,03 May 25
UAL1387,B772,KORD,KSFO,Pilatus,2504,03 May 25
UAL2391,B772,KDEN,KSFO,Pilatus,2504,03 May 25
LOT2,B788,KORD,EPWA,Sinkrate,2504,02 May 25
VOE4KL,A320,LEMG,LEBB,Sinkrate,2504,02 May 25
VOE61JQ,A320,LEBB,LEMG,Sinkrate,2504,02 May 25
THY9ZD,B77W,LTFM,OMDB,Sinkrate,2504,02 May 25
LOT4TL,B772,EPWA,KJFK,Sinkrate,2504,02 May 25
HFM801,A388,LEBL,EDDB,Sinkrate,2504,02 May 25
THY20,B77W,LTFM,RKSI,Sinkrate,2504,02 May 25
DLH2441,A320,EDDN,EDDM,Sinkrate,2504,02 May 25
ARL191V,H25C,DAAG,LFMN,Sinkrate,2504,02 May 25
