Callsign,Aircraft,Departure ICAO,Destination ICAO,Contributor,AIRAC validity,Date added
LKF16,G280,KTYQ,LFRK,Pilatus,2510,05 Oct 25
DLH5HP,A321,LGAV,EDDM,Pilatus,2510,05 Oct 25
N516PM,C680,EINN,CYQX,Pilatus,2510,05 Oct 25
AWC819W,E190,EGKB,EGSS,Pilatus,2510,05 Oct 25
N3AS,CL35,CYYT,LPCS,Pilatus,2510,05 Oct 25
N890RW,GA6C,LEMD,KFTY,Pilatus,2510,05 Oct 25
GNJ68,CL60,KBOS,EGSS,Pilatus,2510,05 Oct 25
N78KN,GA5C,KBOS,EGGW,Pilatus,2510,05 Oct 25
N1955Q,GLEX,LIPZ,KBOS,Pilatus,2510,05 Oct 25
LXJ101,GA7C,KBDL,EGGW,Pilatus,2510,05 Oct 25
LXJ651,GLF6,KMRY,LIRZ,Pilatus,2510,05 Oct 25
LXJ675,GLF6,KBNA,EGGW,Pilatus,2510,05 Oct 25
LXJ565,CL35,KBOS,BIKF,Pilatus,2510,05 Oct 25
N302JG,TBM7,LFRN,EGJB,Pilatus,2510,05 Oct 25
TDR9292,A320,LJLJ,LDSP,Pilatus,2510,05 Oct 25
VJT762,GL7T,EGNX,KLAX,Pilatus,2510,05 Oct 25
N121CL,GL7T,EGSS,KLAX,Pilatus,2510,05 Oct 25
VJT884,GLEX,LEMD,KLAX,Pilatus,2510,05 Oct 25
TWY292,GLF6,LFPB,KLAX,Pilatus,2510,05 Oct 25
LXJ665,GLF6,KVNY,LIMC,Pilatus,2510,05 Oct 25
N191QS,GL7T,EDDL,KSJC,Pilatus,2510,05 Oct 25
VJT904,GLEX,KSJC,EDDB,Pilatus,2510,05 Oct 25
TWY262,GLF5,LIRP,KSJC,Pilatus,2510,05 Oct 25
MMD6421,FA7X,KBCT,ESGG,Pilatus,2510,05 Oct 25
EWG80Z,A320,LIRF,EDDS,Pilatus,2510,05 Oct 25
PSFGT,GLF6,LPCS,LPMA,Pilatus,2510,05 Oct 25
PSFGT,GLF6,LPMA,LPPS,Pilatus,2510,05 Oct 25
MAMBA,GA6C,KCHS,LSGG,Pilatus,2510,05 Oct 25
MENON,GA5C,EINN,KSAV,Pilatus,2510,05 Oct 25
N763GD,GA7C,LFSB,KSAV,Pilatus,2510,05 Oct 25
VPCMS,GLF5,OJAM,KSAV,Pilatus,2510,05 Oct 25
ABD7266,B744,KGSP,EBLG,Pilatus,2510,05 Oct 25
GTI4357,B744,EBLG,KGSP,Pilatus,2510,05 Oct 25
VJT710,FA7X,KHPN,EIKY,Pilatus,2510,05 Oct 25
N601CH,GA6C,KHPN,EGSS,Pilatus,2510,05 Oct 25
VJT719,GLEX,KHPN,EFHK,Pilatus,2510,05 Oct 25
LXJ664,GLF6,LEPA,KHPN,Pilatus,2510,05 Oct 25
N540LF,GLF6,KHPN,EGJJ,Pilatus,2510,05 Oct 25
N500HV,GA5C,EGQL,KTEB,Pilatus,2510,05 Oct 25
EWG7GP,A320,EDDS,LIRF,Pilatus,2510,05 Oct 25
