Callsign,Aircraft,Departure ICAO,Destination ICAO,Contributor,AIRAC validity,Date added
N282WG,C25C,EGAA,BIKF,Pilatus,2508,15 Aug 25
N400FJ,GLF4,EINN,CYYT,Pilatus,2508,15 Aug 25
TLK822,LJ45,BIKF,CYYR,Pilatus,2508,15 Aug 25
CFEMC,LJ40,CYYR,BIKF,Pilatus,2508,15 Aug 25
TRA052,A21N,EDHI,EHAM,Pilatus,2508,15 Aug 25
CHB6888,A19N,EDHI,OOMS,Pilatus,2508,15 Aug 25
PVV8453,B742,HECA,UBBB,Pilatus,2508,15 Aug 25
RHH801,LJ45,HECA,LTAI,Pilatus,2508,15 Aug 25
MSC3568,A20N,LKTB,HEMA,Pilatus,2508,15 Aug 25
N481GV,GLF5,EINN,KSFO,Pilatus,2508,15 Aug 25
N626RA,GLF5,LFPB,KLAX,Pilatus,2508,15 Aug 25
QQE715,GLF6,KLAX,EGKB,Pilatus,2508,15 Aug 25
N793AE,GA6C,EGGW,KVNY,Pilatus,2508,15 Aug 25
LXJ654,GLF6,KDEN,BIRK,Pilatus,2508,15 Aug 25
BEL1AN,A320,EBBR,LGSM,Pilatus,2508,15 Aug 25
OCN1212,A320,EDDF,LGSK,Pilatus,2508,15 Aug 25
CHH3210,A21N,EDHI,OOMS,Pilatus,2508,15 Aug 25
THY6830,A20N,VOHS,LTBA,Pilatus,2508,15 Aug 25
TVR7731,B772,KMCI,OMSJ,Pilatus,2508,15 Aug 25
VJT915,GLEX,LFTH,KBCT,Pilatus,2508,15 Aug 25
AOJ77U,GL5T,LIMJ,KBCT,Pilatus,2508,15 Aug 25
VJH961,FA7X,LEMG,KBCT,Pilatus,2508,15 Aug 25
N888HE,GLF5,LIBG,KOPF,Pilatus,2508,15 Aug 25
N941RS,GLF4,LPAZ,KOPF,Pilatus,2508,15 Aug 25
VJH992,FA7X,KOPF,EGGW,Pilatus,2508,15 Aug 25
VJT716,GL7T,LPCS,KORL,Pilatus,2508,15 Aug 25
BBB12,GA5C,KORL,EKCH,Pilatus,2508,15 Aug 25
N182QS,GL7T,KPBI,LKPR,Pilatus,2508,15 Aug 25
GJE212,GLF5,KFLL,LEMG,Pilatus,2508,15 Aug 25
N788MM,GLEX,KFLL,LEMG,Pilatus,2508,15 Aug 25
N1DR,GA7C,KSAV,LEMG,Pilatus,2508,15 Aug 25
EDW76,A343,LSZH,HTKJ,Pilatus,2508,15 Aug 25
MYTAF,BE36,LPPM,LFBD,Pilatus,2508,15 Aug 25
EXS41Y,A21N,EGBB,GCTS,Pilatus,2508,15 Aug 25
TAP921,A320,LSZH,LPPR,Pilatus,2508,15 Aug 25
TAP920,A320,LPPR,LSZH,Pilatus,2508,15 Aug 25
N353VA,GA5C,LIMJ,KHPN,Pilatus,2508,15 Aug 25
N175QS,GL7T,LIEO,KHPN,Pilatus,2508,15 Aug 25
LXJ95,GA7C,KHPN,EGLF,Pilatus,2508,15 Aug 25
P4AAG,CL60,KTEB,EGGW,Pilatus,2508,15 Aug 25
