Callsign,Aircraft,Departure ICAO,Destination ICAO,Contributor,AIRAC validity,Date added
P4JIM,GLF6,HLLB,LIEO,11201,2507,26 Jul 25
CFASD,GLEX,CYVR,LFMN,11201,2507,26 Jul 25
VPCEX,FA7X,LFMN,VTBD,11201,2507,26 Jul 25
N588CH,GL7T,LIEO,VRMM,11201,2507,26 Jul 25
AZS1401,IL76,UUBW,OMAA,11201,2507,26 Jul 25
RLA1110,GLF6,UUWW,OMAA,11201,2507,26 Jul 25
CXB767,B762,EBBR,OMAL,11201,2507,26 Jul 25
FSQ4938,IL76,OMAL,HLLB,11201,2507,26 Jul 25
N989AR,GLF5,LIMC,OOMS,11201,2507,26 Jul 25
VHVGX,GLEX,LGMK,VCBI,11201,2507,26 Jul 25
VHVGX,GLEX,LIML,LGMK,11201,2507,26 Jul 25
KGB4722,IL76,HLLB,LTBJ,11201,2507,26 Jul 25
MULTI,GLEX,LDDU,LYTV,11201,2507,26 Jul 25
KAY58,GL7T,LFPB,LDDU,11201,2507,26 Jul 25
WJA38,B38M,CYYC,BIKF,11201,2507,26 Jul 25
WJA39,B38M,BIKF,CYYC,11201,2507,26 Jul 25
AMB388,C680,EDDV,BGGH,11201,2507,26 Jul 25
AMB388,C680,BGGH,CYWG,11201,2507,26 Jul 25
GRL5226,BE20,BGGH,BGBW,11201,2507,26 Jul 25
N22SF,GA5C,KBMI,EHAM,Pilatus,2507,26 Jul 25
RYR34ZW,B738,LEGE,EDLV,Pilatus,2507,26 Jul 25
VHAP7,GLEX,LEMG,LPBJ,11201,2507,26 Jul 25
VHTGG,GL7T,LIML,LDSP,11201,2507,26 Jul 25
VHTGG,GL7T,LDSP,KEWR,11201,2507,26 Jul 25
SND1,A319,OMDW,EGSS,11201,2507,26 Jul 25
BYD091,A319,LSZH,OMDW,11201,2507,26 Jul 25
VPBVV,B737,OMDW,LTBA,11201,2507,26 Jul 25
KAL537,B748,LOWW,EDDF,11201,2507,26 Jul 25
EXS5DV,A21N,LGRP,EGCC,11201,2507,26 Jul 25
THY3SV,A359,LTFM,LROP,11201,2507,26 Jul 25
DAL9890,B752,KMSP,BIKF,11201,2507,26 Jul 25
DAL9891,B752,BIKF,KMSP,11201,2507,26 Jul 25
DAL9903,B764,LFPG,KJFK,11201,2507,26 Jul 25
AEE4260,A320,LGIR,EDDG,11201,2507,26 Jul 25
AEE4261,A320,EDDG,LGIR,11201,2507,26 Jul 25
AEE4262,A320,LGIR,UDYZ,11201,2507,26 Jul 25
AEE4322,A320,LGRP,ENGM,11201,2507,26 Jul 25
AEE4323,A320,ENGM,LGRP,11201,2507,26 Jul 25
AEE4324,A320,LGRP,ESSA,11201,2507,26 Jul 25
AEE4325,A320,ESSA,LGRP,11201,2507,26 Jul 25
