Callsign,Aircraft,Departure ICAO,Destination ICAO,Contributor,AIRAC validity,Date added
N950CM,GLF6,LSZH,LSGG,Pilatus,2506,20 Jun 25
N168QS,GLEX,EKCH,KBFI,Pilatus,2506,20 Jun 25
N154QS,GLEX,LFPB,KBFI,Pilatus,2506,20 Jun 25
KAY53,A319,LIEO,KEWR,Pilatus,2506,20 Jun 25
KAY51,A319,LIEO,EKCH,Pilatus,2506,20 Jun 25
N737ER,B737,OEJN,LFMN,Pilatus,2506,20 Jun 25
AWC754W,A21N,KIAD,EGSS,Pilatus,2506,20 Jun 25
N953CZ,PC12,LFTZ,LFOU,Pilatus,2506,20 Jun 25
N329CH,PC24,LSZS,BIKF,Pilatus,2506,20 Jun 25
N940PK,TBM9,EGKB,LDZD,Pilatus,2506,20 Jun 25
BRJ758,GA5C,LFPB,KIAD,Pilatus,2506,20 Jun 25
N850NP,TBM8,LSGS,ESMH,Pilatus,2506,20 Jun 25
N850LD,TBM8,LFTZ,LFPN,Pilatus,2506,20 Jun 25
N710AT,TBM7,LFPN,LFMD,Pilatus,2506,20 Jun 25
MLM005,BCS1,LEIB,LEAL,Pilatus,2506,20 Jun 25
A7MBK,A320,OTHH,EGLL,Pilatus,2506,20 Jun 25
GJW21SJ,A320,LTFE,OERK,Pilatus,2506,20 Jun 25
CRV1,A20N,EGLF,EICK,Pilatus,2506,20 Jun 25
VPCVJ,A19N,LSGG,LFSB,Pilatus,2506,20 Jun 25
VPCVJ,A19N,KHPN,LSGG,Pilatus,2506,20 Jun 25
N972EU,S22T,LIKO,LIEO,Pilatus,2506,20 Jun 25
N950X,FA7X,EGGW,LFMN,Pilatus,2506,20 Jun 25
N933CL,GLF6,SBGL,LIRN,Pilatus,2506,20 Jun 25
N933CL,GLF6,LIRN,LIMJ,Pilatus,2506,20 Jun 25
N917VZ,GLF4,LFMN,KBGR,Pilatus,2506,20 Jun 25
N916MM,GLEX,LIML,RJTT,Pilatus,2506,20 Jun 25
N900BT,C25C,LFMP,LFKJ,Pilatus,2506,20 Jun 25
N90CP,GLF6,KBDL,ENSB,Pilatus,2506,20 Jun 25
TWY818,FA7X,LFMN,EGLF,Pilatus,2506,20 Jun 25
N857GA,GLF5,LIPE,KPIT,Pilatus,2506,20 Jun 25
KPO77,GLF4,LIBD,LEIB,Pilatus,2506,20 Jun 25
N70X,CL60,LGAV,LLBG,Pilatus,2506,20 Jun 25
N7JP,GLF6,KRST,ESSB,Pilatus,2506,20 Jun 25
TWY312,GLEX,EDDW,KTMB,Pilatus,2506,20 Jun 25
TWY57,GLF6,LGKF,KRNO,Pilatus,2506,20 Jun 25
N67RT,F2TH,LFBO,KBGR,Pilatus,2506,20 Jun 25
N624BR,GLEX,KGTF,LFMN,Pilatus,2506,20 Jun 25
N606TD,GLEX,LGKR,KBWI,Pilatus,2506,20 Jun 25
N605BR,HDJT,LFMD,LFJL,Pilatus,2506,20 Jun 25
N602CH,GA6C,EGSS,KHPN,Pilatus,2506,20 Jun 25
