Callsign,Aircraft,Departure ICAO,Destination ICAO,Contributor,AIRAC validity,Date added
KLM7923,DA42,EDNY,LSZB,Pilatus,2507,17 Jul 25
KLM7923,DA42,LSZB,LFPT,Pilatus,2507,17 Jul 25
CLF581A,E550,LSZB,LEMG,Pilatus,2507,17 Jul 25
BTX2B,FA8X,LFPB,LSZB,Pilatus,2507,17 Jul 25
N920TT,BE9L,LEMG,LSZS,Pilatus,2507,17 Jul 25
HHN909,C68A,LIRI,LSZS,Pilatus,2507,17 Jul 25
P4RED,PC24,LSZC,LSZC,Pilatus,2507,17 Jul 25
HUE12P,PC12,LSZC,LIRU,Pilatus,2507,17 Jul 25
HBKOR,TBM8,LSZC,EGSH,Pilatus,2507,17 Jul 25
JAF2GX,E295,EBAW,GCTS,Pilatus,2507,17 Jul 25
JAS91,GLF6,EHAM,LSGG,Pilatus,2507,17 Jul 25
WJA39,B38M,BIKF,CYYC,Pilatus,2507,17 Jul 25
WJA38,B38M,CYYC,BIKF,Pilatus,2507,17 Jul 25
TVF12SM,B738,LFPO,BIKF,Pilatus,2507,17 Jul 25
N394B,CL30,EICK,BIKF,Pilatus,2507,17 Jul 25
JAS39,GLF5,EGMC,BIKF,Pilatus,2507,17 Jul 25
N446VG,GLF5,KSLC,BIKF,Pilatus,2507,17 Jul 25
N837DX,P28A,BGBW,BIKF,Pilatus,2507,17 Jul 25
LYC520,C130,LPLA,CYYT,Pilatus,2507,17 Jul 25
KNT911,LJ45,CYYR,BIKF,Pilatus,2507,17 Jul 25
N928QS,C68A,BIEG,CYYR,Pilatus,2507,17 Jul 25
FDX5183,B77L,EBLG,KOAK,Pilatus,2507,17 Jul 25
VJT842,GLEX,LIMF,KOAK,Pilatus,2507,17 Jul 25
N17KJ,GL7T,LIML,KLAX,Pilatus,2507,17 Jul 25
N182QS,GL7T,LPPT,KLAX,Pilatus,2507,17 Jul 25
VJT719,GLEX,LSGG,KLAX,Pilatus,2507,17 Jul 25
N3LB,GLF6,KSDL,LFMN,Pilatus,2507,17 Jul 25
N511DB,GLF6,LFMN,KVNY,Pilatus,2507,17 Jul 25
N670RR,GLF5,KSJC,LIPO,Pilatus,2507,17 Jul 25
N661GT,GLF6,LFLL,KSJC,Pilatus,2507,17 Jul 25
VJT981,GLEX,LFPB,KDEN,Pilatus,2507,17 Jul 25
N900RM,S22T,EDFE,LDLO,Pilatus,2507,17 Jul 25
N552AM,S22T,EDLD,ETNL,Pilatus,2507,17 Jul 25
N34TN,S22T,EGBB,EGTK,Pilatus,2507,17 Jul 25
N118MX,S22T,LESB,EDFB,Pilatus,2507,17 Jul 25
N940RW,TBM9,EBAW,LFMD,Pilatus,2507,17 Jul 25
N302JG,TBM7,EGAC,EGJB,Pilatus,2507,17 Jul 25
AEE676,A320,LGAV,LIRP,11201,2507,17 Jul 25
AEE677,A320,LIRP,LGAV,11201,2507,17 Jul 25
QTR41Q,A332,OTHH,EPWA,11201,2507,17 Jul 25
