Callsign,Aircraft,Departure ICAO,Destination ICAO,Contributor,AIRAC validity,Date added
ISR118,A320,EGGW,LLBG,Pilatus,2508,14 Aug 25
THY9VG,A321,LKPR,LTFM,Pilatus,2508,14 Aug 25
T7SLA,CRJ2,LEMG,LFMN,Pilatus,2508,14 Aug 25
N99LE,GLEX,LMML,LIMG,Pilatus,2508,14 Aug 25
N892SS,GLF6,EDNY,EDNY,Pilatus,2508,14 Aug 25
JAS102,GLF4,EINN,LTBA,Pilatus,2508,14 Aug 25
TWY43,GLEX,EGLF,LYTV,Pilatus,2508,14 Aug 25
N766GD,GA6C,ESSB,EKCH,Pilatus,2508,14 Aug 25
N678GA,GLF6,LIEO,KCRQ,Pilatus,2508,14 Aug 25
N652WE,GLF6,LIRI,LIEO,Pilatus,2508,14 Aug 25
N607KT,CL60,CYQX,LFTH,Pilatus,2508,14 Aug 25
N555DT,GLEX,ESSA,LFMN,Pilatus,2508,14 Aug 25
CLY138,HDJT,ENCN,EGTK,Pilatus,2508,14 Aug 25
EJM537,GLF5,LGSR,BIKF,Pilatus,2508,14 Aug 25
N515PL,GA7C,LIPZ,LFMN,Pilatus,2508,14 Aug 25
N42JH,GLF5,LFKF,LIML,Pilatus,2508,14 Aug 25
N418RY,GLF5,LFKF,GMMX,Pilatus,2508,14 Aug 25
CLY747,GA6C,LEMG,EGTK,Pilatus,2508,14 Aug 25
N2C,GLF6,LSZH,KFTW,Pilatus,2508,14 Aug 25
N178MH,PC12,ZZZZ,EGLD,Pilatus,2508,14 Aug 25
N1AR,GLEX,EINN,KVNY,Pilatus,2508,14 Aug 25
EJM949,GLF5,KOAK,LIPZ,Pilatus,2508,14 Aug 25
N650FJ,GLF6,KHOU,LICC,Pilatus,2508,14 Aug 25
MOUNT,FA8X,LFMN,KTEB,Pilatus,2508,14 Aug 25
N111CC,CL60,BIKF,KDTW,Pilatus,2508,14 Aug 25
THY5HY,A321,LQSA,LTFM,Volarium,2508,14 Aug 25
ISR117,A320,LLBG,EGGW,Volarium,2508,14 Aug 25
AIZ281,A21N,LLBG,LKPR,Volarium,2508,14 Aug 25
THY77J,B77W,LTFM,KMIA,Volarium,2508,14 Aug 25
THY71A,A321,LTFM,EDDN,Volarium,2508,14 Aug 25
THY7BG,A321,LTFM,LSZH,Volarium,2508,14 Aug 25
KLM743,B77W,EHAM,SPJC,Volarium,2508,14 Aug 25
THY9FN,A321,LTFM,LKPR,Volarium,2508,14 Aug 25
THY2FK,A321,LTFM,LQSA,Volarium,2508,14 Aug 25
THY7GS,A321,LTFM,LIRF,Volarium,2508,14 Aug 25
ISR887,A320,LLBG,UGSB,Volarium,2508,14 Aug 25
OAW5227,E290,LEPA,LSGS,Volarium,2508,14 Aug 25
THY4ND,A321,LTFM,UBBB,Volarium,2508,14 Aug 25
THY7DH,A321,LTFM,EBBR,Volarium,2508,14 Aug 25
BEL3QZ,A320,LOWW,EBBR,Volarium,2508,14 Aug 25
