Callsign,Aircraft,Departure ICAO,Destination ICAO,Contributor,AIRAC validity,Date added
N257GG,S22T,LDZD,LSZA,Pilatus,2508,25 Aug 25
N840CD,SR20,EDLP,EPWS,Pilatus,2508,25 Aug 25
N508RA,SR22,EGSC,EDLN,Pilatus,2508,25 Aug 25
N700NN,TBM7,LEIB,LFTF,Pilatus,2508,25 Aug 25
JML100,B737,EGLF,LZIB,Pilatus,2508,25 Aug 25
N99LE,GLEX,EGSS,KTEB,Pilatus,2508,25 Aug 25
N888XM,GLF6,OERK,EINN,Pilatus,2508,25 Aug 25
N869XA,C208,ESNN,ENAT,Pilatus,2508,25 Aug 25
N822LC,FA8X,KBFI,LHBP,Pilatus,2508,25 Aug 25
EJM776,GLF4,LIRP,LIRS,Pilatus,2508,25 Aug 25
N717HS,S22T,EIAB,EGBJ,Pilatus,2508,25 Aug 25
NCR897,B744,OMDW,GMMN,Pilatus,2508,25 Aug 25
N652GB,GLF6,LIRQ,LIRA,Pilatus,2508,25 Aug 25
N650FJ,GLF6,KHOU,LIRA,Pilatus,2508,25 Aug 25
N600TX,GA6C,LDPL,KAUS,Pilatus,2508,25 Aug 25
N57810,CL35,BIKF,KGRB,Pilatus,2508,25 Aug 25
EJM561,GLF5,EGGW,KTEB,Pilatus,2508,25 Aug 25
N551CB,GLF4,EINN,KBGR,Pilatus,2508,25 Aug 25
N500HV,GA5C,KSBM,LIRN,Pilatus,2508,25 Aug 25
N497SB,GLF5,TIST,LEGE,Pilatus,2508,25 Aug 25
TWY420,GLF6,KTEB,EVRA,Pilatus,2508,25 Aug 25
N40WR,GL7T,KHVN,LFMN,Pilatus,2508,25 Aug 25
TWY317,GLF6,LIRI,LFMN,Pilatus,2508,25 Aug 25
N215CL,C700,KBGR,EGGW,Pilatus,2508,25 Aug 25
TWY292,GLF6,LIRQ,LIPO,Pilatus,2508,25 Aug 25
N18H,GLF5,LCLK,KHPN,Pilatus,2508,25 Aug 25
N618PB,GLF6,KLEX,LPCS,Pilatus,2508,25 Aug 25
KAY51,A319,KEWR,LEPA,Pilatus,2508,25 Aug 25
N3E,B38M,LICT,KGTF,Pilatus,2508,25 Aug 25
BBB1,E550,EKBI,KHPN,Pilatus,2508,25 Aug 25
PVA1533,GLEX,KDTW,ESSB,Pilatus,2508,25 Aug 25
FRF130,AT72,LBSF,LFLX,Volarium,2508,25 Aug 25
RYR4807,A320,LOWW,LDZD,Volarium,2508,25 Aug 25
RYR84FL,B38M,EIDW,EGGW,Volarium,2508,25 Aug 25
CFG3CE,A320,EDDL,LGIR,Volarium,2508,25 Aug 25
ETD11K,A388,LFPG,OMAA,Volarium,2508,25 Aug 25
THY2AL,A320,LTCN,LTFM,Volarium,2508,25 Aug 25
THY9EY,A320,LTFM,LTCN,Volarium,2508,25 Aug 25
LOT5EL,B38M,LLBG,EPKK,Volarium,2508,25 Aug 25
ENT1382,B38M,LTAI,EPRZ,Majster,2508,24 Aug 25
