Callsign,Aircraft,Departure ICAO,Destination ICAO,Contributor,AIRAC validity,Date added
ANA8,B77W,RJAA,KSFO,That747Pilot,2506,28 Jun 25
ETD412,B789,OMAA,VTSP,That747Pilot,2506,28 Jun 25
ANA25,B738,RJTT,RJOO,That747Pilot,2506,28 Jun 25
ANA553,B788,RJTT,RJCH,That747Pilot,2506,28 Jun 25
N737CM,B737,EINN,KPTK,Pilatus,2506,28 Jun 25
N92BS,GLF4,EINN,KPTK,Pilatus,2506,28 Jun 25
N360HV,GLF4,EGPH,KPTK,Pilatus,2506,28 Jun 25
VJT878,GLEX,KATL,LFMV,Pilatus,2506,28 Jun 25
N56C,GLF5,LDDU,KPDK,Pilatus,2506,28 Jun 25
N15GT,CL30,LIRA,BIKF,Pilatus,2506,28 Jun 25
N404BZ,BE20,BGSF,CYYR,Pilatus,2506,28 Jun 25
SBI1214,A320,UMKK,UUDD,FOMA,2506,28 Jun 25
CFG2PL,A320,LEPA,EDDL,FOMA,2506,28 Jun 25
CFG2ZX,A320,EDDL,LEPA,FOMA,2506,28 Jun 25
SXS8E,B738,EDDL,LTCG,FOMA,2506,28 Jun 25
SXS4ZG,B738,LTAI,EDDL,FOMA,2506,28 Jun 25
N218JJ,GLEX,EINN,KOAK,Pilatus,2506,28 Jun 25
VJT779,GL7T,KSJC,LEIB,Pilatus,2506,28 Jun 25
N16MF,GLF5,KSJC,LIRS,Pilatus,2506,28 Jun 25
VJT993,GLEX,ENEV,KLAS,Pilatus,2506,28 Jun 25
RJA953,GLF6,LIPZ,KDEN,Pilatus,2506,28 Jun 25
N888LD,GLF5,KFXE,GVSV,Pilatus,2506,28 Jun 25
BQB75,GL7T,KFLL,LHBP,Pilatus,2506,28 Jun 25
N2012C,GA6C,LTBA,KSAV,Pilatus,2506,28 Jun 25
N721GA,GA7C,EGLF,KSAV,Pilatus,2506,28 Jun 25
N154G,GLF4,EINN,KFXE,Pilatus,2506,28 Jun 25
SXS1GX,B738,EDDG,LTAI,Pilatus,2506,28 Jun 25
DLH86E,A20N,LFBO,EDDF,Pilatus,2506,28 Jun 25
CCM72CI,A20N,LFBO,LFKJ,Pilatus,2506,28 Jun 25
BAW9251,A21N,EDHI,EGLL,Pilatus,2506,28 Jun 25
MLM005,BCS1,EGLF,LIRP,Pilatus,2506,28 Jun 25
MLM319,A319,LKPR,EDDB,Pilatus,2506,28 Jun 25
VJH992,FA7X,LEIB,KHPN,Pilatus,2506,28 Jun 25
TWY510,FA7X,KHPN,LIEO,Pilatus,2506,28 Jun 25
N111QS,GL5T,LSGG,KHPN,Pilatus,2506,28 Jun 25
N7GF,GLF6,KHPN,LIMJ,Pilatus,2506,28 Jun 25
N650AD,CL60,KTEB,LEMD,Pilatus,2506,28 Jun 25
N343MG,FA7X,LFMN,KTEB,Pilatus,2506,28 Jun 25
N127QS,GL5T,KTEB,LIPZ,Pilatus,2506,28 Jun 25
KPO98,GLEX,EGLF,KTEB,Pilatus,2506,28 Jun 25
