Callsign,Aircraft,Departure ICAO,Destination ICAO,Contributor,AIRAC validity,Date added
KLM29Z,E75L,EHAM,EGTE,GLALTI,2508,28 Aug 25
TOM9NA,B738,LTAI,EGTE,GLALTI,2508,28 Aug 25
TOM716,B738,EGTE,LTAI,GLALTI,2508,28 Aug 25
TOM4AK,B738,LTBS,EGTE,GLALTI,2508,28 Aug 25
TOM462,B738,EGTE,LTBS,GLALTI,2508,28 Aug 25
LOG9KW,E145,EGTE,EGNT,GLALTI,2508,28 Aug 25
LOG41UX,E145,EGNT,EGTE,GLALTI,2508,28 Aug 25
RYR51SK,B38M,EGTE,LEAL,GLALTI,2508,28 Aug 25
RYR96BW,B38M,LEAL,EGTE,GLALTI,2508,28 Aug 25
LOG47RC,AT76,EGTE,EGPH,GLALTI,2508,28 Aug 25
LOG18FR,AT76,EGPH,EGTE,GLALTI,2508,28 Aug 25
EAI31Q,AT76,EGTE,EIDW,GLALTI,2508,28 Aug 25
EAI33S,AT76,EIDW,EGTE,GLALTI,2508,28 Aug 25
BCI707,AT75,EGTE,EGJJ,GLALTI,2508,28 Aug 25
BCI706,AT75,EGJJ,EGTE,GLALTI,2508,28 Aug 25
PHVBG,F2TH,EHRD,EGTE,GLALTI,2508,28 Aug 25
TOM6BE,B738,LGZA,EGTE,GLALTI,2508,28 Aug 25
TOM82G,B738,EGTE,LGZA,GLALTI,2508,28 Aug 25
TOM1PK,B738,GCRR,EGTE,GLALTI,2508,28 Aug 25
TOM2DH,B738,EGTE,GCRR,GLALTI,2508,28 Aug 25
ANE8035,CRJX,EGFF,LFLL,GLALTI,2508,28 Aug 25
ANE3034,CRJX,LEIB,EGFF,GLALTI,2508,28 Aug 25
LOG33YB,E145,EGFF,EGPH,GLALTI,2508,28 Aug 25
LOG17Q,E145,EGPH,EGFF,GLALTI,2508,28 Aug 25
VLG378C,A320,EGFF,LEMG,GLALTI,2508,28 Aug 25
VLG3SX,A320,LEMG,EGFF,GLALTI,2508,28 Aug 25
TOM6485,B738,LGIR,EGFF,GLALTI,2508,28 Aug 25
TOM6484,B738,EGFF,LGIR,GLALTI,2508,28 Aug 25
N809DC,GLEX,EGFF,KBED,GLALTI,2508,28 Aug 25
TOM70X,B738,LCLK,EGFF,GLALTI,2508,28 Aug 25
TOM77H,B738,EGFF,LCLK,GLALTI,2508,28 Aug 25
TOM695,B738,LTAI,EGFF,GLALTI,2508,28 Aug 25
TOM694,B738,EGFF,LTAI,GLALTI,2508,28 Aug 25
TOM3XT,B38M,EGFF,LDDU,GLALTI,2508,28 Aug 25
TOM5NE,B38M,LDDU,EGFF,GLALTI,2508,28 Aug 25
TOM2TK,B38M,EGFF,LEPA,GLALTI,2508,28 Aug 25
TOM3VB,B38M,LEPA,EGFF,GLALTI,2508,28 Aug 25
EAG21C,AT76,EGFF,EGAC,GLALTI,2508,28 Aug 25
EAG2CB,AT76,EGAC,EGFF,GLALTI,2508,28 Aug 25
RYR32JU,B738,EGFF,LPFR,GLALTI,2508,28 Aug 25
