Callsign,Aircraft,Departure ICAO,Destination ICAO,Contributor,AIRAC validity,Date added
VJT750,GL7T,HELX,EINN,jtwright93,2510,13 Oct 25
UAL1093,B38M,KDEN,KLAX,Pilatus,2510,13 Oct 25
UAL3766,B772,KMKE,KLAX,Pilatus,2510,13 Oct 25
EWG7ZG,A320,EDDG,LEPA,jtwright93,2510,13 Oct 25
EWG6YL,A320,LEPA,EDDG,jtwright93,2510,13 Oct 25
BAH700,GA7C,OBKH,EGHH,jtwright93,2510,13 Oct 25
EDW76,A343,LSZH,HTKJ,jtwright93,2510,13 Oct 25
UAL3782,B772,KLAX,KMKE,Pilatus,2510,13 Oct 25
EWG5497,A320,LTAI,EDDL,FOMA,2510,13 Oct 25
WZZ9002,A21N,LYTV,LHBP,FOMA,2510,13 Oct 25
WZZ9001,A21N,LHBP,LYTV,FOMA,2510,13 Oct 25
DTR4WH,AT76,EDDM,EDLP,FOMA,2510,13 Oct 25
BAW81,A35K,EGLL,DGAA,FOMA,2510,13 Oct 25
THY7AR,A321,LTFM,EGPH,FOMA,2510,13 Oct 25
THY8WU,A321,LTFM,EIDW,FOMA,2510,13 Oct 25
THY4DW,A321,LTFM,LEMG,FOMA,2510,13 Oct 25
DTR4TK,AT76,EDLP,EDDM,FOMA,2510,13 Oct 25
EWG5496,A320,EDDL,LTAI,FOMA,2510,13 Oct 25
AFR1060,A320,LFPG,UDYZ,quentin91700,2510,13 Oct 25
AFR75DR,A320,LFPG,LIRN,quentin91700,2510,13 Oct 25
VIR86,A333,KLAS,EGCC,sam,2510,13 Oct 25
NMA1073,A320,LEZG,LEST,jtwright93,2510,13 Oct 25
NMA1073,A320,LEST,HELX,jtwright93,2510,13 Oct 25
NMA7191,A320,LWSK,HEGN,jtwright93,2510,13 Oct 25
LAV5115,B738,LEZG,LTAZ,FOMA,2510,13 Oct 25
FLI459,A320,EKCH,EKVG,FOMA,2510,13 Oct 25
FLI456,A320,EKVG,EKCH,FOMA,2510,13 Oct 25
EDW5134,A343,LSZH,LETL,FOMA,2510,13 Oct 25
UAL509,B764,LIRF,KEWR,FOMA,2510,13 Oct 25
TOM449,B738,LTBS,EGNT,FOMA,2510,13 Oct 25
EWG71H,A320,LGKV,EDLW,FOMA,2510,13 Oct 25
EWG9029,A320,EDDC,EDDL,FOMA,2510,13 Oct 25
EWG2B,A320,EDDL,EDDC,FOMA,2510,13 Oct 25
UAE98X,B77W,OMDB,EPWA,FOMA,2510,13 Oct 25
LVVEG,GLF5,KSDL,LFPB,FOMA,2510,13 Oct 25
GWI6RW,A319,EDDV,EDDM,FOMA,2510,13 Oct 25
GWI6YF,A319,EDDM,EDDV,FOMA,2510,13 Oct 25
UAL3811,B772,KORD,KIAD,Pilatus,2510,12 Oct 25
EAF772,A320,ENGM,LIPQ,adrianospada,2510,12 Oct 25
ITY9001,A320,LIPQ,LIRF,adrianospada,2510,12 Oct 25
