Callsign,Aircraft,Departure ICAO,Destination ICAO,Contributor,AIRAC validity,Date added
KPO181,GLF4,KTEB,EGSS,Pilatus,2509,04 Sep 25
N480VR,GLF4,KTEB,LPPT,Pilatus,2509,04 Sep 25
N889CG,GLF4,KTEB,EGGW,Pilatus,2509,04 Sep 25
LXJ455,GLF4,KTEB,EINN,Pilatus,2509,04 Sep 25
JME613G,GLEX,EGVN,KTEB,Pilatus,2509,04 Sep 25
NJE125K,GLEX,LFMV,KTEB,Pilatus,2509,04 Sep 25
SKV222,GLEX,KTEB,EDDB,Pilatus,2509,04 Sep 25
N169QS,GLEX,KTEB,LPCS,Pilatus,2509,04 Sep 25
N750KD,GL7T,EGNT,KTEB,Pilatus,2509,04 Sep 25
N181QS,GL7T,LIRP,KTEB,Pilatus,2509,04 Sep 25
N445DB,GL5T,KTEB,LDDU,Pilatus,2509,04 Sep 25
N318AG,GA6C,LIRN,KTEB,Pilatus,2509,04 Sep 25
VJH974,FA7X,LIPY,KTEB,Pilatus,2509,04 Sep 25
N250LG,FA7X,EGLF,KTEB,Pilatus,2509,04 Sep 25
LXJ600,E550,KTEB,EICK,Pilatus,2509,04 Sep 25
TWY267,CL60,EINN,KTEB,Pilatus,2508,04 Sep 25
N662CH,GLF6,EGSS,KHPN,Pilatus,2509,04 Sep 25
EJM171,GLF5,KHPN,EIKY,Pilatus,2509,04 Sep 25
N996GA,GLF5,GOBD,KHPN,Pilatus,2508,04 Sep 25
MMD6342,FA7X,LIRI,KHPN,Pilatus,2509,04 Sep 25
N650KT,GLF6,KPTK,LHBP,Pilatus,2509,04 Sep 25
ULC66,GLEX,KPTK,LFPB,Pilatus,2509,04 Sep 25
VJT710,FA7X,KPTK,LFMN,Pilatus,2509,04 Sep 25
N553SN,GLF5,KFRG,LGAV,Pilatus,2509,04 Sep 25
N8833,GLF6,KFOK,EGLF,Pilatus,2509,04 Sep 25
CGIIT,GLEX,EGGW,KFOK,Pilatus,2509,04 Sep 25
PVA1281,GLEX,KFOK,EGSS,Pilatus,2509,04 Sep 25
VJT716,GL7T,KFOK,EGWU,Pilatus,2509,04 Sep 25
N826SC,G280,EINN,KBGR,Pilatus,2509,04 Sep 25
FLJ63T,E550,EGGW,KBGR,Pilatus,2509,04 Sep 25
N215CL,C700,KBGR,EGGW,Pilatus,2509,04 Sep 25
VJT768,GL7T,LFMN,KRST,Pilatus,2509,04 Sep 25
N155QS,GLEX,LEMD,KIAD,Pilatus,2509,04 Sep 25
N2030P,GLF6,KIAD,LEBL,Pilatus,2509,04 Sep 25
N1WW,GLEX,KENW,EGGW,Pilatus,2509,04 Sep 25
N65TP,GL5T,KENW,LDRI,Pilatus,2509,04 Sep 25
CMB504,B772,EINN,OKKK,Pilatus,2509,04 Sep 25
EXS82LG,B738,LYTV,EGCC,GLALTI,2509,04 Sep 25
EXS28WR,B738,EGCC,LYTV,GLALTI,2509,04 Sep 25
EXS79AF,B738,LYTV,EGBB,GLALTI,2509,04 Sep 25
