Callsign,Aircraft,Departure ICAO,Destination ICAO,Contributor,AIRAC validity,Date added
IJM572,GLF5,KFOK,EGNM,Pilatus,2508,13 Aug 25
MVJ78,GLF6,LEPA,KFOK,Pilatus,2508,13 Aug 25
RKK29,FA7X,LFPB,KTEB,Pilatus,2508,13 Aug 25
N626LP,FA7X,KTEB,EGPK,Pilatus,2508,13 Aug 25
N131YF,GA5C,KTEB,EGPN,Pilatus,2508,13 Aug 25
XAJGT,GL5T,LIRA,KTEB,Pilatus,2508,13 Aug 25
JDI10A,GL5T,KTEB,LFMN,Pilatus,2508,13 Aug 25
VJT751,GL7T,EGLF,KTEB,Pilatus,2508,13 Aug 25
VJT929,GLEX,LIEO,KTEB,Pilatus,2508,13 Aug 25
JCO025M,GLEX,EGLF,KTEB,Pilatus,2508,13 Aug 25
N146AB,GLEX,EGPF,KTEB,Pilatus,2508,13 Aug 25
NJE182R,GLEX,KTEB,LIRZ,Pilatus,2508,13 Aug 25
LXJ484,GLF4,LEPA,KTEB,Pilatus,2508,13 Aug 25
FHM6146,A320,LGIR,EDLP,FOMA,2508,13 Aug 25
LRT230,GLF5,EHAM,KTEB,Pilatus,2508,13 Aug 25
EJM561,GLF5,KTEB,EGMC,Pilatus,2508,13 Aug 25
FHM6145,A320,EDLP,LGIR,FOMA,2508,13 Aug 25
N1271M,GLF5,LFMN,KTEB,Pilatus,2508,13 Aug 25
EUW2265,GLF5,KTEB,ESGG,Pilatus,2508,13 Aug 25
JAS39,GLF5,KTEB,EGMC,Pilatus,2508,13 Aug 25
AOJ96M,GLF5,KTEB,LFPB,Pilatus,2508,13 Aug 25
N416EL,GLF6,LSZC,KTEB,Pilatus,2508,13 Aug 25
LXJ668,GLF6,KTEB,LFBH,Pilatus,2508,13 Aug 25
N138SJ,PRM1,HEBA,LDPL,Pilatus,2508,13 Aug 25
GTI8783,B763,EDFH,KPSM,Pilatus,2508,13 Aug 25
N15TZ,C750,BGGH,KPWM,Pilatus,2508,13 Aug 25
DCM3227,CL60,EINN,KBGR,Pilatus,2508,13 Aug 25
LXJ557,CL35,EGQL,KBGR,Pilatus,2508,13 Aug 25
N900LW,F900,EICK,KBGR,Pilatus,2508,13 Aug 25
EJM14,GLF4,LFMN,KBGR,Pilatus,2508,13 Aug 25
N41GJ,LJ35,LPPD,KBGR,Pilatus,2508,13 Aug 25
LOT189,B38M,EPWA,UTTT,jtwright93,2508,13 Aug 25
N475CB,GA6C,ENBR,KROC,Pilatus,2508,13 Aug 25
DJT823,A21N,LFRG,LFMN,Pilatus,2508,13 Aug 25
DJT521,A21N,KALB,LFRG,Pilatus,2508,13 Aug 25
N100QS,GL5T,KBOS,BIRK,Pilatus,2508,13 Aug 25
VJT946,GLEX,KBOS,ENGM,Pilatus,2508,13 Aug 25
TWY825,GLEX,LPMA,KBED,Pilatus,2508,13 Aug 25
N175QS,GL7T,KMDW,EHAM,Pilatus,2508,13 Aug 25
PVA1498,GLEX,LIMJ,KMDW,Pilatus,2508,13 Aug 25
