Callsign,Aircraft,Departure ICAO,Destination ICAO,Contributor,AIRAC validity,Date added
GEMLG,GLEX,EGGW,KYIP,Pilatus,2508,07 Aug 25
NUM201,GL5T,LSGG,KJFK,Pilatus,2507,07 Aug 25
IFA6431,CL60,EINN,KEWR,Pilatus,2508,07 Aug 25
N650VC,GLF6,KIAD,LOWS,Pilatus,2508,07 Aug 25
MARDI,GLF6,EGKB,KHPN,Pilatus,2508,07 Aug 25
N333BH,E35L,LPAZ,KTEB,Pilatus,2508,07 Aug 25
GSM07X,FA7X,KTEB,LOWS,Pilatus,2508,07 Aug 25
VJT792,GL7T,KTEB,LFMN,Pilatus,2508,07 Aug 25
N648GL,GLEX,KTEB,LPPR,Pilatus,2508,07 Aug 25
VJT957,GLEX,GMMX,KTEB,Pilatus,2507,07 Aug 25
WWI111,GLF4,KTEB,EGSS,Pilatus,2508,07 Aug 25
LXJ456,GLF4,KTEB,EGGW,Pilatus,2508,07 Aug 25
N898NC,GLF6,KTEB,EGLF,Pilatus,2508,07 Aug 25
FJO647,GLF6,LIEO,KTEB,Pilatus,2507,07 Aug 25
N51BN,GLF5,KFRG,LEGE,Pilatus,2508,07 Aug 25
N142QS,GLEX,KSWF,EGKB,Pilatus,2508,07 Aug 25
N876MR,F900,BIKF,KILG,Pilatus,2508,07 Aug 25
MARDN,FA7X,EGGP,KFOK,Pilatus,2508,07 Aug 25
N117MS,GL5T,LEIB,KFOK,Pilatus,2508,07 Aug 25
LXJ664,GLF6,LICC,KFOK,Pilatus,2508,07 Aug 25
N313AG,GLF6,EGNT,KFOK,Pilatus,2508,07 Aug 25
LXJ653,GLF6,LGAV,KFOK,Pilatus,2508,07 Aug 25
N683SL,GLEX,KABE,LFPB,Pilatus,2508,07 Aug 25
VJH974,FA7X,EGLF,KPWM,Pilatus,2508,07 Aug 25
XSR723,CL35,BIKF,KBGR,Pilatus,2508,07 Aug 25
N154FV,GLF4,LEMD,KBGR,Pilatus,2508,07 Aug 25
ABD7763,B744,KRFD,EBLG,Pilatus,2508,07 Aug 25
ABD7743,B744,EBLG,KRFD,Pilatus,2507,07 Aug 25
N61AV,GA6C,LFBD,KUGN,Pilatus,2508,07 Aug 25
N6453,GLF6,EGGW,KPDX,Pilatus,2507,07 Aug 25
N88SN,S22T,EHRD,EKOD,Pilatus,2508,07 Aug 25
N123VP,S22T,EGKB,LSGS,Pilatus,2508,07 Aug 25
N1J,TBM9,LFPN,LSGK,Pilatus,2508,07 Aug 25
N1J,TBM9,LSGK,LFTZ,Pilatus,2508,07 Aug 25
N21WL,PC12,LFMD,EDDM,Pilatus,2508,07 Aug 25
SIS98,GL5T,EGGW,LIRA,Pilatus,2508,07 Aug 25
CMB439,B772,OKKK,EINN,Pilatus,2508,07 Aug 25
N79TF,F2TH,EIKN,LSZH,Pilatus,2508,07 Aug 25
N744C,FA8X,LIEO,LFMN,Pilatus,2508,07 Aug 25
N720LE,GLF6,LIML,LIPO,Pilatus,2508,07 Aug 25
