Callsign,Aircraft,Departure ICAO,Destination ICAO,Contributor,AIRAC validity,Date added
N650WS,GLF6,EKCH,KSJC,Pilatus,2505,15 May 25
MBIGG,GL7T,EKRK,LFMN,Pilatus,2505,15 May 25
TWY60,GL7T,KLGA,LFPB,Pilatus,2505,15 May 25
CFOWK,CL60,EGSS,CYUL,Pilatus,2505,15 May 25
N1AL,GLF6,CYUL,LEMG,Pilatus,2505,15 May 25
DLH4J,A359,EDDM,CYUL,Pilatus,2505,15 May 25
THY1YB,A321,LTFM,EFHK,Pilatus,2505,15 May 25
THY2QC,A321,LTFM,ENGM,Pilatus,2505,15 May 25
ACA870,B77W,CYYT,LFPG,Pilatus,2505,15 May 25
CFJRS,CL60,EGSH,CYYR,Pilatus,2505,15 May 25
CGSAG,PC12,CYYR,BIRK,Pilatus,2505,15 May 25
N249JB,E190,CYYR,EIKN,Pilatus,2505,15 May 25
N559HF,C56X,BIKF,CYYR,Pilatus,2505,15 May 25
NAK508,TB20,LFMK,LFBO,Pilatus,2505,15 May 25
KAC8804,A21N,LFBO,OKKK,Pilatus,2505,15 May 25
DANCK,A20N,LFBO,EDDF,Pilatus,2505,15 May 25
CES599,A21N,EDHI,UACC,Pilatus,2505,15 May 25
WZZ601,A21N,EDHI,LHBP,Pilatus,2505,15 May 25
TOM664,B788,EGBB,KMLB,Pilatus,2505,15 May 25
PVA1441,GLEX,EBLG,KMCO,Pilatus,2504,15 May 25
TFF924,GLF5,EINN,KPBI,Pilatus,2505,15 May 25
IFA6232,GLEX,KPBI,EDDH,Pilatus,2505,15 May 25
N18TM,GLEX,LEGE,KPBI,Pilatus,2505,15 May 25
N1TT,GA6C,LFMN,KPBI,Pilatus,2505,15 May 25
N345LL,GLF6,EGGW,KOPF,Pilatus,2504,15 May 25
VJT946,GLEX,KFLL,EGGW,Pilatus,2505,15 May 25
BAW187,B788,EGLL,KAUS,Pilatus,2505,15 May 25
SXS6V,B738,LTAI,LTAJ,Pilatus,2505,15 May 25
BAW17R,B772,EGLL,KJFK,Pilatus,2505,15 May 25
SXS5Z,B738,LTDB,LTAI,Pilatus,2505,15 May 25
GES191R,GLF6,KSAV,LEST,Pilatus,2505,15 May 25
ICE1274,B752,LMML,LPAZ,Pilatus,2505,15 May 25
SAS780,A20N,LHBP,EKCH,Pilatus,2505,15 May 25
TUI2731,B738,LIMJ,EDDF,Pilatus,2505,15 May 25
LXJ465,GLF4,EGLF,KTEB,Pilatus,2505,15 May 25
N450JC,GLF4,KTEB,LFPB,Pilatus,2505,15 May 25
AFR962,B77W,LFPG,MUHA,Sinkrate,2505,15 May 25
CFG9CP,A320,GCFV,EDDL,Sinkrate,2505,15 May 25
TUI5BM,B738,EDDF,LIMJ,Sinkrate,2505,15 May 25
CHH782,B788,LOWW,ZUTF,Sinkrate,2505,15 May 25
