Callsign,Aircraft,Departure ICAO,Destination ICAO,Contributor,AIRAC validity,Date added
MAS3,A359,EGLL,WMKK,Pilatus,2504,17 Apr 25
OCN1291,A320,LGKL,EDDM,Pilatus,2504,17 Apr 25
TVF48TJ,A20N,LTAI,LFPO,Pilatus,2504,17 Apr 25
DLH4JV,A321,EGCC,EDDM,Pilatus,2504,17 Apr 25
JBU32,A21N,EHAM,KBOS,Pilatus,2504,17 Apr 25
MSR737,B738,HECA,LTFM,Pilatus,2504,17 Apr 25
EXS69VT,A321,EGCC,LEBL,Pilatus,2504,17 Apr 25
OCN7P,A320,EDDM,LGKL,Pilatus,2504,17 Apr 25
MSR709,B738,HECA,OLBA,Pilatus,2504,17 Apr 25
NMA4880,A320,HECA,LIPY,Pilatus,2504,17 Apr 25
MFX371,A20N,UTTT,LLBG,Pilatus,2504,17 Apr 25
TVF84SQ,A20N,LFPO,LTAI,Pilatus,2504,17 Apr 25
EWG7ZU,A319,EDDM,EDDL,Pilatus,2504,17 Apr 25
ELY5132,B738,LCLK,LLBG,Pilatus,2504,17 Apr 25
FIN52V,A359,EFHK,EBBR,Pilatus,2504,17 Apr 25
THY7ST,A359,EDDM,LTFM,Pilatus,2504,17 Apr 25
THY5KP,A359,LTFM,EDDM,Pilatus,2504,17 Apr 25
MFX372,A20N,LLBG,UTTT,Pilatus,2504,17 Apr 25
TUI903P,A320,EDDV,EGPF,Pilatus,2504,17 Apr 25
RYR62ZJ,B38M,LEPA,LROP,Pilatus,2504,17 Apr 25
N7RJ,S22T,EGTR,EGJB,Pilatus,2504,17 Apr 25
N103K,S22T,LPCS,LELL,Pilatus,2504,17 Apr 25
HBVXZ,PC24,LSZA,LEIB,Pilatus,2504,17 Apr 25
PTN73W,PC24,LIMJ,EGCM,Pilatus,2504,17 Apr 25
N551DL,PC12,ETSI,LKTB,Pilatus,2504,17 Apr 25
N48FB,F2TH,KBGR,EINN,Pilatus,2504,17 Apr 25
N378TP,GL7T,LIRI,KFTY,Pilatus,2510,17 Apr 25
N29FR,GLEX,EGTK,UBBB,Pilatus,2504,17 Apr 25
LXJ95,GLF6,EIDW,KCHS,Pilatus,2504,17 Apr 25
N121CL,GL7T,OMDB,EGGW,Pilatus,2504,17 Apr 25
MJF71G,GA5C,OMDW,LSZH,Pilatus,2504,17 Apr 25
LDX69C,GA5C,EDDW,EGGW,Pilatus,2504,17 Apr 25
CGLJT,GLF5,CYYZ,ESSA,Pilatus,2504,17 Apr 25
EIAER,GLF6,EHAM,KRSW,Pilatus,2504,17 Apr 25
FYG313,FA7X,KSJC,EGGD,Pilatus,2504,17 Apr 25
GJI85U,H25B,CYUL,BIKF,Pilatus,2504,17 Apr 25
N168QS,GLEX,KBGR,EGKB,Pilatus,2504,17 Apr 25
N8PF,GA6C,KDNA,LEBL,Pilatus,2504,17 Apr 25
N497RB,BE30,LDLO,LOWS,Pilatus,2504,17 Apr 25
N650WS,GLF6,LEMD,MYAM,Pilatus,2504,17 Apr 25
