Callsign,Aircraft,Departure ICAO,Destination ICAO,Contributor,AIRAC validity,Date added
N865R,GLF5,KPVD,EGLF,Pilatus,2506,20 Jun 25
N59JS,E550,EINN,KPSM,Pilatus,2506,20 Jun 25
LNX12MO,GLEX,LEMG,KBOS,Pilatus,2506,20 Jun 25
AOJ95C,GLF5,KBOS,EGGW,Pilatus,2506,20 Jun 25
N700XT,GLF6,EGLF,KBOS,Pilatus,2506,20 Jun 25
N770PG,G280,KBED,EGKB,Pilatus,2506,20 Jun 25
JBU1080,A21N,EGPH,KBOS,Pilatus,2506,20 Jun 25
JBU1079,A21N,KBOS,EGPH,Pilatus,2506,20 Jun 25
JBU2260,A21N,LEMD,KBOS,Pilatus,2506,20 Jun 25
JBU2261,A21N,KBOS,LEMD,Pilatus,2506,20 Jun 25
N989JC,GLF5,KMKE,EGSH,Pilatus,2506,20 Jun 25
SKV222,GLEX,KMDW,EBKT,Pilatus,2506,20 Jun 25
BAW84KV,A320,EGLL,LROP,Pilatus,2506,20 Jun 25
BGH3206,A319,LZIB,LBBG,Pilatus,2506,20 Jun 25
EXS49YF,A21N,EGCC,LGIR,Pilatus,2506,20 Jun 25
SXS8L,B738,EDDL,LTBJ,Pilatus,2506,20 Jun 25
RYR77SY,B738,LEVC,LFRS,Pilatus,2506,20 Jun 25
SXS4N,B738,LTAS,EDDL,Pilatus,2506,20 Jun 25
TUI27A,B738,GCFV,EDDL,Pilatus,2506,20 Jun 25
PER002,CRJ9,OLBA,HESH,Pilatus,2506,20 Jun 25
TWY87,GA7C,LGKF,EGSS,Pilatus,2506,20 Jun 25
QQE752,GA7C,LFPB,UBBB,Pilatus,2506,20 Jun 25
QQE752,GLF6,KORD,LTFM,Pilatus,2506,20 Jun 25
N980RJ,S22T,LEAX,LESL,Pilatus,2506,20 Jun 25
N900RM,S22T,EDFE,LSZC,Pilatus,2506,20 Jun 25
N10CD,S22T,LFAT,EGMC,Pilatus,2506,20 Jun 25
N717KK,S22T,BIRK,BGBW,Pilatus,2506,20 Jun 25
DIGST,PRM1,EDDB,EDXW,Pilatus,2506,20 Jun 25
DFBOX,PC12,EDXW,EDDG,Pilatus,2506,20 Jun 25
PJV680,C68A,EDDF,EDXW,Pilatus,2506,20 Jun 25
DLH2184,CRJ9,EDDM,EDXW,Pilatus,2506,20 Jun 25
DEPWP,BE33,EDDH,EDXW,Pilatus,2506,20 Jun 25
DLH223,A319,EDXW,EDDF,Pilatus,2506,20 Jun 25
DLH222,A319,EDDF,EDXW,Pilatus,2506,20 Jun 25
EWG10V,A319,EDXW,EDDL,Pilatus,2506,20 Jun 25
EWG1EJ,A319,EDDL,EDXW,Pilatus,2506,20 Jun 25
TAP036,A332,SBFZ,LPPT,Pilatus,2506,20 Jun 25
N700PG,F900,LSZH,LFMN,Pilatus,2506,20 Jun 25
N180QS,GL7T,LSZH,KPSM,Pilatus,2506,20 Jun 25
N333FG,GLF4,LSZH,LFPB,Pilatus,2506,20 Jun 25
