continent,subcontinent,country,iata,country_code,region_name,icao,airport,latitude,longitude
Europe,Western Europe,France,CDG,FR,Ile-de-France,LFPG,Paris Charles de Gaulle Airport,49.0097,2.54778
Europe,Western Europe,France,ORY,FR,Ile-de-France,LFPO,Aéroport de Paris-Orly,48.7231,2.35944
Europe,Western Europe,France,PUF,FR,Nouvelle-Aquitaine,LFBP,Pau Pyrenees Airport,43.38,-0.418611
Europe,Western Europe,France,PGF,FR,Occitanie,LFMP,Perpignan-Rivesaltes Airport,42.7404,2.87067
Europe,Western Europe,France,PIS,FR,Nouvelle-Aquitaine,LFBI,Poitiers-Biard Airport,46.5877,0.306666
Europe,Western Europe,France,RDZ,FR,Occitanie,LFCR,Rodez-Marcillac Airport,44.4079,2.48267
Europe,Western Europe,France,EBU,FR,Auvergne-Rhone-Alpes,LFMH,Saint-Etienne-Boutheon Airport,45.5406,4.29639
Europe,Western Europe,France,SXB,FR,Grand-Est,LFST,Strasbourg Airport,48.5383,7.62823
Europe,Western Europe,France,TLN,FR,Provence-Alpes-Cote-d'Azur,LFTH,Toulon-Hyeres Airport (Hyeres Le Palyvestre Airport),43.0973,6.14603
Europe,Western Europe,France,TLS,FR,Occitanie,LFBO,Toulouse-Blagnac Airport,43.6291,1.36382
Europe,Western Europe,France,TUF,FR,Centre-Val de Loire,LFOT,Tours Val de Loire Airport,47.4322,0.727606
Europe,Western Europe,Gibraltar,GIB,GI,Gibraltar,LXGB,Gibraltar International Airport (North Front Airport),36.1512,-5.34966
Europe,Western Europe,Ireland,ORK,IE,Cork,EICK,Cork Airport,51.8413,-8.49111
Europe,Western Europe,Ireland,DUB,IE,Dublin,EIDW,Dublin Airport,53.4213,-6.27007
Europe,Western Europe,Ireland,KIR,IE,Kerry,EIKY,Kerry Airport (Farranfore Airport),52.1809,-9.52378
Europe,Western Europe,Ireland,NOC,IE,Mayo,EIKN,Ireland West Airport Knock,53.9103,-8.81849
Europe,Western Europe,Ireland,SNN,IE,Clare,EINN,Shannon Airport,52.702,-8.92482
Europe,Western Europe,Isle of Man,IOM,GB,England,EGNS,Isle of Man Airport,54.0833,-4.62333
Europe,Western Europe,Jersey,JER,JE,Jersey,EGJJ,Jersey Airport,49.2081,-2.19528
Europe,Western Europe,Luxembourg,LUX,LU,Luxembourg,ELLX,Luxembourg Findel Airport,49.6233,6.20444
Europe,Western Europe,Netherlands,AMS,NL,Noord-Holland,EHAM,Amsterdam Airport Schiphol,52.3086,4.76389
Europe,Western Europe,Netherlands,EIN,NL,Noord-Brabant,EHEH,Eindhoven Airport,51.4501,5.37453
Europe,Western Europe,Netherlands,GRQ,NL,Drenthe,EHGG,Groningen Airport Eelde,53.1197,6.57944
Europe,Western Europe,Netherlands,MST,NL,Limburg,EHBK,Maastricht Aachen Airport,50.9117,5.77014
Europe,Western Europe,Netherlands,RTM,NL,Zuid-Holland,EHRD,Rotterdam The Hague Airport,51.9569,4.43722
Europe,Central Europe,Austria,GRZ,AT,Steiermark,LOWG,Graz Airport,46.9911,15.4396
Europe,Central Europe,Austria,KLU,AT,Karnten,LOWK,Klagenfurt Airport,46.6425,14.3377
Europe,Central Europe,Austria,INN,AT,Tirol,LOWI,Innsbruck Airport (Kranebitten Airport),47.2602,11.344
Europe,Central Europe,Austria,LNZ,AT,Oberosterreich,LOWL,Linz Airport (Blue Danube Airport),48.2332,14.1875
Europe,Central Europe,Austria,SZG,AT,Salzburg,LOWS,Salzburg Airport,47.7933,13.0043
Europe,Central Europe,Austria,VIE,AT,Niederosterreich,LOWW,Vienna International Airport,48.1103,16.5697
Europe,Central Europe,Czech Republic,BRQ,CZ,Jihomoravsky kraj,LKTB,Brno-Turany Airport,49.1513,16.6944
Europe,Central Europe,Czech Republic,JCL,CZ,Jihocesky kraj,LKCS,Ceske Budejovice Airport (Plana Airport),48.9464,14.4275
Europe,Central Europe,Czech Republic,KLV,CZ,Karlovarsky kraj,LKKV,Karlovy Vary Airport,50.203,12.915
Europe,Central Europe,Czech Republic,OSR,CZ,Moravskoslezsky kraj,LKMT,Leos Janacek Airport,49.6963,18.1111
Europe,Central Europe,Czech Republic,PED,CZ,Pardubicky kraj,LKPD,Pardubice Airport,50.0134,15.7386
Europe,Central Europe,Czech Republic,PRG,CZ,Stredocesky kraj,LKPR,Vaclav Havel Airport Prague,50.1008,14.26
Europe,Central Europe,Germany,FKB,DE,Baden-Wurttemberg,EDSB,Karlsruhe/Baden-Baden Airport,48.7794,8.0805
Europe,Central Europe,Germany,BER,DE,Brandenburg,EDDB,Berlin Brandenburg Airport,52.3514,13.4939
Europe,Central Europe,Germany,BRE,DE,Bremen,EDDW,Bremen Airport,53.0475,8.78667
Europe,Central Europe,Germany,CGN,DE,Nordrhein-Westfalen,EDDK,Cologne Bonn Airport,50.8659,7.14274
