,precision,recall,f1-score,support
cancelled,0.8510786360473208,0.3485323453975492,0.4945410432672867,3509.0
late,0.762296311106668,0.8703381366814096,0.8127423158399616,35045.0
on_time,0.9037145394702472,0.8603401969561325,0.8814941269396387,60318.0
accuracy,0.8457197184238207,0.8457197184238207,0.8457197184238207,0.8457197184238207
macro avg,0.8390298288747453,0.6930702263450305,0.7295924953489624,98872.0
weighted avg,0.8517210408243951,0.8457197184238207,0.8433920799435786,98872.0
