,precision,recall,f1-score,support
cancelled,0.5081967213114754,0.00894402769763416,0.017578678763821944,3466.0
late,0.6930255895634722,0.7882436866885433,0.7375742607302583,35045.0
on_time,0.8508872055618969,0.8306320907617504,0.8406376544159107,59232.0
accuracy,0.786296716900443,0.786296716900443,0.786296716900443,0.786296716900443
macro avg,0.6840365054789482,0.542606601715976,0.531930197969997,97743.0
weighted avg,0.7821352176847419,0.786296716900443,0.7744991172181181,97743.0
