,precision,recall,f1-score,support
]000;005],0.2689791873141725,0.18566151320290053,0.2196859316820463,7309.0
]005;015],0.36003506428452164,0.6221597056914088,0.45611993971284276,13863.0
]015;030],0.29037971880881214,0.2514378834355828,0.26950937580272283,10432.0
]030;060],0.2727272727272727,0.1522992546758543,0.1954520844612886,7111.0
]060;120],0.0821917808219178,0.006578947368421052,0.012182741116751269,1824.0
]120;240],0.17105263157894737,0.016270337922403004,0.029714285714285714,1598.0
]240;360],0.0,0.0,0.0,173.0
accuracy,0.3244150319073505,0.3244150319073505,0.3244150319073505,0.3244150319073505
macro avg,0.20648080793366347,0.17634394889951005,0.16895205121284823,42310.0
weighted avg,0.29186952854443654,0.3244150319073505,0.2883469990132315,42310.0
