,precision,recall,f1-score,support
]000;005],0.28000985950209517,0.1554248187166507,0.19989442196023227,7309.0
]005;015],0.3642757902049323,0.6052081079131502,0.45480417400731804,13863.0
]015;030],0.2818455366098295,0.2693634969325153,0.2754631898833448,10432.0
]030;060],0.25836313907006103,0.1726901982843482,0.20701281186783546,7111.0
]060;120],0.07916666666666666,0.010416666666666666,0.018410852713178296,1824.0
]120;240],0.12033195020746888,0.018147684605757195,0.031538879825992384,1598.0
]240;360],0.0,0.0,0.0,173.0
accuracy,0.3217206334199953,0.3217206334199953,0.3217206334199953,0.3217206334199953
macro avg,0.19771327746586478,0.17589299615986978,0.169589190036843,42310.0
weighted avg,0.2886001115335446,0.3217206334199953,0.28824531367848716,42310.0
