,request,nb_of_pages_already_retrieved,total_flights,page.totalPages
41,afklm_api_data_collection_arrivalCity=AMS&departureCity=CPH&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,2008,21
42,afklm_api_data_collection_arrivalCity=AMS&departureCity=CTA&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,257,3
43,afklm_api_data_collection_arrivalCity=AMS&departureCity=CWL&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,473,5
44,afklm_api_data_collection_arrivalCity=AMS&departureCity=DBV&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,228,3
45,afklm_api_data_collection_arrivalCity=AMS&departureCity=DUB&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,2056,21
46,afklm_api_data_collection_arrivalCity=AMS&departureCity=DUS&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,762,8
47,afklm_api_data_collection_arrivalCity=AMS&departureCity=EDI&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,1120,12
48,afklm_api_data_collection_arrivalCity=AMS&departureCity=EFL&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,113,2
49,afklm_api_data_collection_arrivalCity=AMS&departureCity=EXT&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,153,2
50,afklm_api_data_collection_arrivalCity=AMS&departureCity=FAO&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,534,6
51,afklm_api_data_collection_arrivalCity=AMS&departureCity=FLR&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,761,8
52,afklm_api_data_collection_arrivalCity=AMS&departureCity=FNC&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,248,3
53,afklm_api_data_collection_arrivalCity=AMS&departureCity=FRA&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,1730,18
54,afklm_api_data_collection_arrivalCity=AMS&departureCity=FUE&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,163,2
55,afklm_api_data_collection_arrivalCity=AMS&departureCity=GDN&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,591,6
56,afklm_api_data_collection_arrivalCity=AMS&departureCity=GLA&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,724,8
57,afklm_api_data_collection_arrivalCity=AMS&departureCity=GOA&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,347,4
58,afklm_api_data_collection_arrivalCity=AMS&departureCity=GOT&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,762,8
59,afklm_api_data_collection_arrivalCity=AMS&departureCity=GRO&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,141,2
60,afklm_api_data_collection_arrivalCity=AMS&departureCity=GVA&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,1061,11
61,afklm_api_data_collection_arrivalCity=AMS&departureCity=HAJ&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,537,6
62,afklm_api_data_collection_arrivalCity=AMS&departureCity=HAM&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,766,8
63,afklm_api_data_collection_arrivalCity=AMS&departureCity=HEL&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,765,8
64,afklm_api_data_collection_arrivalCity=AMS&departureCity=HER&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,539,6
65,afklm_api_data_collection_arrivalCity=AMS&departureCity=HUY&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,457,5
66,afklm_api_data_collection_arrivalCity=AMS&departureCity=IBZ&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,734,8
67,afklm_api_data_collection_arrivalCity=AMS&departureCity=INV&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,375,4
68,afklm_api_data_collection_arrivalCity=AMS&departureCity=KGS&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,367,4
69,afklm_api_data_collection_arrivalCity=AMS&departureCity=KRK&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,806,9
70,afklm_api_data_collection_arrivalCity=AMS&departureCity=KRS&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,384,4
71,afklm_api_data_collection_arrivalCity=AMS&departureCity=LBA&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,456,5
72,afklm_api_data_collection_arrivalCity=AMS&departureCity=LIS&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,1429,15
73,afklm_api_data_collection_arrivalCity=AMS&departureCity=LJU&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,232,3
