,departure_icao,destination_icao,callsign,departure_continent,departure_subcontinent,departure_country,departure_iata,departure_country_code,departure_region_name,departure_airport,departure_latitude,departure_longitude,destination_continent,destination_subcontinent,destination_country,destination_iata,destination_country_code,destination_region_name,destination_airport,destination_latitude,destination_longitude
25,BGSF,KBOI,1,Americas,North America,Greenland,SFJ,GL,Qeqqata Kommunia,Kangerlussuaq Airport,67.0122,-50.7116,Americas,North America,United States,BOI,US,Idaho,Boise Air Terminal (Gowen Field),43.5644,-116.223
26,BGSF,LFPG,1,Americas,North America,Greenland,SFJ,GL,Qeqqata Kommunia,Kangerlussuaq Airport,67.0122,-50.7116,Europe,Western Europe,France,CDG,FR,Ile-de-France,Paris Charles de Gaulle Airport,49.0097,2.54778
27,BGSF,LSZH,1,Americas,North America,Greenland,SFJ,GL,Qeqqata Kommunia,Kangerlussuaq Airport,67.0122,-50.7116,Europe,Central Europe,Switzerland,ZRH,CH,Zurich,Zurich Airport,47.4647,8.54917
28,BIAR,BGBW,1,Europe,Nordic Region,Iceland,AEY,IS,Nordurland eystra,Akureyri Airport,65.66,-18.0727,Americas,North America,Greenland,UAK,GL,Kommune Kujalleq,Narsarsuaq Airport,61.1605,-45.426
29,BIAR,EGHH,1,Europe,Nordic Region,Iceland,AEY,IS,Nordurland eystra,Akureyri Airport,65.66,-18.0727,Europe,United Kingdom,England,BOH,GB,England,Bournemouth Airport,50.78,-1.8425
30,BIAR,KBGR,1,Europe,Nordic Region,Iceland,AEY,IS,Nordurland eystra,Akureyri Airport,65.66,-18.0727,Americas,North America,United States,BGR,US,Maine,Bangor International Airport,44.8074,-68.8281
31,BIAR,KCMH,1,Europe,Nordic Region,Iceland,AEY,IS,Nordurland eystra,Akureyri Airport,65.66,-18.0727,Americas,North America,United States,CMH,US,Ohio,John Glenn Columbus International Airport,39.998,-82.8919
32,BIAR,KLAX,1,Europe,Nordic Region,Iceland,AEY,IS,Nordurland eystra,Akureyri Airport,65.66,-18.0727,Americas,North America,United States,LAX,US,California,Los Angeles International Airport,33.9425,-118.408
33,BIEG,BIKF,2,Europe,Nordic Region,Iceland,EGS,IS,Nordurland eystra,Egilsstaoir Airport,65.2833,-14.4014,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056
34,BIEG,ENVA,1,Europe,Nordic Region,Iceland,EGS,IS,Nordurland eystra,Egilsstaoir Airport,65.2833,-14.4014,Europe,Nordic Region,Norway,TRD,NO,Nord-Trondelag,Trondheim Airport,63.4578,10.924
35,BIEG,KSWF,1,Europe,Nordic Region,Iceland,EGS,IS,Nordurland eystra,Egilsstaoir Airport,65.2833,-14.4014,Americas,North America,United States,SWF,US,New York,New York Stewart International Airport,41.5042,-74.1047
36,BIKF,BGBW,4,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,Greenland,UAK,GL,Kommune Kujalleq,Narsarsuaq Airport,61.1605,-45.426
37,BIKF,BGGH,8,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,Greenland,GOH,GL,Kommuneqarfik Sermersooq,Nuuk Airport,64.1909,-51.6781
38,BIKF,BGJN,2,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,Greenland,JAV,GL,Avannaata Kommunia,Ilulissat Airport,69.2432,-51.0571
39,BIKF,BGSF,3,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,Greenland,SFJ,GL,Qeqqata Kommunia,Kangerlussuaq Airport,67.0122,-50.7116
40,BIKF,BIAR,1,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Europe,Nordic Region,Iceland,AEY,IS,Nordurland eystra,Akureyri Airport,65.66,-18.0727
41,BIKF,BIRK,3,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Europe,Nordic Region,Iceland,RKV,IS,Hofudborgarsvaedi,Reykjavík Airport,64.13,-21.9406
42,BIKF,CYEG,2,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,Canada,YEG,CA,Alberta,Edmonton International Airport,53.31,-113.579
43,BIKF,CYHZ,2,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,Canada,YHZ,CA,Nova Scotia,Halifax Stanfield International Airport,44.8808,-63.5086
44,BIKF,CYQB,3,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,Canada,YQB,CA,Quebec,Quebec City Jean Lesage International Airport,46.7911,-71.3933
45,BIKF,CYQX,3,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,Canada,YQX,CA,Newfoundland and Labrador,Gander International Airport / CFB Gander,48.9369,-54.5681
46,BIKF,CYUL,5,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,Canada,YUL,CA,Quebec,Montréal-Pierre Elliott Trudeau International Airport,45.4657,-73.7455
47,BIKF,CYVR,4,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,Canada,YVR,CA,British Columbia,Vancouver International Airport,49.1939,-123.184
48,BIKF,CYYC,4,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,Canada,YYC,CA,Alberta,Calgary International Airport,51.1139,-114.02
49,BIKF,CYYT,2,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,Canada,YYT,CA,Newfoundland and Labrador,St. John's International Airport,47.6186,-52.7519
50,BIKF,CYYZ,7,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,Canada,YYZ,CA,Ontario,Toronto Pearson International Airport,43.6797,-79.6227
51,BIKF,EBOS,1,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Europe,Western Europe,Belgium,OST,BE,West-Vlaanderen,Ostend-Bruges International Airport,51.1989,2.86222
52,BIKF,EDDF,1,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Europe,Central Europe,Germany,FRA,DE,Hessen,Frankfurt Airport,50.0333,8.57056
53,BIKF,EDDH,2,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Europe,Central Europe,Germany,HAM,DE,Hamburg,Hamburg Airport,53.6304,9.98823
54,BIKF,EDDL,2,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Europe,Central Europe,Germany,DUS,DE,Nordrhein-Westfalen,Dusseldorf Airport,51.2895,6.76678
55,BIKF,EDDM,2,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Europe,Central Europe,Germany,MUC,DE,Bayern,Munich Airport,48.3538,11.7861
56,BIKF,EGCC,1,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Europe,United Kingdom,England,MAN,GB,England,Manchester Airport,53.3537,-2.27495
57,BIKF,EGGD,1,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Europe,United Kingdom,England,BRS,GB,England,Bristol Airport,51.3827,-2.71909
58,BIKF,EGGP,2,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Europe,United Kingdom,England,LPL,GB,England,Liverpool John Lennon Airport,53.3336,-2.84972
59,BIKF,EGGW,1,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Europe,United Kingdom,England,LTN,GB,England,London Luton Airport,51.8747,-0.368333
60,BIKF,EGNT,1,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Europe,United Kingdom,England,NCL,GB,England,Newcastle Airport,55.0375,-1.69167
61,BIKF,EGNX,3,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Europe,United Kingdom,England,EMA,GB,England,East Midlands Airport,52.8311,-1.32806
62,BIKF,EGPF,2,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Europe,United Kingdom,Scotland,GLA,GB,Scotland,Glasgow Airport,55.8719,-4.43306
63,BIKF,EGPH,1,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Europe,United Kingdom,Scotland,EDI,GB,Scotland,Edinburgh Airport,55.95,-3.3725
64,BIKF,EGPK,2,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Europe,United Kingdom,Scotland,PIK,GB,Scotland,Glasgow Prestwick Airport,55.5094,-4.58667
65,BIKF,EHAM,4,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Europe,Western Europe,Netherlands,AMS,NL,Noord-Holland,Amsterdam Airport Schiphol,52.3086,4.76389
66,BIKF,EHBK,1,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Europe,Western Europe,Netherlands,MST,NL,Limburg,Maastricht Aachen Airport,50.9117,5.77014
67,BIKF,EIDW,2,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Europe,Western Europe,Ireland,DUB,IE,Dublin,Dublin Airport,53.4213,-6.27007
68,BIKF,EINN,1,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Europe,Western Europe,Ireland,SNN,IE,Clare,Shannon Airport,52.702,-8.92482
69,BIKF,EKAH,1,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Europe,Nordic Region,Denmark,AAR,DK,Midtjylland,Aarhus Airport,56.3,10.619
70,BIKF,EKBI,1,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Europe,Nordic Region,Denmark,BLL,DK,Syddanmark,Billund Airport,55.7403,9.15178
71,BIKF,EKVG,3,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Europe,Nordic Region,Faroe Islands,FAE,FK,Falkland Islands (Malvinas),Vagar Airport,62.0636,-7.27722
72,BIKF,ENTC,1,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Europe,Nordic Region,Norway,TOS,NO,Troms,Tromse Airport,69.6833,18.9189
73,BIKF,ENZV,1,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Europe,Nordic Region,Norway,SVG,NO,Rogaland,Stavanger Airport,58.8767,5.63778
74,BIKF,EPWA,2,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Europe,Central Europe,Poland,WAW,PL,Mazowieckie,Warsaw Chopin Airport,52.1657,20.9671
75,BIKF,ESSA,1,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Europe,Nordic Region,Sweden,ARN,SE,Stockholms lan,Stockholm Arlanda Airport,59.6519,17.9186
76,BIKF,EVRA,2,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Europe,Nordic Region,Latvia,RIX,LV,Riga,Riga International Airport,56.9236,23.9711
77,BIKF,EYVI,1,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Europe,Nordic Region,Lithuania,VNO,LT,-,Vilnius Airport,54.6341,25.2858
78,BIKF,HECA,1,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Africa,Northern Africa,Egypt,CAI,EG,Al Qahirah,Cairo International Airport,30.1219,31.4056
79,BIKF,KATL,2,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,United States,ATL,US,Georgia,Hartsfield-Jackson Atlanta International Airport,33.6367,-84.4281
80,BIKF,KAUS,1,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,United States,AUS,US,Texas,Austin-Bergstrom International Airport,30.1945,-97.6699
81,BIKF,KBGR,40,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,United States,BGR,US,Maine,Bangor International Airport,44.8074,-68.8281
82,BIKF,KBNA,1,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,United States,BNA,US,Tennessee,Nashville International Airport,36.1245,-86.6782
83,BIKF,KBOS,4,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,United States,BOS,US,Massachusetts,Logan International Airport,42.3643,-71.0052
