Callsign,Aircraft,Departure ICAO,Destination ICAO,Contributor,AIRAC validity,Date added
BAW119,B772,EGLL,VOBL,sam,2509,06 Sep 25
VIR242,A339,EGLL,OERK,sam,2509,06 Sep 25
VIR243,A339,OERK,EGLL,sam,2509,06 Sep 25
VIR225,A35K,EGPH,KMCO,sam,2509,06 Sep 25
VIR810P,A35K,EGCC,EGPH,sam,2509,06 Sep 25
EUK94R,A333,KJFK,EGCC,sam,2509,06 Sep 25
EUK9YG,A333,KMCO,EGCC,sam,2509,06 Sep 25
EUK9MC,A333,EGCC,KJFK,sam,2509,06 Sep 25
EUK935,A333,EGCC,KMCO,sam,2509,06 Sep 25
TOM1MA,B38M,LGRP,EGBB,sam,2509,06 Sep 25
TOM91K,B738,GCFV,EGBB,sam,2509,06 Sep 25
TOM54D,B38M,GCLP,EGBB,sam,2509,06 Sep 25
TOM7DK,B738,LGSR,EGBB,sam,2509,06 Sep 25
TOM7HT,B738,LEPA,EGBB,sam,2509,06 Sep 25
TOM2BW,B738,LERS,EGBB,sam,2509,06 Sep 25
TOM4CV,B38M,LIPX,EGBB,sam,2509,06 Sep 25
TOM4CV,B38M,LIPX,EGBB,sam,2509,06 Sep 25
TOM8EJ,B738,LEIB,EGBB,sam,2509,06 Sep 25
TOM2PL,B738,LDPL,EGBB,sam,2509,06 Sep 25
TOM6YM,B38M,LEMH,EGBB,sam,2509,06 Sep 25
TOM95N,B738,LOWS,EGBB,sam,2509,06 Sep 25
TOM569,B789,MDPC,EGBB,sam,2509,06 Sep 25
TOM6CV,B38M,LBBG,EGBB,sam,2509,06 Sep 25
TOM9BV,B38M,LCLK,EGBB,sam,2509,06 Sep 25
TOM705,B789,GVAC,EGBB,sam,2509,06 Sep 25
TOM811,B738,LTBS,EGBB,sam,2509,06 Sep 25
TOM3KC,B38M,HEGN,EGBB,sam,2509,06 Sep 25
TOM38B,B738,LGRP,EGBB,sam,2509,06 Sep 25
TOM457,B738,GMMX,EGBB,sam,2509,06 Sep 25
TOM50M,B38M,EGBB,LGKO,sam,2509,06 Sep 25
TOM48J,B38M,EGBB,LGRP,sam,2509,06 Sep 25
TOM5LE,B738,EGBB,LERS,sam,2509,06 Sep 25
TOM7CA,B738,EGBB,LCPH,sam,2509,06 Sep 25
TOM5TA,B738,EGBB,GCFV,sam,2509,06 Sep 25
TOM89C,B38M,EGBB,GCLP,sam,2509,06 Sep 25
TOM8CY,B738,EGBB,LGSR,sam,2509,06 Sep 25
TOM854,B789,EGBB,MKJS,sam,2509,06 Sep 25
TOM534,B789,EGBB,MMUN,sam,2509,06 Sep 25
TOM9HV,B38M,EGBB,LIPX,sam,2509,06 Sep 25
TOM8BD,B738,EGBB,LEIB,sam,2509,06 Sep 25
