Callsign,Aircraft,Departure ICAO,Destination ICAO,Contributor,AIRAC validity,Date added
ABY970,A320,OMSJ,LOWW,Pilatus,2507,03 Aug 25
TWY219,GLEX,KVRB,LPPT,Pilatus,2507,03 Aug 25
N890DA,GLF5,KFLL,EINN,Pilatus,2507,03 Aug 25
PSMGG,GA7C,KFLL,LFPB,Pilatus,2507,03 Aug 25
TVP7290,B38M,EPGD,LTFE,FOMA,2507,03 Aug 25
ETH3715,B77L,EBBR,FAOR,FOMA,2507,03 Aug 25
ETH3785,B77L,UACC,LEMD,FOMA,2507,03 Aug 25
QTR18V,B77L,KORD,EHAM,FOMA,2507,03 Aug 25
N761LE,GLF6,EGGW,KHPN,Pilatus,2507,03 Aug 25
VJT972,GLEX,EGHH,KHPN,Pilatus,2507,03 Aug 25
ENY3421,E170,KCMI,KORD,Pilatus,2507,03 Aug 25
VJT775,GLEX,KHPN,BIRK,Pilatus,2507,03 Aug 25
VJT712,GL7T,LGKR,KHPN,Pilatus,2507,03 Aug 25
AAB25,F900,KHPN,EBBR,Pilatus,2507,03 Aug 25
VJT751,GL7T,LIEO,KHPN,Pilatus,2507,03 Aug 25
N7KS,GA5C,KHPN,EGLC,Pilatus,2507,03 Aug 25
N860PS,F2TH,EGFF,KHPN,Pilatus,2507,03 Aug 25
N890PS,F2TH,KHPN,EGFF,Pilatus,2507,03 Aug 25
N955AA,C25B,KHPN,BGGH,Pilatus,2507,03 Aug 25
N179QS,GL7T,EGGD,KHOU,Pilatus,2507,03 Aug 25
ABY971,A320,LOWW,OMSJ,Pilatus,2507,03 Aug 25
SMB605,GLF5,EGGW,HTKJ,Pilatus,2507,03 Aug 25
SVA153,A320,OERK,LOWW,Pilatus,2507,03 Aug 25
QQE780,GLF6,EHAM,KTEB,Pilatus,2507,03 Aug 25
N416EL,GLF6,KTEB,LHBP,Pilatus,2507,03 Aug 25
N550GH,GLF5,KTEB,LPCS,Pilatus,2507,03 Aug 25
N162QS,GLEX,KTEB,EGGW,Pilatus,2507,03 Aug 25
N421SZ,GL7T,LFMN,KTEB,Pilatus,2507,03 Aug 25
VJH956,FA7X,LFMN,KTEB,Pilatus,2507,03 Aug 25
N600FR,GA6C,LFPB,KTEB,Pilatus,2507,03 Aug 25
N176KH,GLF6,LEIB,KFRG,Pilatus,2507,03 Aug 25
N552SN,GLF5,KFRG,LSGG,Pilatus,2507,03 Aug 25
N8833,GLF6,LXGB,KFOK,Pilatus,2507,03 Aug 25
N89CV,GL5T,EINN,KFRG,Pilatus,2507,03 Aug 25
MMD6010,FA7X,EGKB,KFOK,Pilatus,2507,03 Aug 25
LXJ487,GLF4,EGGW,KFRG,Pilatus,2507,03 Aug 25
LXJ656,GLF6,LGKF,KTEB,Pilatus,2507,03 Aug 25
EJM626,FA7X,LFPB,KBFI,Pilatus,2507,03 Aug 25
EJM193,GLF6,KCMH,EGBB,Pilatus,2507,03 Aug 25
JBU7,A21N,KJFK,EGLL,Pilatus,2510,03 Aug 25
