Callsign,Aircraft,Departure ICAO,Destination ICAO,Contributor,AIRAC validity,Date added
N176KH,GLF6,KFRG,LFTH,Pilatus,2506,06 Jul 25
N872QS,C700,KMMU,EGHQ,Pilatus,2506,06 Jul 25
MINKE,GA6C,KFOK,EGLF,Pilatus,2506,06 Jul 25
N40WR,GL7T,EGBP,KFOK,Pilatus,2506,06 Jul 25
VJT972,GLEX,LIRN,KFOK,Pilatus,2506,06 Jul 25
IFA6304,GLEX,KFOK,LFMN,Pilatus,2506,06 Jul 25
N64MT,GLEX,KPVD,LFSD,Pilatus,2506,06 Jul 25
N184QS,GL7T,KPVD,EGKB,Pilatus,2506,06 Jul 25
N247EZ,F2TH,LPAZ,KBGR,Pilatus,2506,06 Jul 25
N465RD,F2TH,KBGR,EGPO,Pilatus,2506,06 Jul 25
N900YG,F900,LFML,KBGR,Pilatus,2506,06 Jul 25
MMD6870,FA7X,LSZH,KBGR,Pilatus,2506,06 Jul 25
N142QS,GLEX,KBGR,LEVC,Pilatus,2506,06 Jul 25
JNY610,GLF4,LFMN,KBGR,Pilatus,2506,06 Jul 25
WWI91,GLF4,LFMN,KBGR,Pilatus,2506,06 Jul 25
N447JF,GLF4,LEMG,KBGR,Pilatus,2506,06 Jul 25
N817DE,GLF4,EGSS,KBGR,Pilatus,2506,06 Jul 25
N865R,GLF5,LIML,KBGR,Pilatus,2506,06 Jul 25
N780E,GLF5,KFOK,LEMD,Pilatus,2506,06 Jul 25
N185QS,GL7T,LFMN,KFOK,Pilatus,2506,06 Jul 25
N50S,GLF5,KFOK,LEPA,Pilatus,2506,06 Jul 25
N11222,PA46,EDAZ,EDMA,Pilatus,2506,06 Jul 25
LXJ567,CL35,EDDG,LSZH,Pilatus,2506,06 Jul 25
LXJ667,GLF6,EGGW,KTEB,Pilatus,2506,06 Jul 25
LXJ656,GLF6,GCLP,KMIA,Pilatus,2506,06 Jul 25
LXJ668,GLF6,LFTH,KFOK,Pilatus,2506,06 Jul 25
LXJ91,GLEX,LFMN,KIAD,Pilatus,2506,06 Jul 25
LXJ658,GLF6,EGKB,KBGR,Pilatus,2506,06 Jul 25
LXJ664,GLF6,KHPN,EIDW,Pilatus,2506,06 Jul 25
EJM393,C68A,BIKF,KPQI,Pilatus,2506,06 Jul 25
EJM328,GA6C,LFOT,KCLT,Pilatus,2506,06 Jul 25
EJM979,GLEX,LFMN,KBDL,Pilatus,2506,06 Jul 25
EJM393,C68A,LIRQ,BIKF,Pilatus,2506,06 Jul 25
JAS87,GA7C,KSFO,LSGG,Pilatus,2506,06 Jul 25
EJM616,GLF6,EGLF,KBED,Pilatus,2506,06 Jul 25
N45GX,GLEX,LGMK,KBED,Pilatus,2506,06 Jul 25
LXJ459,GLF4,KALB,LFPB,Pilatus,2506,06 Jul 25
N365LG,GLF6,KMSP,EGGW,Pilatus,2506,06 Jul 25
N179QS,GL7T,KMSP,EGPE,Pilatus,2506,06 Jul 25
MMD6076,FA7X,LIBR,KPWK,Pilatus,2506,06 Jul 25
