Callsign,Aircraft,Departure ICAO,Destination ICAO,Contributor,AIRAC validity,Date added
OCN5TJ,A320,EDDM,LGKF,Volarium,2505,16 May 25
SAS144,CRJ9,ESGG,ESSA,Volarium,2505,16 May 25
TVF4460,A20N,LFPO,LBWN,Volarium,2505,16 May 25
SBI3745,A320,UUDD,LTAI,Volarium,2505,16 May 25
JSD772,C650,HEMA,LGTS,Volarium,2505,16 May 25
LZB7055,B733,LBSF,HEAL,Volarium,2505,16 May 25
RSX3313,B738,HESH,UUWW,Volarium,2505,16 May 25
EDW3A,A359,KLAS,LSZH,Volarium,2505,16 May 25
WMT3JN,A21N,LROP,EDDS,Volarium,2505,16 May 25
SKP806,A319,YBCG,YBBN,Blaws54,2505,16 May 25
AFR94NJ,E190,LFPG,LFBZ,Krown,2505,15 May 25
DLH5UP,A21N,EDDM,LIRF,Sinkrate,2505,15 May 25
LOT500,B38M,BIKF,EPWA,Sinkrate,2505,15 May 25
DLH1835,A21N,LEMG,EDDM,Sinkrate,2505,15 May 25
CFG3DC,A21N,LGKR,EDDM,Sinkrate,2505,15 May 25
CFG3AH,A21N,EDDM,LGKR,Sinkrate,2505,15 May 25
LOT6378,B38M,LCPH,EPKT,Sinkrate,2505,15 May 25
AFR669,B772,HDAM,LFPG,Sinkrate,2505,15 May 25
LOT499,B38M,EPWA,BIKF,Sinkrate,2505,15 May 25
JNJ547,GL5T,LIPE,EKBI,Pilatus,2505,15 May 25
VTCDC,GLEX,EGGW,LFPB,Pilatus,2505,15 May 25
VTCDC,GLEX,LFPB,EGGW,Pilatus,2505,15 May 25
GTI8091,B744,EDDF,KORD,Pilatus,2505,15 May 25
FIN122,A333,VIDP,EFHK,Pilatus,2505,15 May 25
N2C,GLF6,EGGW,LSGG,Pilatus,2505,15 May 25
PTN54K,PC24,LSZS,LFMN,Pilatus,2505,15 May 25
KAY53,A319,LFMN,KDLH,Pilatus,2505,15 May 25
DAL9888,A332,KMSP,EHAM,Pilatus,2505,15 May 25
N724MT,GLEX,LEMG,KBUF,Pilatus,2505,15 May 25
UAE36K,B77W,LGAV,OMDB,Pilatus,2505,15 May 25
THY3TC,A321,ENGM,LTFM,Pilatus,2505,15 May 25
EXS53NZ,B738,EGSS,LBBG,Pilatus,2505,15 May 25
AWH32B,C56X,LOWG,LIPY,Pilatus,2505,15 May 25
TUI8963,B738,LIEE,EDDG,Pilatus,2505,15 May 25
ENT58UK,B38M,EDDF,LIEE,Pilatus,2505,15 May 25
EXS473Q,B738,LBBG,EGSS,Pilatus,2505,15 May 25
GTI8960,B744,PANC,EGNX,Pilatus,2505,15 May 25
N165QS,GLEX,EHAM,KLAX,Pilatus,2504,15 May 25
LXJ663,GLF6,EGLF,KLAX,Pilatus,2504,15 May 25
VJT915,GLEX,LFMN,KVNY,Pilatus,2504,15 May 25
