Callsign,Aircraft,Departure ICAO,Destination ICAO,Contributor,AIRAC validity,Date added
UKN1413,A319,EINN,KADW,Pilatus,2505,03 Jun 25
DLH433,A346,KORD,EDDF,Pilatus,2505,03 Jun 25
DLH4C,A359,KORD,EDDM,Pilatus,2505,03 Jun 25
T7ICE,E190,KBUF,EVRA,Pilatus,2505,03 Jun 25
N557AD,GLF6,LEMD,KHPN,Pilatus,2505,03 Jun 25
CFLMK,GLEX,LFPB,KHPN,Pilatus,2505,03 Jun 25
QQE734,GA7C,LFBZ,KHPN,Pilatus,2505,03 Jun 25
VPBTM,GA6C,KHPN,LSGG,Pilatus,2505,03 Jun 25
N612JD,C680,KHPN,EINN,Pilatus,2505,03 Jun 25
N423JL,GLEX,LICJ,KTEB,Pilatus,2505,03 Jun 25
NJE847U,GLEX,EGWU,KTEB,Pilatus,2505,03 Jun 25
VJT938,GLEX,KTEB,LFPB,Pilatus,2505,03 Jun 25
IFA6289,GLEX,KTEB,EDDK,Pilatus,2505,03 Jun 25
LNX12MO,GLEX,KTEB,LIML,Pilatus,2505,03 Jun 25
N97DQ,GL7T,KTEB,EDDM,Pilatus,2505,03 Jun 25
N590BA,GA5C,KTEB,EGGW,Pilatus,2505,03 Jun 25
MMD6046,FA7X,KTEB,EGGW,Pilatus,2505,03 Jun 25
N450L,GLF4,LIEO,KPWM,Pilatus,2505,03 Jun 25
N60LJ,LJ60,BIKF,KBGR,Pilatus,2505,03 Jun 25
N721KJ,GLF5,EGCC,KTTN,Pilatus,2505,03 Jun 25
GJE212,GLF5,EGKB,KFOK,Pilatus,2505,03 Jun 25
N228RE,GLF4,KBED,GMMX,Pilatus,2505,03 Jun 25
TAG18,GLF6,LSGG,KMDW,Pilatus,2505,03 Jun 25
QQE206,GLF6,LIRA,KHPN,Pilatus,2505,03 Jun 25
BAW5EA,B78X,EGLL,KSEA,Pilatus,2505,03 Jun 25
EDW7V,A343,KSEA,LSZH,Pilatus,2505,03 Jun 25
THY75D,B77W,LTFM,CYVR,Pilatus,2505,03 Jun 25
PGT929G,A320,LTFJ,LKPR,Pilatus,2505,03 Jun 25
JAS102,GLF4,LOWW,ENGM,Pilatus,2505,03 Jun 25
TOM272,A21N,EGKK,LTAI,Pilatus,2505,03 Jun 25
JBD1,FA6X,EDDB,KBFI,Pilatus,2505,03 Jun 25
FLCON4D,DA42,LMML,LMML,Pilatus,2505,03 Jun 25
THY5,B77W,LTFM,KORD,Pilatus,2505,03 Jun 25
THY9,B77W,LTFM,KLAX,Pilatus,2505,03 Jun 25
THY1,B77W,LTFM,KJFK,Pilatus,2505,03 Jun 25
VJT915,GLEX,KOPF,LEMG,Pilatus,2505,03 Jun 25
HRT881,CL60,EBBR,CYYZ,Pilatus,2505,03 Jun 25
N551DL,PC12,LKPO,EDMS,Pilatus,2505,03 Jun 25
PCH66F,PC12,BIRK,BGBW,Pilatus,2505,03 Jun 25
N178WF,PC12,BIAR,BGBW,Pilatus,2505,03 Jun 25
