Callsign,Aircraft,Departure ICAO,Destination ICAO,Contributor,AIRAC validity,Date added
MMD6018,FA7X,KPVD,LSZA,Pilatus,2509,28 Sep 25
N771L,GLF4,LIRS,KPQI,Pilatus,2509,28 Sep 25
N495JS,GLF4,EINN,KMHT,Pilatus,2509,28 Sep 25
IFA5081,CL60,KBOS,BIKF,Pilatus,2509,28 Sep 25
JCO1,GL7T,KBED,EGGW,Pilatus,2509,28 Sep 25
N318LE,GA6C,KPTK,EGBB,Pilatus,2509,28 Sep 25
VJA803,GLF5,KATL,EIKY,Pilatus,2509,28 Sep 25
N4K,GLF6,LIML,KATL,Pilatus,2509,28 Sep 25
EXS70VV,A21N,LGRP,EGBB,Pilatus,2509,28 Sep 25
EXS51WK,A21N,EGBB,LGRP,Pilatus,2509,28 Sep 25
ICE10V,B39M,KORD,BIKF,Pilatus,2509,28 Sep 25
IJM572,GLF5,KMDW,LKPR,Pilatus,2509,28 Sep 25
DLH492,B744,EDDF,CYVR,Pilatus,2510,28 Sep 25
ICE694,B38M,CYVR,BIKF,Pilatus,2509,28 Sep 25
AFR374,A359,LFPG,CYVR,Pilatus,2509,28 Sep 25
DLH477,A359,CYVR,EDDM,Pilatus,2509,28 Sep 25
EDW11,A359,CYVR,LSZH,Pilatus,2509,28 Sep 25
PEX57H,FA8X,CYVR,EHRD,Pilatus,2509,28 Sep 25
IFA6517,GLEX,CYVR,LFMN,Pilatus,2509,28 Sep 25
QQE722,GA7C,KBFI,EDDM,Pilatus,2509,28 Sep 25
N393BX,GL7T,EGGW,KBFI,Pilatus,2509,28 Sep 25
EXS7K,A21N,LCPH,EGCC,Pilatus,2509,28 Sep 25
TRA49P,A21N,GMAD,EHAM,Pilatus,2509,28 Sep 25
CFG4WD,A320,LGZA,EDDL,Pilatus,2509,28 Sep 25
ACA869,B38M,EGLL,CYHZ,Pilatus,2509,28 Sep 25
EXS7JN,A21N,EGCC,LTBS,Pilatus,2509,28 Sep 25
EXS72GL,A21N,EGCC,LCPH,Pilatus,2509,28 Sep 25
CFG4TK,A320,EDDL,LGZA,Pilatus,2509,28 Sep 25
TRA48H,A21N,EHAM,GMAD,Pilatus,2509,28 Sep 25
KMM308,A20N,LMML,EDDM,Pilatus,2509,28 Sep 25
TOM1PY,B738,LGPZ,EGCC,Pilatus,2509,28 Sep 25
EWG5759,A319,LFKC,LOWS,Pilatus,2509,28 Sep 25
DLH3YY,A321,EKCH,EDDM,Pilatus,2509,28 Sep 25
AFR54KU,A320,EGLL,LFMN,Pilatus,2509,28 Sep 25
TOM16T,B738,EGCC,LGPZ,Pilatus,2509,28 Sep 25
TVF8045,B738,HECA,LFML,Pilatus,2509,28 Sep 25
DLH4LE,A320,EDDF,LIPE,Pilatus,2509,28 Sep 25
JAL45,A35K,RJTT,LFPG,Pilatus,2509,28 Sep 25
THY6518,B77L,LTFM,UAAA,Pilatus,2509,28 Sep 25
DTR4WH,AT76,EDDM,EDLP,Pilatus,2509,28 Sep 25
