Callsign,Aircraft,Departure ICAO,Destination ICAO,Contributor,AIRAC validity,Date added
FDB1425,B38M,OMDB,LFSB,Volarium,2504,02 May 25
MRS0903,B738,LFPB,UBBB,Volarium,2504,02 May 25
NSZ3627,B38M,LFBO,EKCH,Volarium,2504,02 May 25
NSZ3626,B38M,EKCH,LFBO,Volarium,2504,02 May 25
NSZ3631,B38M,LFSB,EKCH,Volarium,2504,02 May 25
NSZ3630,B38M,EKCH,LFSB,Volarium,2504,02 May 25
AEH061,E145,LFRN,LFBO,Volarium,2504,02 May 25
AEH061F,E145,LFCR,LFRN,Volarium,2504,02 May 25
AFR373V,A359,LFBO,LFPG,Volarium,2504,02 May 25
AXY210P,E190,LTFM,LFBO,Volarium,2504,02 May 25
EUP421,E145,LFCR,LFLY,Volarium,2504,02 May 25
EUP421,E145,LFCR,LFJL,Volarium,2504,02 May 25
EUP421,E145,LFLB,LFCR,Volarium,2504,02 May 25
AEH059,E145,LFOK,LFMN,Volarium,2504,02 May 25
AEH059F,E145,LFPO,LFOK,Volarium,2504,02 May 25
MATEX,FA8X,LFRG,LFMN,Volarium,2504,02 May 25
MATEX,FA8X,LFMN,LFRG,Volarium,2504,02 May 25
FPO768,B738,LEMG,LFQQ,Volarium,2504,02 May 25
FPO769,B738,LFRG,LEMG,Volarium,2504,02 May 25
FPO770,B738,LEMG,LFRG,Volarium,2504,02 May 25
FPO767,B738,LFQQ,LEMG,Volarium,2504,02 May 25
ENT79BC,B738,LIBR,LFRK,Volarium,2504,02 May 25
ENT78BH,B738,LFRK,LIBR,Volarium,2504,02 May 25
AEH081,E145,LFRH,LFKJ,Volarium,2504,02 May 25
AEH081F,E145,LFRT,LFRH,Volarium,2504,02 May 25
EUP007,E135,LFKB,LFRT,Volarium,2504,02 May 25
EUP007,E135,LFLB,LFKB,Volarium,2504,02 May 25
DWW621,E55P,LFOT,EDTM,Volarium,2504,02 May 25
DWW621,E55P,LEBL,LFOT,Volarium,2504,02 May 25
BEL9902,A333,LFLX,EHWO,Volarium,2504,02 May 25
CAJ1508,A35K,VTBS,LFPO,Volarium,2504,02 May 25
NJE156W,E55P,LFBA,LEMH,Volarium,2504,02 May 25
NJE081V,E55P,LFMD,LFBA,Volarium,2504,02 May 25
PTN81M,PC24,LPFR,LFBA,Volarium,2504,02 May 25
AUR072P,AT76,EGJB,LFBF,Volarium,2504,02 May 25
MEA7225,A21N,OLBA,LFBT,Volarium,2504,02 May 25
EZY47BL,A320,EGGP,EHAM,Volarium,2504,02 May 25
DLH2YX,A320,LGAV,EDDM,Volarium,2504,02 May 25
NMA5011,A320,LEMD,HESN,Volarium,2504,02 May 25
LOT9FM,B788,EPKK,KORD,Volarium,2504,02 May 25
