Callsign,Aircraft,Departure ICAO,Destination ICAO,Contributor,AIRAC validity,Date added
N552RC,GA6C,KEWR,OERK,Pilatus,2505,18 May 25
BAW293,A388,EGLL,KIAD,Pilatus,2505,18 May 25
CGOAB,GLEX,LGAV,CYUL,Pilatus,2505,18 May 25
WJA45,B38M,EGPH,CYHZ,Pilatus,2505,18 May 25
WJA25,B38M,EGKK,CYHZ,Pilatus,2505,18 May 25
ACA868,B38M,CYHZ,EGLL,Pilatus,2505,18 May 25
FJO99,GLEX,KSYR,LPPT,Pilatus,2505,18 May 25
AZU8901,B772,LPPT,SBKP,Pilatus,2505,18 May 25
VJT762,GL7T,LSZH,CYUL,Pilatus,2505,18 May 25
OCN1DB,A320,EDDM,BIKF,Pilatus,2505,18 May 25
WJA49,B38M,LFPG,CYYT,Pilatus,2505,18 May 25
WJA54,B38M,CYYT,LFPG,Pilatus,2505,18 May 25
N221JS,C700,LEMG,CYYT,Pilatus,2505,18 May 25
N81GJ,LJ35,CYYT,EGNM,Pilatus,2505,18 May 25
CFEYU,AT72,CYYR,BIKF,Pilatus,2505,18 May 25
N31GJ,LJ35,BIKF,CYYR,Pilatus,2505,18 May 25
OEEMH,TBM9,CYYR,BGGH,Pilatus,2505,18 May 25
ENT19AH,B738,EPWA,LGSA,Pilatus,2505,18 May 25
LOT125,B38M,EPWA,OERK,Pilatus,2505,18 May 25
LOT2KZ,B38M,LDSP,EPWA,Pilatus,2505,18 May 25
UAL36,B752,KEWR,EGPH,Pilatus,2505,18 May 25
UAL978,B752,KIAD,EGPH,Pilatus,2505,18 May 25
UAL118,B752,KORD,EGPH,Pilatus,2505,18 May 25
N960JB,TBM9,EGPH,EGTK,Pilatus,2505,18 May 25
ENT4080,B738,HEGN,EPKT,Pilatus,2505,18 May 25
VOE56JN,A319,LEMG,LEAS,Pilatus,2505,18 May 25
AUA570,A320,LSZH,LOWW,Pilatus,2505,18 May 25
CFG2051,A339,PANC,EDDF,Pilatus,2505,18 May 25
TVS89J,C680,EDDB,LEPA,Pilatus,2505,18 May 25
VIR811P,A35K,EGPH,EGCC,Pilatus,2505,18 May 25
BAW23T,B772,KATL,EGLL,Pilatus,2505,18 May 25
QTR2W,A35K,OTHH,KATL,Pilatus,2505,18 May 25
CLX27Y,B744,KATL,ELLX,Pilatus,2505,18 May 25
SAS930,A359,KATL,EKCH,Pilatus,2505,18 May 25
N56C,GLF5,EGPH,KPDK,Pilatus,2505,18 May 25
GDK24M,PC12,LOWK,LOWW,Pilatus,2505,18 May 25
BAG12,PC12,LIPX,LOWS,Pilatus,2505,18 May 25
N551DL,PC12,LIET,EDML,Pilatus,2505,18 May 25
N940TB,TBM9,LFBT,LFPN,Pilatus,2505,18 May 25
N42BV,TBM9,EDDM,LTFE,Pilatus,2505,18 May 25
