Callsign,Aircraft,Departure ICAO,Destination ICAO,Contributor,AIRAC validity,Date added
EXS6CX,A21N,EGCC,GCRR,Pilatus,2508,30 Aug 25
THY1ZH,A319,LTFM,LTCG,Pilatus,2508,30 Aug 25
KLM219,B77W,EHAM,CYVR,Pilatus,2508,30 Aug 25
THY2RE,A321,LTFM,EDDK,Pilatus,2508,30 Aug 25
THY2PH,A321,LTFM,LFSB,Pilatus,2508,30 Aug 25
THY2TK,A321,LTFM,EDDN,Pilatus,2508,30 Aug 25
LVJQF,FA7X,EHAM,LEMD,Pilatus,2508,30 Aug 25
EDW10,A359,LSZH,CYVR,Pilatus,2508,30 Aug 25
EDW402,A359,LSZH,BKPR,Pilatus,2508,30 Aug 25
THY7KG,B77W,LTFM,KDTW,Pilatus,2508,30 Aug 25
THY77J,B77W,LTFM,KMIA,Pilatus,2508,30 Aug 25
ETD748,B789,FAOR,OMAA,jessy0506,2508,30 Aug 25
SYB191,GLF6,LSGG,KPDX,Pilatus,2508,30 Aug 25
ETD98V,B78X,EBBR,OMAA,jessy0506,2508,30 Aug 25
ETD477,B77W,WADD,OMAA,jessy0506,2508,30 Aug 25
ETD455,B77W,YSSY,OMAA,jessy0506,2508,30 Aug 25
KAL467,B789,RKSI,VVCR,jessy0506,2508,30 Aug 25
SDM6974,A319,UBBB,ULLI,Pilatus,2508,30 Aug 25
SDM6973,A319,ULLI,UBBB,Pilatus,2508,30 Aug 25
TVS40J,C700,LIEO,LKTB,Pilatus,2508,30 Aug 25
AOJ74J,C750,EDDH,EDSB,Pilatus,2508,30 Aug 25
N21WL,PC12,LFMD,EGTK,Pilatus,2508,30 Aug 25
N747MC,S22T,EDXW,EDFM,Pilatus,2508,30 Aug 25
N214VQ,SR22,EDXW,EDGS,Pilatus,2508,30 Aug 25
N777XA,TBM8,LFMD,LFPN,Pilatus,2508,30 Aug 25
N930DH,TBM9,EGBB,LEPA,Pilatus,2508,30 Aug 25
N265KC,TBM9,LPBJ,EGLD,Pilatus,2508,30 Aug 25
N1569C,TBM9,LEGE,EGBB,Pilatus,2508,30 Aug 25
CFG9KH,A321,EDDM,LEPA,Pilatus,2508,30 Aug 25
FIN7LT,A320,EFHK,EKCH,Pilatus,2508,30 Aug 25
EWG1PN,A320,LGKL,EDDL,Pilatus,2508,30 Aug 25
RYR8XQ,B38M,LDZD,EDDN,Pilatus,2508,30 Aug 25
ECOET,GL7T,MMSD,LEBL,Pilatus,2508,30 Aug 25
ENT137F,B738,GMAD,EPKT,Pilatus,2508,30 Aug 25
KAY51,A319,KSFO,EGHI,Pilatus,2508,30 Aug 25
N301SR,B737,LTFE,LFSB,Pilatus,2508,30 Aug 25
N737ER,B737,LFMN,OEJN,Pilatus,2508,30 Aug 25
EWG3MA,A320,EDDL,LGKL,Pilatus,2508,30 Aug 25
ITY739,BCS3,LGIR,LIML,Pilatus,2508,30 Aug 25
ITY9817,A320,HESH,LIRF,Pilatus,2508,30 Aug 25
