Callsign,Aircraft,Departure ICAO,Destination ICAO,Contributor,AIRAC validity,Date added
AOJ77U,GL5T,KTEB,EBBR,Pilatus,2509,28 Sep 25
RJR85,GL7T,KTEB,DNMM,Pilatus,2509,28 Sep 25
N188QS,GL7T,HKJK,KTEB,Pilatus,2509,28 Sep 25
N708TT,GLEX,LIRS,KTEB,Pilatus,2509,28 Sep 25
VJT836,GLEX,EGGW,KTEB,Pilatus,2509,28 Sep 25
VJT904,GLEX,LIPE,KTEB,Pilatus,2509,28 Sep 25
VJT754,GLEX,EGWU,KTEB,Pilatus,2509,28 Sep 25
NJE782A,GLEX,EGGW,KTEB,Pilatus,2509,28 Sep 25
IFA608,GLEX,KTEB,EGKB,Pilatus,2509,28 Sep 25
PVA1950,GLEX,KTEB,LEIB,Pilatus,2509,28 Sep 25
LXJ461,GLF4,LEPA,KTEB,Pilatus,2509,28 Sep 25
N550MV,GLF5,LEIB,KTEB,Pilatus,2509,28 Sep 25
P4OWL,GLF5,KTEB,LOWI,Pilatus,2509,28 Sep 25
N650XF,GLF6,LIRP,KTEB,Pilatus,2509,28 Sep 25
QQE797,GLF6,EGGW,KTEB,Pilatus,2509,28 Sep 25
N916AA,GLF6,LIRP,KTEB,Pilatus,2509,28 Sep 25
N311WM,GLF6,EGLF,KTEB,Pilatus,2509,28 Sep 25
X8PASD,GLF6,LGAV,KTEB,Pilatus,2509,28 Sep 25
GLH3,GLF6,KTEB,EGSS,Pilatus,2509,28 Sep 25
N652WE,GLF6,KTEB,LFPB,Pilatus,2509,28 Sep 25
N252DV,GLF5,LIEO,KBWI,Pilatus,2509,28 Sep 25
N134QS,GL5T,KIAD,EGLF,Pilatus,2509,28 Sep 25
TWY202,GLEX,EBOS,KIAD,Pilatus,2509,28 Sep 25
N503GV,GLF5,EBBR,KIAD,Pilatus,2509,28 Sep 25
N974BH,CL60,KFRG,EINN,Pilatus,2509,28 Sep 25
VJH983,FA7X,LICC,KTTN,Pilatus,2509,28 Sep 25
N480CH,B737,KBGR,LLBG,Pilatus,2509,28 Sep 25
N1088,CL60,LFMP,KBGR,Pilatus,2509,28 Sep 25
N211QS,CL60,KBGR,LIML,Pilatus,2509,28 Sep 25
N4CE,FA7X,LFMN,KBGR,Pilatus,2509,28 Sep 25
N929AW,G280,KBGR,EGKK,Pilatus,2509,28 Sep 25
N1DM,GA5C,EGSS,KBGR,Pilatus,2509,28 Sep 25
N131QS,GL5T,LIML,KBGR,Pilatus,2509,28 Sep 25
WWI91,GLF4,EGBB,KBGR,Pilatus,2509,28 Sep 25
EJKGRP,GLF5,KBGR,LGAV,Pilatus,2509,28 Sep 25
N388FJ,F2TH,KCLE,EGSS,Pilatus,2509,28 Sep 25
ADB7053,A124,KPSM,EPLB,Pilatus,2509,28 Sep 25
N648GL,GLEX,EGGW,KPSM,Pilatus,2509,28 Sep 25
P4F7X,FA7X,EGSS,KPSM,Pilatus,2509,28 Sep 25
N889CG,GLF4,LSGG,KPSM,Pilatus,2509,28 Sep 25
