Callsign,Aircraft,Departure ICAO,Destination ICAO,Contributor,AIRAC validity,Date added
DLH323,A20N,LICJ,EDDF,jtwright93,2507,25 Jul 25
TOM17X,B738,LEMH,EGTE,jtwright93,2507,25 Jul 25
TOM2DX,B738,LEMH,EGFF,jtwright93,2507,25 Jul 25
BEL1GH,A320,LIML,EBBR,jtwright93,2507,25 Jul 25
EXS14LM,A21N,EGBB,LEAL,jtwright93,2507,25 Jul 25
RYR4AL,B38M,LEGE,EDSB,jtwright93,2507,25 Jul 25
DLH322,A20N,EDDF,LICJ,jtwright93,2507,25 Jul 25
BEL5MH,A320,EBBR,LIML,jtwright93,2507,25 Jul 25
DAH4673,B738,HESH,DAAG,jtwright93,2507,25 Jul 25
QTR8218,B77L,ENGM,OTHH,jtwright93,2507,25 Jul 25
QTR8218,B77L,LROP,ENGM,jtwright93,2507,25 Jul 25
ETD3210,A21N,EDHI,OMAA,jtwright93,2507,25 Jul 25
WZZ3VB,A321,LOWW,LCLK,robbow93,2507,24 Jul 25
WZZ5139,A321,LCLK,LOWW,robbow93,2507,24 Jul 25
RYR20FQ,B38M,LEPA,EDDK,FOMA,2507,24 Jul 25
RYR55CE,B38M,EDDK,LEPA,FOMA,2507,24 Jul 25
BAW9ZY,A35K,EGLL,CYYZ,robbow93,2507,24 Jul 25
CPA289,B77W,VHHH,EDDF,FOMA,2507,24 Jul 25
MBU2CV,A320,EDDK,LEPA,FOMA,2507,24 Jul 25
EJU32YF,A320,EDDF,LIML,FOMA,2507,24 Jul 25
EJU18NR,A320,LIML,EDDF,FOMA,2507,24 Jul 25
MBU7BM,A320,LEPA,EDDK,FOMA,2507,24 Jul 25
N974MT,ASTR,EINN,LGAV,FOMA,2507,24 Jul 25
AFR962,B772,LFPG,MUHA,FOMA,2507,24 Jul 25
AIB07OW,A388,LFBO,LFBO,FOMA,2507,24 Jul 25
EXS045D,A21N,EDHI,EGCC,11201,2507,24 Jul 25
DJT524,A21N,EGBB,KBNA,11201,2507,24 Jul 25
DJT824,A21N,LIMC,EGBB,11201,2507,24 Jul 25
USY234P,B772,LIMC,EDDM,11201,2507,24 Jul 25
AEE4101,A320,LKTB,LGTS,11201,2507,24 Jul 25
AEE4089,A320,LQBK,LGAV,11201,2507,24 Jul 25
AEE4248,A320,LGIR,EDJA,11201,2507,24 Jul 25
AEE4249,A320,EDJA,LGIR,11201,2507,24 Jul 25
AEE4314,A320,LGRP,LOWL,11201,2507,24 Jul 25
AEE4315,A320,LOWL,LGRP,11201,2507,24 Jul 25
AEE4316,A320,LGRP,ENGM,11201,2507,24 Jul 25
AEE4317,A320,ENGM,LGRP,11201,2507,24 Jul 25
AEE4566,A320,LGSA,LRBV,11201,2507,24 Jul 25
AEE4567,A320,LRBV,LGSA,11201,2507,24 Jul 25
AEE4568,A320,LGSA,ENBO,11201,2507,24 Jul 25
