Callsign,Aircraft,Departure ICAO,Destination ICAO,Contributor,AIRAC validity,Date added
N222LX,GLF5,KTEB,LIRN,Pilatus,2505,19 May 25
TWY420,GLF6,KMIA,EGGW,Pilatus,2505,19 May 25
N150BC,FA7X,KSLE,EINN,Pilatus,2505,19 May 25
EJM222,GLF5,KLEX,LFMN,Pilatus,2505,19 May 25
N306MA,GLEX,KAUS,LIPE,Pilatus,2505,19 May 25
N426PF,CL60,EINN,KPSM,Pilatus,2505,19 May 25
CLY138,HDJT,EGJJ,EGWU,Pilatus,2505,19 May 25
N595B,GLF6,LLBG,LFTH,Pilatus,2505,19 May 25
EJM75,GLEX,KHPN,EIKY,Pilatus,2505,19 May 25
N712GX,GL7T,LSZH,LSGG,Pilatus,2505,19 May 25
OAE3304,B772,LBSF,KBWI,Pilatus,2505,19 May 25
N899JE,B350,LKPR,EGPK,Pilatus,2505,19 May 25
N974BH,CL60,KFRG,EINN,Pilatus,2505,19 May 25
N974BH,CL60,EINN,LLBG,Pilatus,2505,19 May 25
N988F,GLF6,EGLF,OERK,Pilatus,2505,19 May 25
CRV1,A20N,LEMD,LFRG,Pilatus,2505,19 May 25
LXC41,B350,LICZ,LFHX,Pilatus,2505,19 May 25
KLM862,B772,RJAA,EHAM,Volarium,2505,19 May 25
QTR6P,A359,OMDB,OTHH,sam,2505,18 May 25
DAL1404,BCS1,KLGA,KCHS,Pilatus,2505,18 May 25
ENT51YB,B738,LGIR,EPWR,Pilatus,2505,18 May 25
EWG4M,A320,EDDB,EGNT,Pilatus,2505,18 May 25
BFS307,C172,LEDA,LEPP,Pilatus,2505,18 May 25
BFS001,C172,LEPP,LEDA,Pilatus,2505,18 May 25
AAL173,B772,EGLL,KRDU,Pilatus,2505,18 May 25
AFR692K,B772,LFPG,KRDU,Pilatus,2505,18 May 25
BCS311,A333,KCVG,EDDP,Pilatus,2505,18 May 25
EIN9WM,A21N,KIND,EIDW,Pilatus,2505,18 May 25
CKS289,B77L,KCVG,EDDP,Pilatus,2505,18 May 25
N18HA,GL5T,RKSI,ZSSS,Pilatus,2505,18 May 25
KAL036,B748,KATL,RKSI,Pilatus,2505,18 May 25
N73VR,FA7X,PANC,RKSI,Pilatus,2505,18 May 25
BTX8H,FA7X,ETSI,LOWS,Pilatus,2505,18 May 25
DFELE,TBM9,LSZS,EDDW,Pilatus,2505,18 May 25
TAG18,GLF6,LSZB,LSZH,Pilatus,2505,18 May 25
DFLAG,PC12,EDMA,LSZC,Pilatus,2505,18 May 25
HBFLX,PC12,LSGG,LSZC,Pilatus,2505,18 May 25
MBIGG,GL7T,LFMN,LSGG,Pilatus,2505,18 May 25
VJT972,GLEX,KJFK,EHAM,Pilatus,2505,18 May 25
N65KL,GLF5,KJFK,LIML,Pilatus,2505,18 May 25
