Callsign,Aircraft,Departure ICAO,Destination ICAO,Contributor,AIRAC validity,Date added
JFA98Y,PC24,LSZB,LSZH,Pilatus,2508,02 Sep 25
N138CR,SR22,LSZB,LSGC,Pilatus,2508,02 Sep 25
PCH60G,PC12,LSZB,LSZC,Pilatus,2508,02 Sep 25
N491JL,C56X,CYFB,BIKF,Pilatus,2508,02 Sep 25
N491JL,C56X,BIKF,EGPH,Pilatus,2508,02 Sep 25
THY4GD,A321,LTFM,LOWW,Pilatus,2508,02 Sep 25
THY2ML,A321,LOWW,LTFM,Pilatus,2508,02 Sep 25
ETD475,B78X,WIII,OMAA,jessy0506,2508,02 Sep 25
ETD47,B789,OMAA,EIDW,jessy0506,2508,02 Sep 25
ETD79,B789,OMAA,LIMC,jessy0506,2508,02 Sep 25
ETD7NZ,B789,OMAA,LFPG,jessy0506,2508,02 Sep 25
ETD815,B789,RJBB,OMAA,jessy0506,2508,02 Sep 25
ETD801,A35K,RJAA,OMAA,jessy0506,2508,02 Sep 25
ETD87A,B77W,LPPT,OMAA,jessy0506,2508,02 Sep 25
BTX6F,FA7X,EDVE,LIML,Pilatus,2508,02 Sep 25
BTX8H,FA7X,EDDF,EDVE,Pilatus,2508,02 Sep 25
N737ER,B737,EGSS,LFPB,Pilatus,2508,02 Sep 25
N826SC,G280,KLUL,BIKF,Pilatus,2508,02 Sep 25
FXT60V,CL60,EGPF,CYYR,Pilatus,2508,02 Sep 25
N2160S,C210,CYYR,BIRK,Pilatus,2508,02 Sep 25
CFMDF,PC24,CYYR,BIRK,Pilatus,2508,02 Sep 25
N264QS,CL60,EDDH,CYYT,Pilatus,2508,02 Sep 25
IFA2305,CL60,EGGW,CYYT,Pilatus,2508,02 Sep 25
UNI134,LJ45,LPLA,CYYT,Pilatus,2508,02 Sep 25
N769WE,GLF5,LFMN,KMIA,Pilatus,2508,02 Sep 25
QQE231,GLF6,LGAV,KOPF,Pilatus,2508,02 Sep 25
BQB6,GLF6,LLBG,KOPF,Pilatus,2508,02 Sep 25
N1DS,GLF6,EIDW,KPBI,Pilatus,2508,02 Sep 25
N309EL,GA5C,KIND,LIRP,Pilatus,2508,02 Sep 25
LXJ481,GLF4,EGBB,KPHL,Pilatus,2508,02 Sep 25
EJM800,GA7C,KSJC,EDDB,Pilatus,2508,02 Sep 25
N74VW,GLF5,KBWI,LPPD,Pilatus,2508,02 Sep 25
N100QS,GL5T,KIAD,EGSS,Pilatus,2508,02 Sep 25
MLM567,A319,OMAD,LIRQ,Pilatus,2508,02 Sep 25
N247WE,GL5T,LFAQ,KHPN,Pilatus,2508,02 Sep 25
VJT946,GLEX,LPPT,KHPN,Pilatus,2508,02 Sep 25
VJT993,GLEX,KHPN,EIKY,Pilatus,2508,02 Sep 25
MCNZI,GLEX,LLBG,KHPN,Pilatus,2508,02 Sep 25
N624BP,GLEX,BGGH,KHPN,Pilatus,2508,02 Sep 25
LXJ461,GLF4,KHPN,EGLF,Pilatus,2508,02 Sep 25
