step,shape,null_values
raw_data,"(717193, 60)",3540770
drop_na_and_unused_cols,"(717189, 49)",1630605
categorize_flights,"(717063, 52)",1166904
categorize_delay_brackets,"(717063, 53)",1166904
airport_filtering,"(526199, 53)",840520
lateFlights_filtering,"(202845, 11)",10927
lateFlights_filtering,"(202845, 11)",10927
