step,shape,null_values
raw_data,"(954515, 55)",8366778
drop_na_and_unused_cols,"(954072, 34)",3037502
categorize_flights,"(953984, 35)",2331960
categorize_delay_brackets,"(953984, 36)",2331960
airport_filtering,"(580214, 36)",1312404
lateFlights_filtering,"(198654, 11)",10765
lateFlights_filtering,"(198654, 11)",10765
