step,shape,null_values
raw_data,"(983317, 45)",8933246
drop_na_and_unused_cols,"(983317, 23)",5427175
categorize_flights,"(957733, 25)",4473406
eu_filtering,"(494357, 25)",2064656
lateFlights_filtering,"(175221, 12)",0
